Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[39, 1, 21, 67, 83, 43, 51]",0.58,0.42,0.2
combo_1,"[39, 5, 27, 67, 84, 43, 56]",0.6,0.46,0.28
combo_2,"[39, 13, 30, 67, 91, 100, 61]",0.64,0.46,0.26
combo_3,"[39, 41, 21, 64, 84, 42, 51]",0.66,0.4,0.24
combo_4,"[39, 13, 11, 34, 47, 42, 78]",0.66,0.46,0.28
combo_5,"[39, 13, 11, 68, 96, 42, 58]",0.6,0.42,0.26
combo_0,"[39, 3, 27, 67, 50, 100, 73]",0.66,0.48,0.32
combo_1,"[39, 13, 30, 38, 84, 42, 59]",0.66,0.46,0.26
combo_2,"[39, 41, 32, 67, 84, 100, 57]",0.68,0.44,0.26
combo_3,"[39, 23, 32, 36, 99, 42, 51]",0.62,0.44,0.26
combo_4,"[39, 24, 33, 69, 89, 100, 56]",0.64,0.5,0.32
combo_5,"[39, 21, 29, 38, 88, 42, 56]",0.7,0.46,0.32
combo_6,"[39, 13, 19, 69, 98, 42, 76]",0.6,0.42,0.22
combo_7,"[39, 25, 19, 64, 54, 100, 78]",0.74,0.52,0.32
combo_8,"[39, 14, 33, 66, 87, 44, 72]",0.66,0.44,0.26
combo_9,"[39, 7, 17, 67, 50, 40, 58]",0.68,0.42,0.24
combo_10,"[39, 8, 5, 38, 45, 40, 81]",0.66,0.46,0.2
combo_11,"[39, 21, 30, 68, 97, 40, 59]",0.62,0.44,0.22
combo_12,"[39, 22, 29, 67, 93, 43, 62]",0.64,0.42,0.24
combo_13,"[39, 10, 30, 67, 98, 43, 76]",0.62,0.42,0.2
combo_14,"[39, 21, 27, 64, 86, 40, 61]",0.7,0.44,0.3
combo_15,"[39, 7, 29, 66, 87, 100, 75]",0.66,0.44,0.24
combo_16,"[39, 1, 32, 67, 48, 40, 73]",0.66,0.4,0.26
combo_17,"[39, 3, 12, 66, 98, 44, 61]",0.64,0.4,0.22
combo_18,"[39, 21, 19, 65, 97, 42, 60]",0.68,0.46,0.26
combo_19,"[39, 7, 12, 64, 86, 44, 74]",0.64,0.44,0.2
combo_20,"[39, 10, 32, 69, 82, 42, 60]",0.62,0.4,0.22
combo_21,"[39, 41, 19, 64, 95, 40, 73]",0.62,0.46,0.24
combo_22,"[39, 3, 33, 36, 55, 40, 56]",0.7,0.46,0.32
combo_23,"[39, 22, 30, 66, 50, 42, 62]",0.72,0.44,0.28
combo_24,"[39, 41, 6, 38, 91, 40, 51]",0.68,0.46,0.26
combo_25,"[39, 41, 16, 68, 91, 40, 79]",0.64,0.46,0.2
combo_26,"[39, 41, 6, 34, 99, 40, 59]",0.64,0.42,0.2
combo_27,"[39, 10, 29, 37, 82, 40, 52]",0.66,0.46,0.26
combo_28,"[39, 11, 2, 64, 86, 40, 61]",0.66,0.44,0.2
combo_29,"[39, 22, 18, 66, 49, 40, 59]",0.74,0.46,0.26
combo_30,"[39, 3, 33, 67, 89, 44, 81]",0.6,0.44,0.26
combo_31,"[39, 41, 29, 36, 84, 44, 62]",0.68,0.48,0.3
combo_32,"[39, 10, 29, 68, 93, 43, 61]",0.62,0.4,0.22
combo_33,"[39, 26, 28, 68, 90, 40, 81]",0.64,0.48,0.26
combo_34,"[39, 41, 27, 34, 54, 42, 62]",0.76,0.5,0.36
combo_35,"[39, 14, 2, 38, 98, 42, 60]",0.66,0.44,0.26
combo_36,"[39, 1, 33, 65, 54, 43, 60]",0.68,0.46,0.24
combo_37,"[39, 8, 6, 64, 53, 44, 71]",0.66,0.44,0.2
combo_38,"[39, 22, 30, 63, 99, 43, 77]",0.64,0.44,0.26
combo_39,"[39, 4, 5, 69, 92, 42, 77]",0.6,0.38,0.18
combo_40,"[39, 14, 12, 38, 83, 42, 76]",0.66,0.44,0.28
combo_41,"[39, 11, 17, 69, 50, 40, 59]",0.7,0.46,0.28
combo_42,"[39, 4, 19, 64, 92, 100, 81]",0.66,0.46,0.24
combo_43,"[39, 26, 33, 68, 82, 100, 56]",0.68,0.5,0.24
combo_44,"[39, 22, 18, 66, 90, 44, 80]",0.68,0.48,0.26
combo_45,"[39, 21, 31, 64, 90, 40, 72]",0.72,0.38,0.26
