Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[8, 3, 6, 9, 17, 7]",0.8,0.62,0.64
combo_1,"[8, 19, 4, 9, 17, 7]",0.74,0.6,0.52
combo_2,"[8, 2, 6, 9, 12, 7]",0.84,0.74,0.66
combo_3,"[8, 5, 6, 9, 15, 7]",0.84,0.74,0.66
combo_4,"[8, 2, 6, 9, 14, 7]",0.78,0.7,0.64
combo_5,"[8, 5, 4, 9, 14, 7]",0.92,0.68,0.7
combo_6,"[8, 19, 6, 9, 13, 7]",0.74,0.62,0.5
combo_7,"[8, 2, 4, 9, 15, 7]",0.74,0.58,0.5
combo_8,"[8, 3, 6, 9, 12, 7]",0.88,0.78,0.72
combo_9,"[8, 19, 4, 9, 14, 7]",0.78,0.6,0.6
combo_10,"[8, 5, 6, 9, 12, 7]",0.96,0.8,0.86
combo_11,"[8, 2, 6, 9, 15, 7]",0.8,0.6,0.5
combo_12,"[8, 3, 4, 9, 13, 7]",0.82,0.62,0.64
combo_13,"[8, 10, 6, 9, 11, 7]",0.92,0.74,0.7
combo_14,"[8, 10, 6, 9, 13, 7]",0.74,0.66,0.66
combo_15,"[8, 1, 6, 9, 12, 7]",0.9,0.74,0.64
combo_16,"[8, 1, 6, 9, 18, 7]",0.8,0.7,0.64
combo_17,"[8, 3, 4, 9, 14, 7]",0.82,0.62,0.66
combo_18,"[8, 1, 6, 9, 17, 7]",0.76,0.66,0.6
combo_19,"[8, 19, 6, 9, 16, 7]",0.72,0.56,0.5
combo_20,"[8, 5, 4, 9, 11, 7]",0.92,0.74,0.68
combo_21,"[8, 5, 4, 9, 13, 7]",0.88,0.68,0.64
combo_22,"[8, 5, 4, 9, 15, 7]",0.86,0.64,0.62
combo_23,"[8, 1, 4, 9, 15, 7]",0.74,0.58,0.56
combo_24,"[8, 19, 6, 9, 15, 7]",0.76,0.62,0.54
combo_25,"[8, 10, 4, 9, 18, 7]",0.82,0.64,0.58
combo_26,"[8, 3, 4, 9, 11, 7]",0.86,0.62,0.56
combo_27,"[8, 10, 4, 9, 14, 7]",0.88,0.64,0.64
combo_28,"[8, 5, 4, 9, 18, 7]",0.94,0.74,0.7
combo_29,"[8, 5, 6, 9, 11, 7]",0.92,0.78,0.76
combo_30,"[8, 1, 6, 9, 11, 7]",0.84,0.62,0.66
combo_31,"[8, 19, 6, 9, 14, 7]",0.74,0.64,0.58
combo_32,"[8, 19, 6, 9, 12, 7]",0.82,0.68,0.72
combo_33,"[8, 2, 4, 9, 11, 7]",0.86,0.58,0.6
combo_34,"[8, 1, 4, 9, 13, 7]",0.76,0.64,0.58
combo_35,"[8, 2, 6, 9, 18, 7]",0.8,0.64,0.68
combo_36,"[8, 1, 4, 9, 16, 7]",0.8,0.6,0.52
combo_37,"[8, 1, 4, 9, 11, 7]",0.8,0.64,0.62
combo_38,"[8, 19, 4, 9, 13, 7]",0.74,0.62,0.52
combo_39,"[8, 1, 4, 9, 17, 7]",0.78,0.6,0.54
combo_40,"[8, 1, 6, 9, 14, 7]",0.84,0.64,0.58
combo_41,"[8, 19, 6, 9, 11, 7]",0.8,0.7,0.62
combo_42,"[8, 19, 4, 9, 15, 7]",0.74,0.58,0.5
combo_43,"[8, 10, 6, 9, 16, 7]",0.78,0.66,0.72
combo_44,"[8, 5, 6, 9, 14, 7]",0.88,0.76,0.72
