Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[25, 26, 31]",0.98,0.98,0.92
combo_1,"[25, 6, 13]",0.88,0.8,0.76
combo_2,"[25, 38, 31]",1.0,1.0,1.0
combo_3,"[25, 36, 41]",0.82,0.74,0.66
combo_4,"[25, 15, 39]",1.0,1.0,0.96
combo_5,"[25, 26, 37]",0.8,0.78,0.74
combo_6,"[25, 23, 22]",0.96,0.94,0.98
combo_7,"[25, 18, 4]",0.98,0.94,0.96
combo_8,"[25, 44, 9]",0.82,0.8,0.8
combo_9,"[25, 23, 39]",0.98,0.92,0.88
combo_10,"[25, 49, 28]",0.78,0.76,0.72
combo_11,"[25, 2, 10]",0.98,0.98,0.94
combo_12,"[25, 58, 11]",1.0,0.98,1.0
combo_13,"[25, 44, 10]",0.92,0.92,0.86
combo_14,"[25, 2, 33]",0.88,0.84,0.78
combo_15,"[25, 24, 3]",0.88,0.88,0.88
combo_16,"[25, 18, 9]",0.88,0.9,0.86
combo_17,"[25, 26, 1]",0.76,0.74,0.62
combo_18,"[25, 18, 56]",0.92,0.88,0.88
combo_19,"[25, 24, 55]",0.86,0.82,0.84
combo_20,"[25, 2, 19]",1.0,0.98,1.0
combo_21,"[25, 49, 19]",0.84,0.88,0.82
combo_22,"[25, 16, 32]",0.98,1.0,0.94
combo_23,"[25, 6, 41]",0.78,0.72,0.62
combo_24,"[25, 40, 4]",0.8,0.84,0.7
combo_25,"[25, 26, 39]",0.84,0.8,0.78
combo_26,"[25, 18, 32]",1.0,1.0,1.0
combo_27,"[25, 40, 53]",0.76,0.78,0.66
combo_28,"[25, 45, 29]",0.98,0.94,0.92
combo_29,"[25, 57, 32]",1.0,1.0,1.0
combo_30,"[25, 6, 20]",0.76,0.76,0.66
combo_31,"[25, 51, 4]",0.88,0.84,0.78
combo_32,"[25, 43, 11]",0.88,0.82,0.78
combo_33,"[25, 23, 14]",1.0,0.96,0.94
combo_34,"[25, 6, 33]",0.82,0.78,0.68
combo_35,"[25, 49, 27]",0.92,0.88,0.88
combo_36,"[25, 40, 28]",0.78,0.8,0.7
combo_37,"[25, 2, 1]",0.8,0.84,0.74
combo_38,"[25, 16, 34]",0.84,0.8,0.74
combo_39,"[25, 24, 60]",0.86,0.8,0.74
combo_40,"[25, 48, 20]",0.7,0.72,0.62
combo_41,"[25, 16, 56]",0.92,0.84,0.76
combo_42,"[25, 43, 34]",0.78,0.78,0.64
combo_43,"[25, 47, 10]",0.9,0.86,0.78
combo_44,"[25, 18, 53]",0.88,0.86,0.84
combo_45,"[25, 30, 42]",0.92,0.9,0.88
combo_46,"[25, 51, 59]",0.86,0.88,0.8
combo_47,"[25, 58, 33]",0.9,0.84,0.84
combo_48,"[25, 30, 14]",0.94,0.88,0.84
combo_49,"[25, 2, 14]",0.96,0.98,0.98
combo_50,"[25, 18, 55]",0.96,0.94,0.94
combo_51,"[25, 49, 56]",0.8,0.76,0.7
combo_52,"[25, 40, 54]",0.86,0.82,0.74
combo_53,"[25, 21, 50]",0.92,0.94,0.86
combo_54,"[25, 15, 53]",0.94,0.94,0.9
combo_55,"[25, 35, 50]",0.8,0.82,0.68
combo_56,"[25, 51, 60]",0.86,0.82,0.78
combo_57,"[25, 23, 31]",1.0,1.0,1.0
combo_58,"[25, 16, 20]",0.8,0.8,0.74
combo_59,"[25, 5, 28]",0.96,0.86,0.86
combo_60,"[25, 35, 20]",0.76,0.78,0.62
combo_61,"[25, 57, 59]",0.96,0.94,0.98
combo_62,"[25, 43, 28]",0.78,0.82,0.66
combo_63,"[25, 35, 12]",0.92,0.86,0.84
combo_64,"[25, 26, 52]",0.96,0.9,0.82
combo_65,"[25, 5, 19]",1.0,1.0,0.98
combo_66,"[25, 48, 29]",0.8,0.78,0.7
combo_67,"[25, 16, 28]",0.9,0.84,0.84
combo_68,"[25, 18, 31]",1.0,1.0,1.0
combo_69,"[25, 15, 34]",0.96,0.96,0.86
combo_70,"[25, 2, 22]",0.98,0.98,0.96
combo_71,"[25, 48, 22]",0.84,0.78,0.72
combo_72,"[25, 30, 29]",1.0,0.82,0.78
combo_73,"[25, 30, 56]",0.92,0.82,0.78
combo_74,"[25, 35, 8]",0.76,0.7,0.62
combo_75,"[25, 47, 60]",0.84,0.82,0.72
combo_76,"[25, 46, 9]",0.8,0.8,0.76
combo_77,"[25, 23, 52]",1.0,1.0,1.0
combo_78,"[25, 51, 29]",0.96,0.82,0.74
combo_79,"[25, 57, 9]",0.9,0.88,0.82
combo_80,"[25, 38, 39]",0.88,0.86,0.86
combo_81,"[25, 36, 37]",0.9,0.84,0.82
combo_82,"[25, 24, 7]",0.98,0.94,0.98
combo_83,"[25, 38, 54]",0.94,0.86,0.9
combo_84,"[25, 38, 3]",0.94,0.94,0.96
combo_85,"[25, 43, 17]",0.88,0.76,0.7
combo_86,"[25, 51, 54]",0.88,0.86,0.8
combo_87,"[25, 15, 60]",1.0,1.0,1.0
combo_88,"[25, 46, 37]",0.82,0.8,0.76
combo_89,"[25, 46, 27]",0.98,0.98,0.98
combo_90,"[25, 24, 33]",0.8,0.76,0.74
combo_91,"[25, 38, 20]",0.76,0.76,0.7
combo_92,"[25, 38, 27]",0.98,0.98,0.98
combo_93,"[25, 23, 29]",1.0,0.92,0.92
combo_94,"[25, 24, 12]",0.92,0.94,0.9
combo_95,"[25, 18, 19]",1.0,1.0,1.0
combo_96,"[25, 47, 33]",0.78,0.74,0.68
combo_97,"[25, 2, 60]",0.9,0.94,0.88
combo_98,"[25, 47, 32]",0.9,0.86,0.8
combo_99,"[25, 23, 19]",1.0,1.0,1.0
