Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[6, 10, 7, 8]",1.0,0.98,0.96
combo_1,"[6, 3, 1, 5]",1.0,1.0,1.0
combo_2,"[6, 9, 1, 5]",1.0,1.0,1.0
combo_3,"[6, 3, 11, 5]",1.0,1.0,1.0
combo_4,"[6, 3, 7, 5]",1.0,1.0,1.0
combo_5,"[6, 9, 7, 5]",1.0,1.0,1.0
combo_6,"[6, 9, 4, 5]",1.0,1.0,1.0
combo_7,"[6, 10, 1, 2]",1.0,0.96,1.0
combo_8,"[6, 10, 7, 2]",1.0,1.0,0.98
combo_9,"[6, 3, 4, 5]",1.0,1.0,1.0
combo_10,"[6, 10, 1, 8]",1.0,0.98,0.92
combo_11,"[6, 10, 7, 5]",1.0,1.0,1.0
combo_12,"[6, 3, 7, 2]",1.0,1.0,1.0
combo_13,"[6, 10, 4, 2]",1.0,1.0,1.0
combo_14,"[6, 9, 1, 2]",1.0,1.0,1.0
combo_15,"[6, 9, 11, 5]",1.0,1.0,1.0
combo_16,"[6, 3, 1, 8]",1.0,0.98,1.0
