Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[25, 47, 27]",0.94,0.92,0.84
combo_1,"[25, 6, 14]",0.92,0.84,0.84
combo_2,"[25, 36, 8]",0.82,0.76,0.72
combo_3,"[25, 43, 39]",0.8,0.76,0.66
combo_4,"[25, 6, 1]",0.78,0.7,0.66
combo_5,"[25, 48, 55]",0.76,0.82,0.66
combo_6,"[25, 24, 9]",0.8,0.78,0.74
combo_7,"[25, 36, 42]",1.0,0.92,0.9
combo_8,"[25, 5, 28]",0.98,0.92,0.84
combo_9,"[25, 2, 1]",0.84,0.82,0.72
combo_10,"[25, 58, 42]",1.0,1.0,0.96
combo_11,"[25, 38, 7]",1.0,0.98,1.0
combo_12,"[25, 16, 59]",0.96,0.94,0.94
combo_13,"[25, 58, 28]",0.94,0.92,0.9
combo_14,"[25, 51, 52]",0.98,0.88,0.86
combo_15,"[25, 48, 59]",0.84,0.82,0.7
combo_16,"[25, 30, 8]",0.78,0.72,0.62
combo_17,"[25, 40, 10]",0.82,0.86,0.74
combo_18,"[25, 21, 22]",1.0,1.0,0.96
combo_19,"[25, 51, 37]",0.82,0.78,0.7
combo_20,"[25, 18, 55]",0.96,0.98,0.98
combo_21,"[25, 57, 50]",0.88,0.88,0.82
combo_22,"[25, 35, 56]",0.86,0.8,0.74
combo_23,"[25, 5, 41]",0.78,0.8,0.7
combo_24,"[25, 15, 13]",0.98,1.0,1.0
combo_25,"[25, 47, 41]",0.7,0.72,0.6
combo_26,"[25, 15, 4]",1.0,1.0,1.0
combo_27,"[25, 48, 54]",0.8,0.76,0.74
combo_28,"[25, 18, 32]",1.0,1.0,1.0
combo_29,"[25, 40, 33]",0.78,0.72,0.64
combo_30,"[25, 38, 31]",1.0,1.0,1.0
combo_31,"[25, 18, 37]",0.92,0.94,0.86
combo_32,"[25, 40, 9]",0.78,0.78,0.66
combo_33,"[25, 30, 33]",0.86,0.8,0.74
combo_34,"[25, 16, 27]",1.0,1.0,1.0
combo_35,"[25, 51, 29]",0.94,0.78,0.72
combo_36,"[25, 45, 29]",1.0,0.92,0.92
combo_37,"[25, 5, 27]",1.0,1.0,1.0
combo_38,"[25, 18, 28]",0.92,0.96,0.9
combo_39,"[25, 21, 8]",0.84,0.82,0.72
combo_40,"[25, 46, 10]",0.88,0.86,0.84
combo_41,"[25, 23, 9]",0.96,0.86,0.84
combo_42,"[25, 58, 55]",0.98,0.92,0.98
combo_43,"[25, 48, 37]",0.82,0.78,0.68
combo_44,"[25, 51, 4]",0.86,0.82,0.74
combo_45,"[25, 24, 34]",0.82,0.82,0.74
combo_46,"[25, 23, 8]",0.82,0.76,0.7
combo_47,"[25, 51, 32]",0.9,0.88,0.88
