Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[1, 2, 23]",0.94,0.94,0.88
combo_1,"[1, 25, 20]",0.98,0.94,0.96
combo_2,"[1, 2, 7]",1.0,1.0,1.0
combo_3,"[1, 21, 23]",0.98,0.74,0.72
combo_4,"[1, 17, 6]",0.98,0.82,0.78
combo_5,"[1, 11, 19]",0.8,0.78,0.74
combo_6,"[1, 11, 9]",0.88,0.8,0.74
combo_7,"[1, 2, 6]",1.0,1.0,1.0
combo_8,"[1, 13, 20]",0.98,0.94,0.94
combo_9,"[1, 13, 28]",0.9,0.88,0.92
combo_10,"[1, 26, 8]",1.0,1.0,1.0
combo_11,"[1, 14, 23]",0.92,0.86,0.84
combo_12,"[1, 16, 3]",0.96,0.92,0.92
combo_13,"[1, 12, 3]",0.96,0.94,0.98
combo_14,"[1, 17, 28]",0.82,0.8,0.78
combo_15,"[1, 22, 4]",0.96,0.96,0.94
combo_16,"[1, 11, 28]",0.86,0.82,0.8
combo_17,"[1, 15, 9]",0.9,0.9,0.8
combo_18,"[1, 11, 3]",0.88,0.86,0.88
combo_19,"[1, 2, 5]",1.0,1.0,1.0
combo_20,"[1, 13, 7]",1.0,1.0,1.0
combo_21,"[1, 26, 28]",1.0,0.96,0.98
combo_22,"[1, 21, 7]",0.98,0.96,0.94
combo_23,"[1, 21, 3]",0.86,0.88,0.9
combo_24,"[1, 22, 20]",0.92,0.82,0.8
combo_25,"[1, 25, 8]",1.0,1.0,1.0
combo_26,"[1, 24, 3]",1.0,0.98,0.96
combo_27,"[1, 15, 20]",1.0,0.94,0.98
combo_28,"[1, 12, 9]",0.92,0.8,0.8
combo_29,"[1, 11, 6]",0.84,0.8,0.8
combo_30,"[1, 10, 9]",0.98,0.7,0.7
combo_31,"[1, 27, 8]",1.0,0.94,0.98
combo_32,"[1, 2, 9]",1.0,0.92,0.96
combo_33,"[1, 14, 20]",1.0,1.0,0.98
combo_34,"[1, 11, 5]",0.92,0.9,0.84
combo_35,"[1, 2, 28]",1.0,0.96,1.0
combo_36,"[1, 27, 6]",0.88,0.86,0.86
combo_37,"[1, 24, 19]",0.88,0.8,0.8
combo_38,"[1, 13, 3]",1.0,1.0,0.98
combo_39,"[1, 2, 3]",1.0,1.0,1.0
combo_40,"[1, 22, 23]",0.98,0.72,0.7
combo_41,"[1, 12, 23]",0.86,0.74,0.74
combo_42,"[1, 10, 3]",0.92,0.84,0.84
combo_43,"[1, 27, 3]",1.0,0.94,0.96
combo_44,"[1, 18, 6]",0.86,0.8,0.72
combo_45,"[1, 10, 28]",0.82,0.76,0.76
combo_46,"[1, 16, 6]",0.9,0.86,0.82
combo_47,"[1, 17, 4]",0.98,0.98,1.0
combo_48,"[1, 15, 28]",1.0,0.92,0.96
combo_49,"[1, 16, 4]",1.0,1.0,1.0
combo_50,"[1, 25, 9]",0.94,0.84,0.8
combo_51,"[1, 26, 6]",0.94,0.96,0.94
combo_52,"[1, 25, 23]",0.98,0.78,0.78
combo_53,"[1, 24, 8]",0.98,0.94,0.94
combo_54,"[1, 16, 19]",0.84,0.76,0.82
combo_55,"[1, 25, 28]",0.96,0.9,0.96
combo_56,"[1, 12, 4]",1.0,1.0,1.0
combo_57,"[1, 15, 19]",0.98,0.84,0.84
combo_58,"[1, 27, 19]",0.96,0.8,0.8
combo_59,"[1, 22, 6]",0.78,0.78,0.76
combo_60,"[1, 22, 7]",0.9,0.9,0.88
combo_61,"[1, 24, 7]",1.0,1.0,1.0
combo_62,"[1, 21, 28]",0.9,0.8,0.8
combo_63,"[1, 12, 6]",0.9,0.84,0.82
combo_64,"[1, 22, 8]",0.88,0.9,0.84
combo_65,"[1, 21, 6]",0.82,0.84,0.78
combo_66,"[1, 15, 8]",1.0,0.98,1.0
combo_67,"[1, 16, 20]",0.9,0.86,0.88
combo_68,"[1, 13, 23]",0.88,0.8,0.78
combo_69,"[1, 25, 5]",0.92,0.94,0.94
combo_70,"[1, 11, 20]",0.92,0.9,0.84
combo_71,"[1, 12, 28]",0.86,0.84,0.84
combo_72,"[1, 21, 4]",1.0,0.98,1.0
combo_73,"[1, 17, 7]",0.98,0.96,0.96
combo_74,"[1, 17, 8]",0.92,0.9,0.9
combo_75,"[1, 15, 3]",1.0,1.0,0.98
combo_76,"[1, 11, 8]",0.9,0.9,0.92
combo_77,"[1, 18, 7]",0.94,0.94,0.94
combo_78,"[1, 10, 7]",0.96,0.92,0.9
combo_79,"[1, 14, 28]",0.98,0.94,0.96
combo_80,"[1, 11, 7]",0.92,0.9,0.96
combo_81,"[1, 10, 20]",0.86,0.8,0.78
combo_82,"[1, 25, 6]",0.86,0.88,0.86
combo_83,"[1, 21, 19]",0.94,0.76,0.72
combo_84,"[1, 10, 4]",0.96,0.92,0.94
combo_85,"[1, 15, 23]",0.92,0.8,0.8
combo_86,"[1, 18, 19]",0.82,0.76,0.74
combo_87,"[1, 18, 3]",0.86,0.9,0.86
combo_88,"[1, 18, 9]",0.92,0.76,0.72
combo_89,"[1, 26, 4]",1.0,1.0,1.0
combo_90,"[1, 17, 5]",0.9,0.86,0.82
combo_91,"[1, 24, 9]",0.82,0.78,0.82
combo_92,"[1, 13, 19]",0.82,0.86,0.82
combo_93,"[1, 2, 8]",1.0,1.0,1.0
combo_94,"[1, 16, 5]",0.9,0.92,0.86
combo_95,"[1, 13, 9]",0.94,0.88,0.78
combo_96,"[1, 13, 4]",1.0,1.0,1.0
combo_97,"[1, 16, 23]",0.8,0.78,0.78
combo_98,"[1, 26, 23]",0.98,0.86,0.86
combo_99,"[1, 25, 7]",1.0,1.0,1.0
