Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[3, 26, 18]",1.0,0.98,0.98
combo_1,"[3, 13, 6]",0.98,0.94,0.94
combo_2,"[3, 14, 15]",0.94,0.86,0.82
combo_3,"[3, 13, 5]",0.92,0.84,0.84
combo_4,"[3, 24, 16]",0.86,0.72,0.76
combo_5,"[3, 20, 15]",0.98,0.98,0.92
combo_6,"[3, 19, 4]",1.0,1.0,1.0
combo_7,"[3, 26, 2]",1.0,1.0,0.98
combo_8,"[3, 19, 2]",1.0,1.0,1.0
combo_9,"[3, 12, 11]",0.9,0.82,0.84
combo_10,"[3, 22, 9]",0.9,0.82,0.76
combo_11,"[3, 22, 16]",0.76,0.66,0.68
combo_12,"[3, 22, 7]",0.88,0.86,0.82
combo_13,"[3, 24, 2]",0.94,0.98,0.92
combo_14,"[3, 13, 17]",0.96,0.94,0.92
combo_15,"[3, 21, 5]",0.78,0.66,0.7
combo_16,"[3, 14, 8]",0.98,0.92,0.86
combo_17,"[3, 24, 1]",0.98,1.0,1.0
combo_18,"[3, 25, 2]",1.0,0.94,0.96
combo_19,"[3, 14, 17]",0.96,0.9,0.94
combo_20,"[3, 13, 1]",1.0,1.0,1.0
combo_21,"[3, 12, 18]",0.98,0.92,0.86
combo_22,"[3, 13, 11]",0.94,0.94,0.92
combo_23,"[3, 25, 4]",1.0,1.0,1.0
combo_24,"[3, 19, 11]",0.96,0.98,0.96
combo_25,"[3, 12, 1]",1.0,0.94,0.9
combo_26,"[3, 21, 6]",0.84,0.74,0.76
combo_27,"[3, 13, 18]",1.0,1.0,1.0
combo_28,"[3, 25, 17]",0.98,0.9,0.9
combo_29,"[3, 21, 2]",0.8,0.8,0.8
combo_30,"[3, 23, 2]",0.94,0.94,0.88
combo_31,"[3, 26, 6]",1.0,0.86,0.88
combo_32,"[3, 13, 7]",1.0,0.98,1.0
combo_33,"[3, 14, 10]",1.0,0.92,0.94
combo_34,"[3, 14, 18]",1.0,0.94,0.92
combo_35,"[3, 23, 17]",0.88,0.86,0.84
combo_36,"[3, 21, 7]",0.82,0.78,0.8
combo_37,"[3, 20, 6]",1.0,0.98,1.0
combo_38,"[3, 25, 6]",1.0,0.84,0.86
combo_39,"[3, 24, 11]",0.84,0.86,0.86
combo_40,"[3, 14, 1]",1.0,0.98,0.98
combo_41,"[3, 20, 9]",1.0,1.0,1.0
combo_42,"[3, 24, 9]",1.0,0.9,0.88
combo_43,"[3, 22, 11]",0.8,0.8,0.74
combo_44,"[3, 24, 17]",0.9,0.9,0.88
combo_45,"[3, 23, 4]",0.98,1.0,0.98
combo_46,"[3, 22, 10]",0.86,0.84,0.86
combo_47,"[3, 22, 2]",0.86,0.86,0.84
combo_48,"[3, 12, 6]",0.96,0.84,0.76
combo_49,"[3, 19, 7]",1.0,1.0,1.0
combo_50,"[3, 14, 16]",0.88,0.74,0.72
combo_51,"[3, 12, 5]",0.96,0.74,0.8
combo_52,"[3, 20, 5]",0.94,0.94,0.96
combo_53,"[3, 22, 18]",0.84,0.86,0.86
combo_54,"[3, 22, 5]",0.8,0.72,0.72
combo_55,"[3, 22, 4]",0.94,0.94,0.94
combo_56,"[3, 23, 7]",0.94,0.9,0.92
combo_57,"[3, 12, 8]",0.9,0.8,0.84
combo_58,"[3, 20, 16]",0.92,0.9,0.88
combo_59,"[3, 20, 2]",1.0,1.0,1.0
combo_60,"[3, 19, 17]",1.0,0.98,0.96
combo_61,"[3, 19, 16]",0.88,0.82,0.84
combo_62,"[3, 24, 15]",0.82,0.84,0.82
combo_63,"[3, 20, 18]",1.0,1.0,1.0
combo_64,"[3, 14, 7]",1.0,0.94,0.96
combo_65,"[3, 14, 5]",0.92,0.82,0.8
combo_66,"[3, 19, 9]",1.0,0.98,1.0
combo_67,"[3, 12, 10]",0.98,0.9,0.92
combo_68,"[3, 24, 6]",0.92,0.86,0.84
combo_69,"[3, 25, 9]",1.0,0.92,0.88
combo_70,"[3, 21, 1]",0.84,0.84,0.8
combo_71,"[3, 12, 17]",0.92,0.86,0.82
combo_72,"[3, 12, 4]",1.0,1.0,0.94
combo_73,"[3, 25, 15]",0.9,0.8,0.78
combo_74,"[3, 21, 15]",0.76,0.76,0.66
combo_75,"[3, 12, 7]",0.94,0.88,0.94
combo_76,"[3, 14, 11]",0.96,0.88,0.84
combo_77,"[3, 24, 8]",0.94,0.92,0.9
combo_78,"[3, 22, 8]",0.86,0.76,0.78
combo_79,"[3, 21, 17]",0.82,0.8,0.76
combo_80,"[3, 13, 9]",0.98,0.96,0.92
combo_81,"[3, 23, 16]",0.8,0.74,0.78
combo_82,"[3, 14, 6]",0.96,0.84,0.82
combo_83,"[3, 24, 10]",0.98,0.92,0.96
combo_84,"[3, 24, 5]",0.9,0.84,0.76
combo_85,"[3, 19, 18]",1.0,1.0,1.0
combo_86,"[3, 26, 7]",0.98,0.98,0.98
combo_87,"[3, 22, 1]",0.9,0.92,0.88
combo_88,"[3, 22, 15]",0.78,0.72,0.74
combo_89,"[3, 24, 7]",0.94,0.92,0.94
combo_90,"[3, 25, 1]",1.0,1.0,1.0
combo_91,"[3, 13, 15]",0.96,0.92,0.86
combo_92,"[3, 12, 16]",0.88,0.7,0.7
combo_93,"[3, 26, 17]",0.92,0.96,0.96
combo_94,"[3, 23, 8]",0.86,0.84,0.84
combo_95,"[3, 20, 8]",1.0,1.0,1.0
combo_96,"[3, 25, 18]",1.0,0.96,0.96
combo_97,"[3, 24, 18]",0.96,0.94,0.94
combo_98,"[3, 23, 11]",0.86,0.78,0.78
combo_99,"[3, 21, 18]",0.82,0.78,0.82
