Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[40, 35, 27, 11, 43]",0.66,0.6,0.5
combo_1,"[40, 35, 29, 53, 43]",0.7,0.64,0.58
combo_2,"[40, 23, 18, 33, 43]",0.84,0.76,0.72
combo_3,"[40, 16, 17, 25, 41]",0.84,0.0,0.0
combo_4,"[40, 16, 29, 47, 43]",0.7,0.0,0.0
combo_5,"[40, 19, 34, 30, 36]",0.86,0.68,0.62
combo_6,"[40, 16, 18, 51, 42]",0.82,0.0,0.0
combo_7,"[40, 14, 13, 38, 4]",0.74,0.0,0.0
combo_8,"[40, 26, 13, 39, 36]",0.68,0.0,0.0
combo_9,"[40, 16, 27, 51, 36]",0.68,0.0,0.0
combo_10,"[40, 23, 20, 7, 43]",0.76,0.72,0.7
combo_11,"[40, 21, 34, 53, 4]",0.72,0.52,0.44
combo_12,"[40, 22, 15, 48, 42]",0.76,0.68,0.58
combo_13,"[40, 26, 15, 30, 43]",0.72,0.58,0.52
combo_14,"[40, 23, 17, 5, 36]",0.92,0.78,0.74
combo_15,"[40, 16, 17, 39, 41]",0.94,0.0,0.0
combo_16,"[40, 35, 29, 50, 42]",0.72,0.66,0.6
combo_17,"[40, 21, 29, 6, 36]",0.76,0.0,0.0
combo_18,"[40, 14, 29, 32, 42]",0.68,0.0,0.0
combo_19,"[40, 19, 17, 8, 41]",0.9,0.0,0.0
combo_20,"[40, 14, 18, 11, 43]",0.66,0.0,0.0
combo_21,"[40, 23, 17, 6, 42]",0.92,0.8,0.76
combo_22,"[40, 14, 29, 45, 36]",0.66,0.0,0.0
combo_23,"[40, 19, 20, 24, 4]",0.86,0.0,0.0
combo_24,"[40, 22, 15, 24, 36]",0.74,0.62,0.52
combo_25,"[40, 23, 29, 52, 42]",0.72,0.66,0.62
combo_26,"[40, 16, 15, 44, 36]",0.9,0.68,0.66
combo_27,"[40, 26, 34, 44, 36]",0.66,0.58,0.46
combo_28,"[40, 23, 18, 32, 43]",0.78,0.72,0.64
combo_29,"[40, 19, 18, 49, 41]",0.88,0.0,0.0
combo_30,"[40, 22, 27, 1, 36]",0.7,0.0,0.0
combo_31,"[40, 14, 13, 5, 41]",0.72,0.0,0.0
combo_32,"[40, 14, 13, 47, 42]",0.7,0.0,0.0
combo_33,"[40, 23, 20, 37, 42]",0.82,0.82,0.78
combo_34,"[40, 16, 13, 44, 43]",0.68,0.0,0.0
combo_35,"[40, 21, 20, 2, 43]",0.7,0.0,0.0
combo_36,"[40, 19, 17, 9, 41]",0.94,0.0,0.0
combo_37,"[40, 35, 13, 46, 4]",0.72,0.54,0.42
combo_38,"[40, 19, 20, 39, 4]",0.82,0.0,0.0
combo_39,"[40, 19, 29, 24, 4]",0.76,0.0,0.0
combo_40,"[40, 35, 34, 6, 4]",0.94,0.62,0.48
combo_41,"[40, 16, 13, 48, 4]",0.72,0.0,0.0
combo_42,"[40, 35, 29, 32, 41]",0.76,0.66,0.58
combo_43,"[40, 23, 27, 31, 43]",0.68,0.68,0.56
combo_44,"[40, 16, 20, 51, 4]",0.74,0.0,0.0
combo_45,"[40, 35, 15, 11, 41]",0.88,0.82,0.74
combo_46,"[40, 23, 27, 7, 42]",0.7,0.7,0.62
combo_47,"[40, 21, 17, 49, 4]",0.8,0.0,0.0
combo_48,"[40, 23, 29, 31, 4]",0.72,0.54,0.42
combo_49,"[40, 35, 29, 7, 41]",0.72,0.7,0.64
combo_50,"[40, 14, 29, 44, 42]",0.66,0.0,0.0
combo_51,"[40, 26, 34, 38, 41]",0.76,0.7,0.64
combo_52,"[40, 14, 27, 30, 4]",0.68,0.0,0.0
combo_53,"[40, 26, 27, 32, 4]",0.72,0.0,0.0
combo_54,"[40, 19, 15, 49, 36]",0.8,0.66,0.66
combo_55,"[40, 35, 15, 46, 41]",0.92,0.88,0.8
combo_56,"[40, 21, 20, 49, 42]",0.8,0.0,0.0
combo_57,"[40, 26, 29, 37, 4]",0.7,0.0,0.0
combo_58,"[40, 19, 29, 9, 41]",0.78,0.0,0.0
combo_59,"[40, 16, 13, 39, 4]",0.74,0.0,0.0
combo_60,"[40, 35, 13, 50, 36]",0.72,0.58,0.54
combo_61,"[40, 26, 15, 2, 43]",0.64,0.58,0.5
combo_62,"[40, 23, 17, 10, 42]",0.94,0.86,0.8
combo_63,"[40, 14, 20, 47, 36]",0.66,0.0,0.0
combo_64,"[40, 35, 15, 9, 36]",1.0,0.82,0.74
combo_65,"[40, 35, 20, 53, 36]",0.82,0.66,0.62
combo_66,"[40, 22, 20, 28, 42]",0.78,0.0,0.0
combo_67,"[40, 16, 34, 44, 41]",0.9,0.84,0.68
combo_68,"[40, 23, 18, 38, 4]",0.84,0.66,0.54
combo_69,"[40, 26, 29, 33, 36]",0.74,0.0,0.0
combo_70,"[40, 16, 18, 11, 42]",0.78,0.0,0.0
combo_71,"[40, 14, 34, 33, 41]",0.74,0.66,0.56
combo_72,"[40, 14, 34, 52, 36]",0.72,0.56,0.5
combo_73,"[40, 35, 13, 1, 4]",0.72,0.48,0.38
combo_74,"[40, 23, 34, 45, 36]",0.84,0.78,0.66
combo_75,"[40, 26, 13, 50, 4]",0.66,0.0,0.0
combo_76,"[40, 14, 20, 3, 4]",0.74,0.0,0.0
combo_77,"[40, 14, 13, 8, 43]",0.72,0.0,0.0
combo_78,"[40, 26, 34, 30, 36]",0.72,0.6,0.54
combo_79,"[40, 23, 34, 6, 4]",0.92,0.68,0.56
combo_80,"[40, 26, 13, 5, 41]",0.72,0.0,0.0
combo_81,"[40, 19, 15, 2, 41]",0.82,0.74,0.58
combo_82,"[40, 23, 18, 5, 36]",0.86,0.72,0.72
combo_83,"[40, 35, 15, 47, 43]",0.9,0.8,0.78
combo_84,"[40, 35, 34, 53, 36]",0.9,0.78,0.66
combo_85,"[40, 22, 18, 49, 42]",0.78,0.0,0.0
combo_86,"[40, 22, 29, 44, 4]",0.72,0.0,0.0
combo_87,"[40, 16, 27, 6, 42]",0.74,0.0,0.0
combo_88,"[40, 35, 29, 32, 36]",0.7,0.6,0.52
combo_89,"[40, 26, 27, 47, 36]",0.7,0.0,0.0
combo_90,"[40, 23, 15, 44, 36]",0.92,0.78,0.72
combo_91,"[40, 23, 13, 28, 4]",0.74,0.6,0.44
combo_92,"[40, 19, 17, 45, 4]",0.8,0.0,0.0
combo_93,"[40, 23, 34, 44, 36]",0.94,0.78,0.78
combo_94,"[40, 21, 17, 48, 36]",0.74,0.0,0.0
combo_95,"[40, 19, 20, 45, 41]",0.76,0.0,0.0
combo_96,"[40, 26, 17, 6, 43]",0.72,0.0,0.0
combo_97,"[40, 19, 18, 31, 41]",0.82,0.0,0.0
combo_98,"[40, 16, 18, 32, 36]",0.82,0.0,0.0
combo_99,"[40, 35, 15, 51, 4]",0.86,0.62,0.48
