Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[4, 15, 2, 3, 8]",1.0,0.96,0.98
combo_1,"[4, 16, 10, 11, 5]",0.94,0.82,0.78
combo_2,"[4, 14, 2, 11, 9]",0.84,0.82,0.78
combo_3,"[4, 15, 2, 12, 7]",1.0,0.96,0.9
combo_4,"[4, 15, 2, 18, 9]",0.92,0.74,0.74
combo_5,"[4, 15, 17, 11, 8]",0.96,0.82,0.76
combo_6,"[4, 16, 20, 3, 9]",0.82,0.66,0.62
combo_7,"[4, 15, 17, 18, 5]",0.96,0.68,0.64
combo_8,"[4, 13, 20, 3, 5]",0.9,0.78,0.78
combo_9,"[4, 13, 2, 19, 8]",0.96,0.92,0.84
combo_10,"[4, 16, 17, 19, 6]",0.9,0.66,0.6
combo_11,"[4, 16, 10, 12, 8]",0.98,0.78,0.8
combo_12,"[4, 16, 10, 12, 6]",0.86,0.7,0.68
combo_13,"[4, 14, 2, 3, 9]",0.88,0.82,0.88
combo_14,"[4, 15, 20, 19, 7]",1.0,0.74,0.7
combo_15,"[4, 14, 10, 3, 6]",0.96,0.84,0.86
combo_16,"[4, 13, 2, 12, 5]",0.96,0.86,0.88
combo_17,"[4, 13, 2, 3, 9]",0.92,0.86,0.88
combo_18,"[4, 13, 10, 11, 9]",0.84,0.78,0.78
combo_19,"[4, 14, 2, 11, 8]",1.0,0.96,0.92
combo_20,"[4, 15, 10, 12, 9]",0.86,0.76,0.7
combo_21,"[4, 16, 17, 12, 9]",0.88,0.64,0.6
combo_22,"[4, 1, 2, 11, 6]",0.94,0.92,0.9
combo_23,"[4, 1, 2, 3, 9]",0.94,0.86,0.94
combo_24,"[4, 13, 17, 18, 9]",0.84,0.62,0.6
combo_25,"[4, 1, 17, 11, 5]",0.88,0.84,0.84
combo_26,"[4, 14, 10, 19, 7]",1.0,0.94,0.84
combo_27,"[4, 15, 10, 19, 9]",0.88,0.7,0.66
combo_28,"[4, 1, 17, 12, 6]",0.84,0.74,0.72
combo_29,"[4, 1, 10, 18, 6]",0.94,0.84,0.8
combo_30,"[4, 14, 2, 3, 7]",1.0,1.0,1.0
combo_31,"[4, 16, 10, 11, 7]",0.98,0.88,0.84
combo_32,"[4, 15, 20, 12, 9]",0.84,0.64,0.58
combo_33,"[4, 15, 20, 3, 6]",0.9,0.76,0.72
combo_34,"[4, 16, 10, 18, 6]",0.9,0.68,0.66
combo_35,"[4, 15, 2, 18, 8]",1.0,0.92,0.84
combo_36,"[4, 1, 20, 19, 6]",0.92,0.68,0.64
combo_37,"[4, 1, 17, 12, 8]",0.92,0.8,0.8
combo_38,"[4, 16, 10, 18, 7]",1.0,0.82,0.84
combo_39,"[4, 13, 10, 11, 5]",0.94,0.9,0.9
combo_40,"[4, 16, 2, 19, 8]",0.98,0.86,0.74
combo_41,"[4, 15, 10, 12, 5]",0.98,0.84,0.76
combo_42,"[4, 15, 10, 12, 6]",0.94,0.76,0.72
combo_43,"[4, 13, 2, 11, 7]",1.0,0.98,1.0
combo_44,"[4, 1, 2, 12, 6]",0.94,0.84,0.86
combo_45,"[4, 13, 10, 18, 9]",0.84,0.74,0.72
combo_46,"[4, 16, 20, 18, 7]",1.0,0.68,0.62
combo_47,"[4, 1, 17, 18, 8]",0.98,0.8,0.74
combo_48,"[4, 15, 17, 19, 5]",0.9,0.7,0.62
combo_49,"[4, 16, 17, 18, 9]",0.86,0.6,0.56
combo_50,"[4, 14, 17, 18, 6]",0.9,0.66,0.6
combo_51,"[4, 13, 2, 3, 5]",0.98,0.96,0.96
combo_52,"[4, 15, 2, 12, 5]",0.96,0.84,0.78
combo_53,"[4, 13, 17, 18, 8]",0.96,0.74,0.7
combo_54,"[4, 16, 17, 11, 7]",1.0,0.8,0.76
combo_55,"[4, 15, 2, 11, 9]",0.9,0.76,0.78
combo_56,"[4, 15, 20, 18, 9]",0.84,0.64,0.58
combo_57,"[4, 15, 17, 12, 7]",1.0,0.8,0.78
combo_58,"[4, 1, 20, 18, 9]",0.86,0.7,0.58
combo_59,"[4, 13, 17, 19, 5]",0.92,0.74,0.68
combo_60,"[4, 13, 2, 12, 7]",1.0,0.94,0.94
combo_61,"[4, 1, 17, 18, 5]",0.98,0.74,0.62
combo_62,"[4, 14, 2, 18, 7]",1.0,0.94,0.98
combo_63,"[4, 16, 20, 3, 7]",0.98,0.86,0.74
combo_64,"[4, 16, 20, 11, 6]",0.84,0.68,0.6
combo_65,"[4, 16, 17, 12, 5]",0.98,0.7,0.66
combo_66,"[4, 15, 2, 12, 6]",0.88,0.8,0.76
combo_67,"[4, 1, 20, 3, 7]",1.0,0.94,0.92
combo_68,"[4, 13, 17, 3, 5]",0.9,0.8,0.84
combo_69,"[4, 16, 2, 19, 5]",0.92,0.78,0.72
combo_70,"[4, 13, 2, 3, 8]",1.0,1.0,0.98
combo_71,"[4, 15, 17, 11, 7]",1.0,0.84,0.82
combo_72,"[4, 14, 10, 18, 8]",1.0,0.88,0.86
combo_73,"[4, 13, 17, 11, 5]",0.9,0.82,0.72
combo_74,"[4, 13, 17, 19, 7]",0.98,0.82,0.78
combo_75,"[4, 15, 20, 19, 8]",0.92,0.72,0.66
combo_76,"[4, 1, 17, 11, 6]",0.86,0.8,0.78
combo_77,"[4, 14, 17, 12, 9]",0.84,0.68,0.62
combo_78,"[4, 14, 10, 11, 7]",1.0,0.96,0.96
combo_79,"[4, 13, 20, 18, 7]",0.98,0.8,0.66
combo_80,"[4, 1, 17, 12, 9]",0.86,0.74,0.68
combo_81,"[4, 16, 2, 18, 7]",1.0,0.86,0.84
combo_82,"[4, 15, 17, 3, 7]",1.0,0.88,0.86
combo_83,"[4, 16, 10, 18, 8]",0.98,0.8,0.78
combo_84,"[4, 14, 20, 18, 6]",0.86,0.68,0.58
combo_85,"[4, 16, 17, 12, 7]",1.0,0.76,0.72
combo_86,"[4, 16, 10, 3, 5]",0.96,0.76,0.8
combo_87,"[4, 1, 2, 18, 5]",0.94,0.94,0.9
combo_88,"[4, 16, 20, 12, 7]",0.98,0.74,0.7
combo_89,"[4, 16, 17, 12, 6]",0.9,0.68,0.64
combo_90,"[4, 13, 17, 11, 6]",0.84,0.78,0.7
combo_91,"[4, 16, 20, 11, 8]",0.9,0.72,0.66
combo_92,"[4, 14, 17, 11, 6]",0.82,0.74,0.76
combo_93,"[4, 14, 10, 3, 8]",1.0,0.96,0.96
combo_94,"[4, 13, 17, 12, 8]",0.94,0.8,0.78
combo_95,"[4, 1, 2, 11, 7]",1.0,1.0,1.0
combo_96,"[4, 13, 10, 19, 6]",0.88,0.78,0.66
combo_97,"[4, 15, 2, 11, 7]",1.0,0.94,0.92
combo_98,"[4, 16, 2, 3, 6]",0.92,0.78,0.8
combo_99,"[4, 13, 17, 19, 6]",0.82,0.7,0.66
