Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[23, 17, 27]",1.0,0.92,0.86
combo_1,"[23, 4, 7]",1.0,0.98,1.0
combo_2,"[23, 20, 11]",0.98,0.96,0.96
combo_3,"[23, 18, 8]",1.0,0.98,0.96
combo_4,"[23, 2, 12]",1.0,0.98,0.96
combo_5,"[23, 1, 14]",1.0,1.0,1.0
combo_6,"[23, 3, 13]",0.9,0.82,0.78
combo_7,"[23, 18, 11]",0.98,0.94,0.9
combo_8,"[23, 4, 8]",1.0,0.94,0.92
combo_9,"[23, 1, 9]",1.0,1.0,1.0
combo_10,"[23, 20, 15]",0.98,0.98,0.94
combo_11,"[23, 3, 12]",1.0,0.88,0.84
combo_12,"[23, 3, 5]",0.96,0.94,0.88
combo_13,"[23, 16, 10]",0.96,0.86,0.86
combo_14,"[23, 22, 12]",1.0,1.0,1.0
combo_15,"[23, 2, 9]",1.0,1.0,0.98
combo_16,"[23, 3, 9]",1.0,0.94,0.9
combo_17,"[23, 3, 6]",0.94,0.88,0.88
combo_18,"[23, 18, 25]",1.0,0.98,0.96
combo_19,"[23, 4, 11]",1.0,0.92,0.9
combo_20,"[23, 1, 25]",1.0,1.0,1.0
combo_21,"[23, 21, 14]",1.0,1.0,1.0
combo_22,"[23, 17, 14]",0.98,1.0,1.0
combo_23,"[23, 21, 11]",1.0,1.0,0.98
combo_24,"[23, 3, 14]",1.0,0.94,0.98
combo_25,"[23, 21, 15]",1.0,1.0,0.98
combo_26,"[23, 17, 11]",0.96,0.92,0.9
combo_27,"[23, 22, 13]",1.0,0.96,1.0
combo_28,"[23, 21, 26]",1.0,1.0,1.0
combo_29,"[23, 16, 9]",1.0,0.96,0.92
combo_30,"[23, 22, 25]",1.0,1.0,1.0
combo_31,"[23, 19, 13]",0.96,0.78,0.82
combo_32,"[23, 16, 14]",1.0,1.0,0.92
combo_33,"[23, 3, 25]",1.0,0.96,0.92
combo_34,"[23, 2, 5]",1.0,0.98,0.98
combo_35,"[23, 19, 25]",1.0,0.98,0.94
combo_36,"[23, 4, 27]",1.0,0.92,0.9
combo_37,"[23, 18, 6]",0.98,0.92,0.92
combo_38,"[23, 16, 25]",1.0,0.98,0.94
combo_39,"[23, 2, 13]",0.96,0.86,0.92
combo_40,"[23, 1, 27]",1.0,0.96,0.96
combo_41,"[23, 1, 13]",0.96,0.9,0.96
combo_42,"[23, 18, 14]",1.0,0.98,1.0
combo_43,"[23, 3, 15]",1.0,0.92,0.86
combo_44,"[23, 21, 12]",1.0,1.0,0.98
combo_45,"[23, 4, 5]",1.0,0.98,0.96
combo_46,"[23, 21, 6]",1.0,1.0,0.96
combo_47,"[23, 2, 11]",1.0,0.94,0.94
combo_48,"[23, 17, 5]",1.0,1.0,0.94
combo_49,"[23, 19, 14]",0.98,0.96,0.96
combo_50,"[23, 22, 26]",1.0,1.0,1.0
combo_51,"[23, 21, 25]",1.0,1.0,1.0
combo_52,"[23, 2, 26]",1.0,1.0,1.0
combo_53,"[23, 17, 12]",0.98,0.92,0.92
combo_54,"[23, 22, 10]",1.0,1.0,1.0
combo_55,"[23, 16, 11]",1.0,0.84,0.84
combo_56,"[23, 2, 24]",1.0,1.0,1.0
combo_57,"[23, 4, 24]",1.0,1.0,1.0
combo_58,"[23, 22, 7]",1.0,1.0,1.0
combo_59,"[23, 22, 9]",1.0,1.0,1.0
combo_60,"[23, 22, 24]",1.0,1.0,1.0
combo_61,"[23, 3, 24]",1.0,0.98,0.96
combo_62,"[23, 19, 8]",0.98,0.94,0.92
combo_63,"[23, 17, 6]",1.0,0.92,0.92
combo_64,"[23, 3, 8]",0.96,0.96,0.9
combo_65,"[23, 19, 7]",1.0,0.94,0.94
combo_66,"[23, 22, 11]",1.0,1.0,1.0
combo_67,"[23, 4, 25]",1.0,0.96,1.0
combo_68,"[23, 17, 25]",1.0,1.0,0.98
combo_69,"[23, 17, 24]",1.0,1.0,1.0
combo_70,"[23, 18, 7]",1.0,1.0,1.0
combo_71,"[23, 16, 13]",0.92,0.86,0.78
combo_72,"[23, 19, 27]",1.0,0.9,0.88
combo_73,"[23, 19, 12]",0.98,0.86,0.88
combo_74,"[23, 18, 24]",1.0,1.0,1.0
combo_75,"[23, 3, 10]",0.96,0.88,0.86
combo_76,"[23, 1, 7]",1.0,1.0,1.0
combo_77,"[23, 1, 15]",1.0,0.94,0.96
combo_78,"[23, 3, 26]",1.0,0.92,0.92
combo_79,"[23, 17, 10]",0.96,0.9,0.92
combo_80,"[23, 2, 15]",0.98,0.98,0.94
combo_81,"[23, 20, 10]",1.0,0.96,0.96
combo_82,"[23, 20, 9]",1.0,1.0,0.98
combo_83,"[23, 3, 11]",0.98,0.9,0.82
combo_84,"[23, 17, 7]",1.0,1.0,1.0
combo_85,"[23, 1, 10]",1.0,0.96,0.94
combo_86,"[23, 18, 10]",0.98,0.92,0.88
combo_87,"[23, 18, 27]",1.0,0.96,0.88
combo_88,"[23, 22, 6]",1.0,1.0,1.0
combo_89,"[23, 17, 26]",1.0,0.98,0.96
combo_90,"[23, 21, 24]",1.0,1.0,1.0
combo_91,"[23, 19, 6]",0.96,0.9,0.84
combo_92,"[23, 2, 25]",1.0,1.0,1.0
combo_93,"[23, 4, 6]",1.0,0.92,0.88
combo_94,"[23, 20, 26]",1.0,0.96,0.98
combo_95,"[23, 21, 9]",1.0,1.0,1.0
combo_96,"[23, 16, 15]",0.98,0.9,0.86
combo_97,"[23, 16, 26]",1.0,0.92,0.92
combo_98,"[23, 3, 27]",1.0,0.88,0.86
combo_99,"[23, 18, 13]",0.96,0.86,0.82
