Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[14, 6, 44, 3, 28]",0.74,0.58,0.5
combo_1,"[14, 20, 47, 4, 13]",0.84,0.58,0.48
combo_2,"[14, 19, 21, 2, 28]",0.92,0.6,0.6
combo_3,"[14, 6, 44, 2, 7]",0.86,0.0,0.0
combo_4,"[14, 16, 49, 50, 12]",0.76,0.58,0.6
combo_5,"[14, 18, 38, 2, 29]",0.92,0.76,0.7
combo_6,"[14, 20, 46, 50, 12]",0.8,0.54,0.44
combo_7,"[14, 37, 39, 41, 5]",0.78,0.62,0.52
combo_8,"[14, 9, 11, 41, 27]",0.78,0.58,0.54
combo_9,"[14, 17, 47, 4, 12]",0.86,0.7,0.7
combo_10,"[14, 18, 39, 2, 27]",0.96,0.8,0.72
combo_11,"[14, 16, 38, 36, 29]",0.94,0.8,0.82
combo_12,"[14, 9, 49, 41, 7]",0.74,0.5,0.48
combo_13,"[14, 17, 34, 35, 5]",0.98,0.9,0.88
combo_14,"[14, 10, 45, 36, 25]",0.86,0.74,0.68
combo_15,"[14, 19, 42, 4, 28]",0.82,0.0,0.0
combo_16,"[14, 6, 21, 4, 28]",0.86,0.62,0.58
combo_17,"[14, 18, 38, 35, 25]",0.9,0.84,0.9
combo_18,"[14, 16, 34, 3, 12]",0.86,0.68,0.68
combo_19,"[14, 20, 22, 3, 27]",0.78,0.56,0.48
combo_20,"[14, 15, 31, 3, 29]",0.9,0.62,0.66
combo_21,"[14, 20, 42, 2, 13]",0.82,0.56,0.0
combo_22,"[14, 37, 39, 41, 7]",0.8,0.64,0.58
combo_23,"[14, 10, 43, 50, 13]",0.76,0.58,0.54
combo_24,"[14, 19, 22, 3, 26]",0.72,0.58,0.56
combo_25,"[14, 15, 30, 35, 7]",0.98,0.8,0.74
combo_26,"[14, 10, 42, 35, 25]",0.88,0.74,0.7
combo_27,"[14, 15, 47, 36, 24]",0.98,0.84,0.82
combo_28,"[14, 15, 1, 36, 27]",1.0,0.9,0.94
combo_29,"[14, 19, 42, 35, 27]",0.86,0.78,0.78
combo_30,"[14, 10, 30, 41, 12]",0.84,0.62,0.56
combo_31,"[14, 15, 40, 50, 12]",0.76,0.56,0.54
combo_32,"[14, 17, 22, 3, 24]",0.8,0.68,0.68
combo_33,"[14, 18, 33, 50, 25]",0.84,0.72,0.66
combo_34,"[14, 9, 32, 3, 27]",0.86,0.64,0.64
combo_35,"[14, 37, 23, 2, 5]",0.84,0.62,0.56
combo_36,"[14, 6, 44, 50, 27]",0.76,0.6,0.54
combo_37,"[14, 37, 21, 41, 8]",0.84,0.6,0.56
combo_38,"[14, 10, 11, 4, 28]",0.9,0.66,0.62
combo_39,"[14, 17, 30, 2, 8]",0.92,0.72,0.7
combo_40,"[14, 16, 21, 35, 13]",0.92,0.78,0.76
combo_41,"[14, 19, 1, 4, 25]",0.94,0.68,0.68
combo_42,"[14, 9, 32, 41, 25]",0.86,0.64,0.64
combo_43,"[14, 19, 47, 36, 27]",0.94,0.8,0.8
combo_44,"[14, 9, 33, 50, 7]",0.84,0.54,0.5
combo_45,"[14, 6, 46, 50, 25]",0.78,0.62,0.54
combo_46,"[14, 10, 43, 4, 25]",0.82,0.6,0.58
