Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[15, 8, 24]",0.98,0.96,0.88
combo_1,"[15, 8, 20]",1.0,1.0,0.94
combo_2,"[15, 5, 23]",0.98,0.98,0.92
combo_3,"[15, 1, 24]",0.98,0.92,0.88
combo_4,"[15, 12, 20]",1.0,1.0,1.0
combo_5,"[15, 12, 19]",1.0,1.0,1.0
combo_6,"[15, 16, 24]",1.0,1.0,0.96
combo_7,"[15, 4, 24]",0.98,0.92,0.86
combo_8,"[15, 16, 23]",1.0,1.0,1.0
combo_9,"[15, 7, 24]",0.98,0.98,0.94
combo_10,"[15, 4, 22]",1.0,0.96,0.92
combo_11,"[15, 9, 19]",1.0,1.0,0.98
combo_12,"[15, 2, 24]",0.98,0.94,0.82
combo_13,"[15, 2, 21]",1.0,0.94,0.86
combo_14,"[15, 4, 19]",1.0,1.0,1.0
combo_15,"[15, 3, 21]",1.0,0.98,0.94
combo_16,"[15, 17, 22]",1.0,1.0,1.0
combo_17,"[15, 11, 23]",1.0,1.0,0.94
combo_18,"[15, 5, 25]",0.98,0.94,0.86
combo_19,"[15, 1, 21]",1.0,0.96,0.98
combo_20,"[15, 6, 18]",1.0,1.0,1.0
combo_21,"[15, 6, 23]",1.0,0.98,0.94
combo_22,"[15, 2, 19]",1.0,0.98,0.98
combo_23,"[15, 8, 21]",1.0,0.98,0.9
combo_24,"[15, 12, 24]",1.0,0.98,0.94
combo_25,"[15, 3, 20]",1.0,1.0,1.0
combo_26,"[15, 11, 25]",1.0,0.94,0.88
combo_27,"[15, 1, 23]",1.0,0.96,0.92
combo_28,"[15, 8, 22]",1.0,1.0,0.84
combo_29,"[15, 12, 25]",0.96,0.98,0.94
combo_30,"[15, 5, 18]",1.0,1.0,1.0
combo_31,"[15, 7, 23]",1.0,0.98,0.92
combo_32,"[15, 7, 20]",1.0,1.0,0.98
combo_33,"[15, 14, 22]",1.0,1.0,1.0
combo_34,"[15, 11, 21]",1.0,1.0,0.98
combo_35,"[15, 6, 13]",1.0,1.0,1.0
combo_36,"[15, 11, 19]",1.0,1.0,1.0
combo_37,"[15, 14, 25]",1.0,1.0,0.98
combo_38,"[15, 9, 23]",1.0,0.98,0.88
combo_39,"[15, 5, 20]",1.0,1.0,0.98
combo_40,"[15, 5, 21]",1.0,0.98,0.94
combo_41,"[15, 12, 22]",1.0,1.0,1.0
combo_42,"[15, 1, 13]",1.0,1.0,0.98
combo_43,"[15, 17, 21]",1.0,1.0,1.0
combo_44,"[15, 14, 24]",1.0,1.0,0.98
combo_45,"[15, 4, 21]",1.0,0.98,0.9
combo_46,"[15, 8, 13]",1.0,1.0,0.98
combo_47,"[15, 14, 21]",1.0,1.0,1.0
combo_48,"[15, 10, 19]",1.0,1.0,1.0
combo_49,"[15, 7, 21]",1.0,0.98,0.94
combo_50,"[15, 16, 22]",1.0,1.0,1.0
combo_51,"[15, 3, 18]",1.0,1.0,1.0
combo_52,"[15, 3, 24]",1.0,0.98,0.9
combo_53,"[15, 11, 13]",1.0,1.0,1.0
combo_54,"[15, 10, 13]",1.0,1.0,1.0
combo_55,"[15, 17, 13]",1.0,1.0,1.0
combo_56,"[15, 7, 22]",1.0,0.98,0.98
combo_57,"[15, 3, 19]",1.0,1.0,1.0
combo_58,"[15, 17, 20]",1.0,1.0,1.0
combo_59,"[15, 7, 19]",1.0,1.0,1.0
combo_60,"[15, 14, 20]",1.0,1.0,1.0
combo_61,"[15, 3, 22]",1.0,0.98,0.94
combo_62,"[15, 6, 21]",1.0,1.0,0.96
combo_63,"[15, 10, 24]",1.0,0.98,0.96
combo_64,"[15, 6, 20]",1.0,1.0,1.0
combo_65,"[15, 6, 19]",1.0,1.0,1.0
combo_66,"[15, 17, 19]",1.0,1.0,1.0
combo_67,"[15, 4, 13]",1.0,0.98,0.96
combo_68,"[15, 11, 20]",1.0,1.0,1.0
combo_69,"[15, 1, 19]",1.0,1.0,0.98
combo_70,"[15, 6, 25]",1.0,0.98,0.86
combo_71,"[15, 2, 18]",1.0,1.0,1.0
combo_72,"[15, 2, 22]",1.0,0.94,0.9
combo_73,"[15, 10, 18]",1.0,1.0,1.0
combo_74,"[15, 3, 13]",1.0,0.98,1.0
combo_75,"[15, 1, 20]",1.0,1.0,0.98
combo_76,"[15, 7, 25]",1.0,0.92,0.8
combo_77,"[15, 12, 18]",1.0,1.0,1.0
combo_78,"[15, 8, 25]",0.96,0.9,0.78
combo_79,"[15, 10, 23]",1.0,0.96,0.94
combo_80,"[15, 2, 23]",0.98,0.94,0.86
combo_81,"[15, 11, 18]",1.0,1.0,1.0
combo_82,"[15, 4, 20]",1.0,0.98,0.96
combo_83,"[15, 12, 21]",1.0,1.0,1.0
combo_84,"[15, 3, 23]",1.0,0.94,0.86
combo_85,"[15, 4, 23]",1.0,0.96,0.86
combo_86,"[15, 10, 21]",1.0,1.0,1.0
combo_87,"[15, 10, 25]",1.0,0.96,0.88
combo_88,"[15, 14, 18]",1.0,1.0,1.0
combo_89,"[15, 16, 13]",1.0,1.0,1.0
combo_90,"[15, 9, 25]",0.98,0.96,0.86
combo_91,"[15, 9, 22]",1.0,1.0,0.94
combo_92,"[15, 11, 22]",1.0,1.0,1.0
combo_93,"[15, 8, 18]",1.0,1.0,0.98
combo_94,"[15, 8, 23]",0.98,0.96,0.88
combo_95,"[15, 11, 24]",1.0,0.96,0.96
combo_96,"[15, 16, 20]",1.0,1.0,1.0
combo_97,"[15, 9, 13]",1.0,1.0,0.98
combo_98,"[15, 9, 20]",1.0,1.0,1.0
combo_99,"[15, 12, 13]",1.0,1.0,1.0
