Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[7, 2, 11, 10]",0.98,0.96,0.92
combo_1,"[7, 4, 9, 18]",1.0,1.0,1.0
combo_2,"[7, 5, 13, 17]",0.96,0.86,0.8
combo_3,"[7, 1, 3, 17]",0.98,0.88,0.8
combo_4,"[7, 6, 3, 17]",0.98,0.86,0.82
combo_5,"[7, 4, 11, 18]",0.98,1.0,1.0
combo_6,"[7, 2, 3, 19]",0.98,0.82,0.82
combo_7,"[7, 6, 8, 16]",1.0,0.96,0.94
combo_8,"[7, 4, 9, 16]",0.98,1.0,0.94
combo_9,"[7, 2, 8, 16]",0.94,0.94,0.9
combo_10,"[7, 6, 8, 12]",1.0,1.0,1.0
combo_11,"[7, 1, 8, 19]",1.0,1.0,1.0
combo_12,"[7, 2, 3, 12]",1.0,0.82,0.86
combo_13,"[7, 1, 3, 10]",1.0,0.96,0.94
combo_14,"[7, 2, 9, 12]",0.98,0.96,0.92
combo_15,"[7, 1, 11, 19]",0.9,0.92,0.96
combo_16,"[7, 5, 14, 16]",0.96,0.84,0.8
combo_17,"[7, 1, 14, 18]",0.94,0.92,0.88
combo_18,"[7, 4, 13, 19]",0.98,0.86,0.84
combo_19,"[7, 6, 9, 15]",0.96,0.82,0.8
combo_20,"[7, 4, 8, 15]",0.98,0.98,0.92
combo_21,"[7, 2, 14, 19]",0.88,0.86,0.8
combo_22,"[7, 1, 13, 10]",0.92,0.92,0.92
combo_23,"[7, 5, 9, 19]",1.0,0.96,0.94
combo_24,"[7, 6, 13, 16]",0.96,0.76,0.72
combo_25,"[7, 1, 13, 17]",0.94,0.82,0.82
combo_26,"[7, 1, 11, 16]",0.94,0.88,0.84
combo_27,"[7, 1, 11, 17]",0.94,0.94,0.88
combo_28,"[7, 1, 3, 12]",1.0,0.9,0.9
combo_29,"[7, 6, 11, 15]",0.96,0.78,0.78
combo_30,"[7, 5, 9, 17]",1.0,0.98,0.96
combo_31,"[7, 6, 13, 15]",0.96,0.72,0.7
combo_32,"[7, 2, 8, 19]",0.96,0.96,0.96
combo_33,"[7, 2, 14, 15]",0.86,0.78,0.74
combo_34,"[7, 1, 9, 17]",0.98,0.98,0.94
combo_35,"[7, 1, 3, 15]",0.98,0.82,0.78
combo_36,"[7, 6, 13, 19]",0.9,0.8,0.72
combo_37,"[7, 1, 9, 16]",0.94,0.92,0.9
combo_38,"[7, 6, 14, 17]",0.92,0.78,0.78
combo_39,"[7, 2, 9, 19]",0.96,0.92,0.96
combo_40,"[7, 4, 8, 19]",1.0,1.0,1.0
combo_41,"[7, 4, 13, 18]",0.98,0.88,0.9
combo_42,"[7, 4, 14, 19]",0.92,0.9,0.86
combo_43,"[7, 6, 3, 10]",1.0,0.94,0.9
combo_44,"[7, 5, 14, 17]",0.94,0.9,0.88
combo_45,"[7, 1, 8, 16]",1.0,1.0,0.94
combo_46,"[7, 4, 11, 15]",1.0,0.84,0.82
combo_47,"[7, 5, 14, 12]",0.96,0.88,0.92
combo_48,"[7, 5, 13, 16]",0.98,0.76,0.74
combo_49,"[7, 2, 13, 10]",0.94,0.9,0.82
combo_50,"[7, 2, 14, 16]",0.92,0.76,0.74
combo_51,"[7, 6, 14, 19]",0.9,0.8,0.8
combo_52,"[7, 6, 11, 12]",1.0,0.86,0.94
combo_53,"[7, 2, 11, 12]",0.92,0.88,0.9
combo_54,"[7, 6, 8, 17]",1.0,0.96,0.94
combo_55,"[7, 1, 14, 16]",0.92,0.8,0.8
combo_56,"[7, 2, 8, 12]",0.98,0.96,0.96
combo_57,"[7, 5, 13, 12]",0.94,0.82,0.84
combo_58,"[7, 5, 11, 16]",0.94,0.9,0.82
combo_59,"[7, 2, 8, 15]",0.94,0.86,0.88
combo_60,"[7, 5, 14, 19]",0.92,0.86,0.86
combo_61,"[7, 5, 13, 15]",0.96,0.76,0.66
combo_62,"[7, 1, 13, 19]",0.92,0.8,0.78
combo_63,"[7, 2, 9, 15]",0.92,0.86,0.8
combo_64,"[7, 2, 3, 18]",0.98,0.82,0.84
combo_65,"[7, 6, 9, 18]",1.0,0.96,0.94
combo_66,"[7, 1, 3, 16]",0.96,0.82,0.76
combo_67,"[7, 6, 3, 19]",0.98,0.86,0.76
combo_68,"[7, 6, 11, 16]",0.98,0.8,0.76
combo_69,"[7, 4, 14, 17]",0.96,0.92,0.88
combo_70,"[7, 5, 8, 16]",1.0,0.98,0.98
combo_71,"[7, 6, 3, 15]",0.92,0.8,0.74
combo_72,"[7, 4, 11, 19]",0.96,0.94,0.98
combo_73,"[7, 4, 14, 10]",1.0,1.0,0.98
combo_74,"[7, 1, 8, 15]",0.94,0.98,0.9
combo_75,"[7, 1, 9, 10]",1.0,1.0,1.0
combo_76,"[7, 1, 9, 12]",1.0,1.0,0.98
combo_77,"[7, 4, 8, 16]",1.0,1.0,1.0
combo_78,"[7, 2, 13, 12]",0.88,0.78,0.84
combo_79,"[7, 2, 11, 18]",0.92,0.9,0.9
