Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[4, 21, 8]",1.0,1.0,1.0
combo_1,"[4, 21, 5]",1.0,1.0,1.0
combo_2,"[4, 12, 6]",1.0,0.94,0.92
combo_3,"[4, 3, 6]",1.0,1.0,1.0
combo_4,"[4, 7, 8]",1.0,1.0,1.0
combo_5,"[4, 13, 5]",1.0,1.0,1.0
combo_6,"[4, 19, 16]",0.98,0.0,0.0
combo_7,"[4, 18, 6]",0.9,0.82,0.82
combo_8,"[4, 20, 6]",1.0,0.98,0.96
combo_9,"[4, 15, 6]",0.94,0.88,0.88
combo_10,"[4, 13, 8]",1.0,1.0,1.0
combo_11,"[4, 13, 16]",1.0,0.0,0.0
combo_12,"[4, 11, 8]",0.98,0.94,0.9
combo_13,"[4, 9, 5]",1.0,1.0,0.96
combo_14,"[4, 17, 6]",0.96,0.9,0.92
combo_15,"[4, 12, 16]",0.98,0.0,0.0
combo_16,"[4, 21, 16]",0.98,0.0,0.0
combo_17,"[4, 14, 6]",0.98,0.92,0.92
combo_18,"[4, 1, 8]",1.0,0.98,0.98
combo_19,"[4, 15, 5]",1.0,1.0,0.98
combo_20,"[4, 18, 16]",0.94,0.0,0.0
combo_21,"[4, 7, 6]",1.0,1.0,1.0
combo_22,"[4, 19, 6]",0.96,0.96,0.9
combo_23,"[4, 13, 6]",1.0,1.0,1.0
combo_24,"[4, 1, 6]",0.96,0.96,0.94
combo_25,"[4, 20, 16]",1.0,0.0,0.0
combo_26,"[4, 19, 8]",1.0,0.96,0.98
combo_27,"[4, 10, 5]",0.96,0.94,0.84
combo_28,"[4, 17, 16]",0.96,0.0,0.0
combo_29,"[4, 7, 16]",0.96,0.92,0.88
combo_30,"[4, 10, 16]",0.96,0.0,0.0
combo_31,"[4, 19, 5]",1.0,1.0,0.98
combo_32,"[4, 1, 5]",1.0,1.0,1.0
combo_33,"[4, 15, 8]",1.0,0.98,0.96
combo_34,"[4, 15, 16]",1.0,0.0,0.0
combo_35,"[4, 10, 8]",0.94,0.9,0.86
combo_36,"[4, 11, 16]",0.98,0.0,0.0
combo_37,"[4, 20, 5]",1.0,1.0,1.0
combo_38,"[4, 17, 5]",1.0,1.0,0.98
combo_39,"[4, 9, 8]",0.94,0.88,0.9
combo_40,"[4, 11, 5]",1.0,0.98,0.92
combo_41,"[4, 21, 6]",1.0,0.98,0.96
combo_42,"[4, 18, 8]",0.9,0.86,0.84
combo_43,"[4, 9, 16]",0.96,0.0,0.0
combo_44,"[4, 20, 8]",1.0,0.98,0.96
combo_45,"[4, 2, 8]",1.0,1.0,1.0
combo_46,"[4, 9, 6]",0.94,0.9,0.84
combo_47,"[4, 7, 5]",1.0,1.0,1.0
combo_48,"[4, 3, 16]",1.0,0.0,0.0
combo_49,"[4, 3, 5]",1.0,1.0,1.0
combo_50,"[4, 11, 6]",0.88,0.9,0.88
combo_51,"[4, 10, 6]",0.86,0.86,0.82
combo_52,"[4, 12, 8]",1.0,1.0,1.0
combo_53,"[4, 17, 8]",1.0,0.96,0.96
combo_54,"[4, 12, 5]",1.0,1.0,1.0
combo_55,"[4, 3, 8]",1.0,1.0,1.0
combo_56,"[4, 14, 16]",0.94,0.0,0.0
combo_57,"[4, 1, 16]",0.96,0.0,0.0
combo_58,"[4, 2, 16]",1.0,0.9,0.9
combo_59,"[4, 18, 5]",0.96,0.94,0.88
combo_60,"[4, 2, 6]",1.0,1.0,1.0
combo_61,"[4, 2, 5]",1.0,1.0,1.0
combo_62,"[4, 14, 8]",0.96,0.98,0.94
combo_63,"[4, 14, 5]",1.0,0.98,1.0
