Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[12, 8, 13]",1.0,1.0,1.0
combo_1,"[12, 16, 4]",0.96,0.96,0.9
combo_2,"[12, 21, 14]",1.0,0.98,1.0
combo_3,"[12, 8, 15]",0.96,0.96,0.98
combo_4,"[12, 9, 14]",1.0,1.0,1.0
combo_5,"[12, 21, 19]",1.0,0.92,0.98
combo_6,"[12, 8, 4]",1.0,0.92,0.9
combo_7,"[12, 9, 19]",1.0,1.0,0.96
combo_8,"[12, 10, 20]",1.0,1.0,1.0
combo_9,"[12, 9, 17]",1.0,1.0,0.98
combo_10,"[12, 10, 19]",1.0,1.0,1.0
combo_11,"[12, 16, 19]",1.0,0.98,1.0
combo_12,"[12, 16, 14]",1.0,1.0,1.0
combo_13,"[12, 21, 2]",0.94,0.94,0.9
combo_14,"[12, 11, 3]",1.0,1.0,1.0
combo_15,"[12, 10, 18]",1.0,1.0,1.0
combo_16,"[12, 21, 7]",1.0,0.94,0.9
combo_17,"[12, 9, 2]",1.0,0.98,0.96
combo_18,"[12, 16, 18]",1.0,1.0,1.0
combo_19,"[12, 8, 18]",1.0,0.98,0.98
combo_20,"[12, 16, 15]",1.0,0.98,1.0
combo_21,"[12, 21, 18]",1.0,1.0,1.0
combo_22,"[12, 11, 13]",1.0,1.0,1.0
combo_23,"[12, 16, 1]",1.0,0.98,1.0
combo_24,"[12, 8, 6]",1.0,0.98,0.98
combo_25,"[12, 9, 1]",1.0,0.98,1.0
combo_26,"[12, 9, 4]",0.98,0.98,0.92
combo_27,"[12, 11, 20]",1.0,1.0,1.0
combo_28,"[12, 11, 5]",1.0,1.0,1.0
combo_29,"[12, 11, 15]",1.0,1.0,1.0
combo_30,"[12, 21, 6]",1.0,0.98,1.0
combo_31,"[12, 16, 2]",0.96,0.96,0.94
combo_32,"[12, 21, 13]",1.0,1.0,1.0
combo_33,"[12, 11, 4]",1.0,1.0,1.0
combo_34,"[12, 16, 6]",1.0,1.0,1.0
combo_35,"[12, 9, 6]",1.0,1.0,1.0
combo_36,"[12, 16, 7]",1.0,1.0,1.0
combo_37,"[12, 8, 20]",1.0,0.9,0.9
combo_38,"[12, 10, 1]",1.0,1.0,1.0
combo_39,"[12, 21, 5]",1.0,0.96,0.96
combo_40,"[12, 10, 3]",1.0,1.0,1.0
combo_41,"[12, 9, 5]",1.0,0.96,1.0
combo_42,"[12, 16, 13]",1.0,1.0,1.0
combo_43,"[12, 8, 5]",1.0,0.94,0.94
combo_44,"[12, 10, 5]",1.0,1.0,1.0
combo_45,"[12, 21, 4]",0.94,0.92,0.9
combo_46,"[12, 11, 6]",1.0,1.0,1.0
combo_47,"[12, 21, 15]",1.0,0.94,0.96
combo_48,"[12, 10, 2]",1.0,1.0,0.98
combo_49,"[12, 16, 17]",1.0,1.0,0.98
combo_50,"[12, 10, 4]",1.0,0.98,1.0
combo_51,"[12, 11, 17]",1.0,1.0,1.0
combo_52,"[12, 10, 7]",1.0,1.0,1.0
combo_53,"[12, 8, 2]",1.0,0.92,0.92
combo_54,"[12, 11, 2]",1.0,1.0,1.0
combo_55,"[12, 11, 7]",1.0,1.0,1.0
combo_56,"[12, 21, 1]",1.0,0.96,0.96
combo_57,"[12, 8, 17]",1.0,0.92,1.0
combo_58,"[12, 9, 15]",0.98,1.0,0.98
combo_59,"[12, 10, 15]",1.0,1.0,1.0
combo_60,"[12, 16, 20]",1.0,0.92,0.94
combo_61,"[12, 16, 5]",1.0,1.0,1.0
combo_62,"[12, 9, 7]",1.0,0.98,1.0
combo_63,"[12, 8, 1]",1.0,0.94,0.96
combo_64,"[12, 10, 14]",1.0,1.0,1.0
combo_65,"[12, 16, 3]",0.98,0.96,0.98
combo_66,"[12, 9, 13]",1.0,1.0,1.0
combo_67,"[12, 8, 3]",1.0,0.94,0.88
combo_68,"[12, 9, 18]",1.0,1.0,1.0
combo_69,"[12, 8, 19]",0.98,0.98,0.98
combo_70,"[12, 11, 19]",1.0,1.0,1.0
combo_71,"[12, 11, 14]",1.0,1.0,1.0
combo_72,"[12, 10, 17]",1.0,1.0,1.0
combo_73,"[12, 11, 1]",1.0,1.0,1.0
combo_74,"[12, 10, 13]",1.0,1.0,1.0
combo_75,"[12, 11, 18]",1.0,1.0,1.0
combo_76,"[12, 9, 3]",0.96,1.0,0.94
combo_77,"[12, 10, 6]",1.0,1.0,1.0
combo_78,"[12, 21, 3]",0.94,0.94,0.92
combo_79,"[12, 8, 7]",1.0,0.98,0.96
combo_80,"[12, 9, 20]",1.0,0.98,0.92
combo_81,"[12, 21, 17]",1.0,0.94,1.0
combo_82,"[12, 8, 14]",1.0,1.0,0.98
combo_83,"[12, 21, 20]",1.0,0.88,0.9
