Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[15, 7, 12]",0.7,0.72,0.7
combo_1,"[15, 2, 11]",1.0,0.94,0.96
combo_2,"[15, 6, 12]",0.8,0.84,0.84
combo_3,"[15, 8, 14]",0.86,0.88,0.84
combo_4,"[15, 4, 10]",0.84,0.84,0.84
combo_5,"[15, 3, 10]",0.84,0.8,0.82
combo_6,"[15, 1, 10]",0.78,0.74,0.78
combo_7,"[15, 5, 11]",0.86,0.88,0.86
combo_8,"[15, 8, 9]",0.68,0.74,0.72
combo_9,"[15, 7, 10]",0.7,0.64,0.62
combo_10,"[15, 2, 14]",1.0,0.98,1.0
combo_11,"[15, 18, 16]",1.0,1.0,1.0
combo_12,"[15, 2, 12]",0.9,0.88,0.88
combo_13,"[15, 6, 9]",0.82,0.84,0.82
combo_14,"[15, 3, 11]",0.96,0.96,0.98
combo_15,"[15, 17, 14]",1.0,1.0,1.0
combo_16,"[15, 5, 10]",0.72,0.7,0.7
combo_17,"[15, 17, 11]",0.98,1.0,1.0
combo_18,"[15, 3, 16]",1.0,1.0,1.0
combo_19,"[15, 2, 16]",1.0,1.0,1.0
combo_20,"[15, 5, 14]",0.88,0.94,0.9
combo_21,"[15, 5, 12]",0.8,0.78,0.78
combo_22,"[15, 18, 14]",1.0,1.0,1.0
combo_23,"[15, 8, 10]",0.7,0.7,0.68
combo_24,"[15, 1, 9]",0.78,0.84,0.8
combo_25,"[15, 4, 14]",1.0,1.0,1.0
combo_26,"[15, 8, 16]",0.92,0.92,0.96
combo_27,"[15, 7, 16]",0.92,0.9,0.9
combo_28,"[15, 3, 9]",0.84,0.84,0.84
combo_29,"[15, 18, 10]",0.92,0.9,0.88
combo_30,"[15, 3, 13]",1.0,1.0,1.0
combo_31,"[15, 8, 13]",0.94,0.9,0.94
combo_32,"[15, 6, 14]",0.96,0.92,1.0
combo_33,"[15, 6, 13]",0.98,0.96,0.98
combo_34,"[15, 18, 11]",1.0,1.0,1.0
combo_35,"[15, 7, 14]",0.78,0.8,0.88
combo_36,"[15, 18, 12]",0.98,0.98,0.98
combo_37,"[15, 7, 9]",0.68,0.76,0.7
combo_38,"[15, 6, 16]",1.0,1.0,1.0
combo_39,"[15, 5, 9]",0.76,0.72,0.76
combo_40,"[15, 3, 12]",0.88,0.86,0.88
combo_41,"[15, 5, 13]",0.96,0.98,0.96
combo_42,"[15, 5, 16]",1.0,1.0,1.0
combo_43,"[15, 1, 12]",0.86,0.86,0.82
combo_44,"[15, 4, 12]",0.94,0.94,0.96
combo_45,"[15, 6, 10]",0.74,0.78,0.72
combo_46,"[15, 1, 11]",0.88,0.9,0.9
combo_47,"[15, 17, 16]",1.0,1.0,1.0
combo_48,"[15, 4, 13]",1.0,1.0,1.0
combo_49,"[15, 18, 9]",0.94,1.0,0.96
combo_50,"[15, 18, 13]",1.0,1.0,1.0
combo_51,"[15, 1, 13]",1.0,0.98,1.0
combo_52,"[15, 17, 9]",0.88,0.94,0.9
combo_53,"[15, 17, 12]",0.94,0.92,0.96
combo_54,"[15, 17, 10]",0.86,0.82,0.84
combo_55,"[15, 8, 11]",0.82,0.8,0.78
combo_56,"[15, 2, 13]",1.0,1.0,1.0
combo_57,"[15, 2, 9]",0.88,0.92,0.86
combo_58,"[15, 1, 14]",0.96,0.92,0.98
combo_59,"[15, 8, 12]",0.78,0.78,0.76
combo_60,"[15, 3, 14]",0.98,0.98,1.0
combo_61,"[15, 4, 16]",1.0,1.0,1.0
combo_62,"[15, 6, 11]",0.88,0.92,0.9
combo_63,"[15, 4, 11]",0.98,0.98,1.0
combo_64,"[15, 7, 13]",0.84,0.86,0.84
combo_65,"[15, 7, 11]",0.78,0.74,0.78
combo_66,"[15, 1, 16]",1.0,1.0,1.0
combo_67,"[15, 4, 9]",0.92,0.88,0.94
combo_68,"[15, 17, 13]",1.0,1.0,1.0
combo_69,"[15, 2, 10]",0.84,0.82,0.76
