Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[18, 12, 4]",0.94,0.96,0.94
combo_1,"[18, 12, 8]",0.96,0.88,0.88
combo_2,"[18, 12, 2]",0.9,0.88,0.86
combo_3,"[18, 16, 2]",0.92,0.92,0.88
combo_4,"[18, 13, 3]",1.0,0.96,0.0
combo_5,"[18, 12, 6]",1.0,0.98,1.0
combo_6,"[18, 16, 15]",1.0,1.0,1.0
combo_7,"[18, 13, 8]",0.92,0.78,0.0
combo_8,"[18, 16, 7]",0.9,0.92,0.88
combo_9,"[18, 14, 19]",1.0,0.98,0.0
combo_10,"[18, 16, 1]",0.94,0.96,0.94
combo_11,"[18, 16, 4]",1.0,1.0,0.98
combo_12,"[18, 14, 15]",1.0,0.86,0.0
combo_13,"[18, 12, 19]",1.0,1.0,1.0
combo_14,"[18, 13, 11]",1.0,0.98,0.0
combo_15,"[18, 16, 5]",1.0,1.0,0.98
combo_16,"[18, 16, 10]",1.0,1.0,1.0
combo_17,"[18, 14, 11]",1.0,0.94,0.0
combo_18,"[18, 16, 6]",1.0,1.0,1.0
combo_19,"[18, 17, 2]",0.98,0.96,0.94
combo_20,"[18, 13, 10]",1.0,0.96,0.0
combo_21,"[18, 16, 3]",1.0,1.0,1.0
combo_22,"[18, 14, 4]",0.92,0.82,0.0
combo_23,"[18, 17, 8]",1.0,1.0,0.98
combo_24,"[18, 17, 3]",1.0,1.0,1.0
combo_25,"[18, 12, 10]",1.0,1.0,1.0
combo_26,"[18, 12, 9]",1.0,1.0,1.0
combo_27,"[18, 14, 7]",0.88,0.74,0.0
combo_28,"[18, 17, 10]",1.0,1.0,1.0
combo_29,"[18, 12, 11]",1.0,1.0,1.0
combo_30,"[18, 16, 11]",1.0,1.0,1.0
combo_31,"[18, 12, 3]",1.0,1.0,1.0
combo_32,"[18, 14, 2]",0.86,0.78,0.0
combo_33,"[18, 17, 1]",0.96,1.0,1.0
combo_34,"[18, 13, 19]",1.0,0.98,0.0
combo_35,"[18, 17, 11]",1.0,1.0,1.0
combo_36,"[18, 13, 7]",0.9,0.78,0.0
combo_37,"[18, 12, 5]",0.98,0.96,0.96
combo_38,"[18, 14, 10]",1.0,0.88,0.0
combo_39,"[18, 17, 5]",1.0,1.0,1.0
combo_40,"[18, 16, 19]",1.0,1.0,1.0
combo_41,"[18, 12, 7]",0.9,0.88,0.84
combo_42,"[18, 13, 9]",1.0,0.98,0.0
combo_43,"[18, 12, 15]",1.0,0.98,0.98
combo_44,"[18, 17, 7]",0.96,0.96,0.98
combo_45,"[18, 17, 15]",1.0,1.0,1.0
combo_46,"[18, 14, 3]",0.94,0.9,0.0
combo_47,"[18, 17, 4]",1.0,1.0,1.0
combo_48,"[18, 14, 5]",0.96,0.84,0.0
combo_49,"[18, 13, 6]",1.0,0.94,0.0
combo_50,"[18, 13, 4]",0.94,0.86,0.0
combo_51,"[18, 14, 1]",0.82,0.76,0.0
combo_52,"[18, 14, 8]",0.92,0.78,0.0
combo_53,"[18, 13, 1]",0.92,0.82,0.0
combo_54,"[18, 13, 2]",0.88,0.82,0.0
combo_55,"[18, 17, 6]",1.0,1.0,1.0
combo_56,"[18, 14, 9]",1.0,0.94,0.0
combo_57,"[18, 17, 19]",1.0,1.0,1.0
combo_58,"[18, 12, 1]",0.92,0.92,0.88
combo_59,"[18, 13, 15]",1.0,0.92,0.0
combo_60,"[18, 16, 9]",1.0,1.0,1.0
combo_61,"[18, 14, 6]",0.96,0.88,0.0
combo_62,"[18, 16, 8]",0.96,0.94,0.96
combo_63,"[18, 13, 5]",1.0,0.9,0.0
combo_64,"[18, 17, 9]",1.0,1.0,1.0
