Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[2, 6]",1.0,1.0,1.0
combo_1,"[2, 16]",1.0,1.0,1.0
combo_2,"[2, 12]",1.0,1.0,1.0
combo_3,"[2, 1]",1.0,1.0,1.0
combo_4,"[2, 8]",1.0,1.0,1.0
combo_5,"[2, 3]",1.0,1.0,1.0
combo_6,"[2, 5]",1.0,1.0,1.0
combo_7,"[2, 10]",1.0,1.0,1.0
combo_8,"[2, 11]",1.0,1.0,1.0
combo_9,"[2, 13]",1.0,1.0,1.0
combo_10,"[2, 9]",1.0,1.0,1.0
combo_11,"[2, 4]",1.0,1.0,1.0
combo_12,"[2, 14]",1.0,1.0,1.0
combo_13,"[2, 15]",1.0,1.0,1.0
combo_14,"[2, 7]",1.0,1.0,1.0
