Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[3, 1, 18, 4]",1.0,1.0,0.94
combo_1,"[3, 1, 7, 15]",1.0,1.0,1.0
combo_2,"[3, 5, 19, 12]",1.0,0.98,0.86
combo_3,"[3, 21, 7, 4]",1.0,0.94,0.92
combo_4,"[3, 1, 22, 12]",1.0,1.0,1.0
combo_5,"[3, 20, 22, 8]",1.0,1.0,0.98
combo_6,"[3, 9, 2, 15]",1.0,0.96,0.9
combo_7,"[3, 1, 14, 12]",1.0,1.0,1.0
combo_8,"[3, 16, 19, 12]",1.0,0.96,0.94
combo_9,"[3, 20, 7, 8]",1.0,1.0,1.0
combo_10,"[3, 5, 14, 12]",1.0,1.0,0.9
combo_11,"[3, 21, 14, 15]",1.0,0.94,0.88
combo_12,"[3, 10, 22, 15]",1.0,0.98,0.96
combo_13,"[3, 10, 14, 11]",1.0,0.96,0.96
combo_14,"[3, 10, 22, 4]",1.0,1.0,0.92
combo_15,"[3, 16, 14, 4]",1.0,0.96,0.94
combo_16,"[3, 20, 18, 15]",1.0,0.98,0.9
combo_17,"[3, 10, 14, 13]",1.0,1.0,1.0
combo_18,"[3, 16, 2, 4]",1.0,0.98,0.96
combo_19,"[3, 21, 2, 13]",1.0,1.0,0.98
combo_20,"[3, 1, 22, 11]",1.0,1.0,1.0
combo_21,"[3, 1, 14, 11]",1.0,1.0,0.96
combo_22,"[3, 20, 7, 17]",1.0,0.96,0.96
combo_23,"[3, 10, 19, 15]",1.0,0.96,0.9
combo_24,"[3, 1, 18, 17]",1.0,0.98,0.9
combo_25,"[3, 1, 2, 13]",1.0,1.0,1.0
combo_26,"[3, 10, 6, 4]",1.0,0.98,0.98
combo_27,"[3, 20, 6, 12]",1.0,0.98,0.92
combo_28,"[3, 9, 6, 15]",1.0,0.96,0.88
combo_29,"[3, 10, 2, 11]",1.0,0.98,0.94
combo_30,"[3, 5, 22, 15]",1.0,0.98,0.9
combo_31,"[3, 5, 19, 4]",1.0,0.92,0.9
combo_32,"[3, 21, 18, 12]",1.0,0.92,0.9
combo_33,"[3, 9, 22, 12]",1.0,1.0,0.94
combo_34,"[3, 5, 2, 4]",1.0,0.96,0.98
combo_35,"[3, 5, 18, 4]",1.0,0.92,0.9
combo_36,"[3, 10, 18, 13]",1.0,1.0,1.0
combo_37,"[3, 9, 14, 4]",1.0,0.92,0.9
combo_38,"[3, 9, 18, 8]",1.0,0.94,0.88
combo_39,"[3, 5, 6, 13]",1.0,1.0,1.0
combo_40,"[3, 20, 18, 12]",1.0,0.98,0.94
