Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[17, 6]",1.0,1.0,1.0
combo_1,"[17, 12]",1.0,1.0,1.0
combo_2,"[17, 7]",1.0,1.0,1.0
combo_3,"[17, 21]",1.0,1.0,1.0
combo_4,"[17, 22]",1.0,1.0,1.0
combo_5,"[17, 31]",1.0,1.0,1.0
combo_6,"[17, 1]",1.0,1.0,1.0
combo_7,"[17, 29]",1.0,1.0,1.0
combo_8,"[17, 24]",1.0,1.0,1.0
combo_9,"[17, 34]",1.0,1.0,1.0
combo_10,"[17, 23]",1.0,1.0,1.0
combo_11,"[17, 5]",1.0,1.0,1.0
combo_12,"[17, 2]",1.0,1.0,1.0
combo_13,"[17, 18]",1.0,1.0,1.0
combo_14,"[17, 30]",1.0,1.0,1.0
combo_15,"[17, 32]",1.0,1.0,1.0
combo_16,"[17, 3]",1.0,1.0,1.0
combo_17,"[17, 10]",1.0,1.0,1.0
combo_18,"[17, 9]",1.0,1.0,1.0
combo_19,"[17, 27]",1.0,1.0,1.0
combo_20,"[17, 4]",1.0,1.0,1.0
combo_21,"[17, 13]",1.0,1.0,1.0
combo_22,"[17, 16]",1.0,1.0,1.0
combo_23,"[17, 15]",1.0,1.0,1.0
combo_24,"[17, 8]",1.0,1.0,1.0
combo_25,"[17, 28]",1.0,1.0,1.0
combo_26,"[17, 20]",1.0,1.0,1.0
combo_27,"[17, 33]",1.0,1.0,1.0
combo_28,"[17, 25]",1.0,1.0,1.0
combo_29,"[17, 26]",1.0,1.0,1.0
combo_30,"[17, 11]",1.0,1.0,1.0
combo_31,"[17, 19]",1.0,1.0,1.0
combo_32,"[17, 14]",1.0,1.0,1.0
