Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[6, 5, 9]",1.0,1.0,1.0
combo_1,"[6, 3, 9]",1.0,0.96,0.92
combo_2,"[6, 2, 7]",1.0,1.0,1.0
combo_3,"[6, 10, 7]",1.0,1.0,1.0
combo_4,"[6, 10, 8]",1.0,0.96,0.94
combo_5,"[6, 2, 1]",0.98,0.94,0.94
combo_6,"[6, 4, 9]",1.0,1.0,0.98
combo_7,"[6, 2, 9]",0.94,0.88,0.88
combo_8,"[6, 4, 1]",1.0,1.0,1.0
combo_9,"[6, 3, 8]",1.0,1.0,1.0
combo_10,"[6, 5, 1]",1.0,1.0,1.0
combo_11,"[6, 4, 8]",1.0,1.0,1.0
combo_12,"[6, 2, 8]",1.0,0.98,1.0
combo_13,"[6, 3, 7]",1.0,1.0,1.0
combo_14,"[6, 5, 8]",1.0,1.0,1.0
combo_15,"[6, 10, 1]",0.94,0.9,0.88
combo_16,"[6, 4, 7]",1.0,1.0,1.0
combo_17,"[6, 5, 7]",1.0,1.0,1.0
combo_18,"[6, 3, 1]",1.0,0.98,1.0
combo_19,"[6, 10, 9]",0.88,0.86,0.84
