Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[3, 10, 1]",1.0,1.0,0.98
combo_1,"[3, 14, 12]",1.0,0.96,0.96
combo_2,"[3, 14, 11]",1.0,0.96,1.0
combo_3,"[3, 14, 8]",1.0,1.0,1.0
combo_4,"[3, 10, 13]",1.0,1.0,1.0
combo_5,"[3, 15, 6]",0.94,1.0,0.94
combo_6,"[3, 14, 2]",0.8,0.78,0.74
combo_7,"[3, 9, 12]",1.0,1.0,1.0
combo_8,"[3, 10, 4]",1.0,1.0,1.0
combo_9,"[3, 14, 6]",0.94,0.92,0.9
combo_10,"[3, 9, 4]",1.0,1.0,1.0
combo_11,"[3, 10, 7]",0.92,0.96,0.92
combo_12,"[3, 15, 2]",0.82,0.82,0.78
combo_13,"[3, 9, 13]",1.0,1.0,0.98
combo_14,"[3, 10, 8]",1.0,1.0,1.0
combo_15,"[3, 14, 13]",1.0,0.92,0.88
combo_16,"[3, 14, 5]",1.0,1.0,0.98
combo_17,"[3, 10, 12]",1.0,1.0,1.0
combo_18,"[3, 9, 6]",1.0,0.98,0.98
combo_19,"[3, 14, 7]",0.9,0.76,0.8
combo_20,"[3, 15, 13]",1.0,0.94,0.94
combo_21,"[3, 10, 11]",1.0,1.0,1.0
combo_22,"[3, 15, 4]",1.0,0.98,1.0
combo_23,"[3, 15, 7]",0.92,0.82,0.86
combo_24,"[3, 15, 12]",1.0,1.0,1.0
combo_25,"[3, 9, 5]",1.0,1.0,1.0
combo_26,"[3, 14, 4]",1.0,0.94,0.92
combo_27,"[3, 15, 11]",1.0,1.0,1.0
combo_28,"[3, 9, 11]",1.0,1.0,1.0
combo_29,"[3, 10, 5]",1.0,1.0,1.0
combo_30,"[3, 15, 1]",0.92,0.9,0.9
combo_31,"[3, 14, 1]",0.92,0.86,0.86
combo_32,"[3, 15, 8]",1.0,1.0,1.0
combo_33,"[3, 10, 2]",0.9,0.9,0.9
combo_34,"[3, 9, 8]",1.0,1.0,1.0
combo_35,"[3, 9, 2]",0.82,0.88,0.86
combo_36,"[3, 15, 5]",1.0,1.0,1.0
combo_37,"[3, 9, 7]",0.94,0.9,0.9
combo_38,"[3, 9, 1]",0.94,0.96,0.94
combo_39,"[3, 10, 6]",1.0,1.0,1.0
