Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[11, 6, 13, 2, 20]",0.98,0.78,0.66
combo_1,"[11, 9, 10, 3, 19]",0.92,0.88,0.82
combo_2,"[11, 24, 10, 5, 26]",0.96,0.8,0.72
combo_3,"[11, 8, 15, 5, 26]",0.96,0.76,0.68
combo_4,"[11, 22, 10, 12, 26]",1.0,0.86,0.8
combo_5,"[11, 6, 13, 21, 14]",1.0,0.78,0.74
combo_6,"[11, 8, 13, 3, 23]",0.92,0.72,0.64
combo_7,"[11, 24, 13, 3, 18]",1.0,0.74,0.66
combo_8,"[11, 6, 13, 3, 26]",0.96,0.76,0.68
combo_9,"[11, 22, 10, 1, 14]",0.98,0.86,0.8
combo_10,"[11, 6, 15, 21, 18]",0.98,0.74,0.66
combo_11,"[11, 24, 13, 12, 26]",1.0,0.78,0.7
combo_12,"[11, 7, 15, 21, 18]",1.0,0.74,0.66
combo_13,"[11, 6, 15, 21, 23]",0.96,0.64,0.6
combo_14,"[11, 7, 15, 12, 23]",0.96,0.76,0.76
combo_15,"[11, 24, 10, 21, 18]",1.0,0.74,0.54
combo_16,"[11, 8, 10, 12, 20]",1.0,0.86,0.86
combo_17,"[11, 8, 13, 21, 20]",0.98,0.74,0.66
combo_18,"[11, 22, 10, 4, 20]",0.98,0.76,0.74
combo_19,"[11, 25, 15, 3, 18]",0.92,0.7,0.62
combo_20,"[11, 25, 15, 3, 19]",0.9,0.66,0.56
combo_21,"[11, 8, 15, 4, 20]",0.96,0.74,0.64
combo_22,"[11, 22, 15, 1, 26]",0.9,0.7,0.62
combo_23,"[11, 6, 10, 1, 14]",0.96,0.88,0.86
combo_24,"[11, 22, 10, 17, 19]",0.96,0.74,0.7
combo_25,"[11, 9, 13, 3, 20]",0.98,0.82,0.76
combo_26,"[11, 25, 15, 5, 23]",0.92,0.66,0.6
combo_27,"[11, 9, 15, 5, 26]",0.98,0.84,0.76
combo_28,"[11, 24, 15, 21, 20]",0.98,0.66,0.5
combo_29,"[11, 25, 15, 17, 16]",1.0,0.76,0.68
combo_30,"[11, 6, 13, 5, 18]",0.98,0.82,0.76
combo_31,"[11, 6, 15, 2, 20]",0.96,0.7,0.6
combo_32,"[11, 9, 13, 12, 19]",1.0,0.88,0.8
combo_33,"[11, 8, 15, 21, 14]",1.0,0.78,0.68
combo_34,"[11, 25, 10, 3, 16]",0.96,0.84,0.78
combo_35,"[11, 9, 15, 12, 23]",0.98,0.84,0.76
combo_36,"[11, 9, 10, 4, 20]",0.94,0.84,0.88
combo_37,"[11, 8, 13, 3, 18]",0.98,0.8,0.74
combo_38,"[11, 9, 10, 17, 20]",1.0,0.88,0.82
combo_39,"[11, 22, 15, 3, 20]",0.92,0.68,0.62
