Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[20, 17, 10, 32]",0.8,0.78,0.7
combo_1,"[20, 16, 21, 22]",1.0,1.0,1.0
combo_2,"[20, 18, 6, 28]",0.86,0.76,0.74
combo_3,"[20, 15, 8, 28]",0.86,0.76,0.82
combo_4,"[20, 17, 6, 33]",0.78,0.74,0.76
combo_5,"[20, 14, 9, 23]",1.0,0.98,1.0
combo_6,"[20, 15, 10, 27]",0.9,0.72,0.7
combo_7,"[20, 14, 5, 22]",0.98,0.92,0.96
combo_8,"[20, 14, 4, 23]",1.0,1.0,1.0
combo_9,"[20, 16, 9, 24]",1.0,1.0,1.0
combo_10,"[20, 13, 4, 32]",0.88,0.78,0.78
combo_11,"[20, 11, 7, 22]",1.0,0.9,0.9
combo_12,"[20, 18, 5, 32]",0.76,0.68,0.64
combo_13,"[20, 14, 4, 33]",0.88,0.9,0.86
combo_14,"[20, 16, 12, 26]",0.96,0.94,0.94
combo_15,"[20, 14, 1, 28]",0.82,0.78,0.8
combo_16,"[20, 17, 6, 24]",0.9,0.82,0.82
combo_17,"[20, 18, 6, 29]",0.78,0.74,0.74
combo_18,"[20, 14, 10, 33]",0.82,0.78,0.76
combo_19,"[20, 11, 8, 32]",0.8,0.76,0.7
combo_20,"[20, 19, 7, 28]",0.9,0.84,0.82
combo_21,"[20, 18, 1, 24]",0.8,0.8,0.74
combo_22,"[20, 11, 6, 29]",0.84,0.72,0.64
combo_23,"[20, 15, 8, 24]",0.9,0.82,0.86
combo_24,"[20, 17, 9, 27]",0.98,0.88,0.9
combo_25,"[20, 11, 3, 32]",0.78,0.72,0.62
combo_26,"[20, 15, 5, 30]",0.78,0.74,0.64
combo_27,"[20, 17, 6, 22]",0.98,0.94,0.92
combo_28,"[20, 16, 2, 25]",0.9,0.92,0.88
combo_29,"[20, 16, 5, 32]",0.8,0.78,0.72
combo_30,"[20, 16, 10, 23]",1.0,0.94,0.92
combo_31,"[20, 14, 4, 25]",0.96,0.92,0.98
combo_32,"[20, 19, 9, 27]",0.96,0.8,0.78
combo_33,"[20, 19, 12, 33]",0.82,0.74,0.76
combo_34,"[20, 19, 6, 31]",0.84,0.74,0.72
combo_35,"[20, 16, 4, 29]",0.92,0.94,0.94
combo_36,"[20, 15, 10, 29]",0.86,0.72,0.68
combo_37,"[20, 16, 6, 29]",0.88,0.82,0.76
combo_38,"[20, 19, 3, 24]",0.92,0.82,0.8
combo_39,"[20, 19, 3, 27]",0.96,0.76,0.74
combo_40,"[20, 18, 1, 28]",0.78,0.72,0.7
combo_41,"[20, 13, 5, 28]",0.8,0.76,0.72
combo_42,"[20, 19, 7, 27]",0.98,0.78,0.82
combo_43,"[20, 17, 12, 27]",0.96,0.86,0.82
combo_44,"[20, 13, 4, 30]",0.88,0.82,0.78
combo_45,"[20, 11, 21, 30]",0.86,0.74,0.72
combo_46,"[20, 17, 5, 23]",0.92,0.84,0.88
combo_47,"[20, 11, 21, 23]",0.98,0.9,0.94
combo_48,"[20, 19, 3, 26]",0.9,0.78,0.76
combo_49,"[20, 11, 5, 23]",0.92,0.8,0.76
combo_50,"[20, 14, 10, 25]",0.9,0.86,0.84
combo_51,"[20, 16, 2, 32]",0.82,0.8,0.72
combo_52,"[20, 14, 21, 33]",0.92,0.88,0.9
combo_53,"[20, 13, 1, 27]",0.82,0.74,0.72
combo_54,"[20, 13, 6, 31]",0.92,0.78,0.78
combo_55,"[20, 13, 2, 30]",0.82,0.72,0.72
combo_56,"[20, 15, 2, 25]",0.8,0.8,0.74
combo_57,"[20, 17, 1, 31]",0.82,0.82,0.78
combo_58,"[20, 19, 10, 22]",0.9,0.84,0.86
combo_59,"[20, 16, 8, 32]",0.88,0.92,0.84
combo_60,"[20, 11, 2, 23]",0.84,0.8,0.76
combo_61,"[20, 11, 10, 28]",0.86,0.7,0.76
combo_62,"[20, 13, 8, 27]",0.92,0.9,0.88
combo_63,"[20, 15, 10, 25]",0.9,0.76,0.74
combo_64,"[20, 13, 3, 24]",0.92,0.9,0.78
combo_65,"[20, 13, 3, 25]",0.9,0.86,0.86
combo_66,"[20, 19, 2, 31]",0.78,0.74,0.72
combo_67,"[20, 16, 8, 30]",0.94,0.94,0.92
combo_68,"[20, 18, 3, 25]",0.9,0.88,0.84
combo_69,"[20, 13, 9, 26]",1.0,0.94,0.88
combo_70,"[20, 17, 1, 26]",0.82,0.78,0.8
combo_71,"[20, 13, 12, 25]",0.96,0.82,0.86
combo_72,"[20, 18, 4, 25]",0.88,0.9,0.88
combo_73,"[20, 18, 12, 22]",0.98,0.94,0.96
combo_74,"[20, 14, 12, 31]",0.9,0.82,0.86
