Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[18, 46, 40]",0.78,0.72,0.7
combo_1,"[18, 16, 10]",1.0,1.0,1.0
combo_2,"[18, 26, 37]",0.94,0.82,0.8
combo_3,"[18, 30, 29]",0.92,0.82,0.8
combo_4,"[18, 26, 40]",0.78,0.76,0.72
combo_5,"[18, 17, 6]",0.92,1.0,0.94
combo_6,"[18, 34, 10]",0.84,0.82,0.82
combo_7,"[18, 27, 36]",1.0,0.92,0.88
combo_8,"[18, 15, 42]",0.98,0.9,0.94
combo_9,"[18, 23, 14]",1.0,0.98,1.0
combo_10,"[18, 43, 37]",0.92,0.84,0.82
combo_11,"[18, 21, 38]",1.0,0.96,1.0
combo_12,"[18, 22, 8]",0.94,0.88,0.86
combo_13,"[18, 24, 12]",0.92,0.96,0.9
combo_14,"[18, 32, 40]",0.86,0.84,0.82
combo_15,"[18, 46, 6]",0.78,0.76,0.76
combo_16,"[18, 11, 29]",0.84,0.84,0.74
combo_17,"[18, 27, 41]",0.78,0.74,0.74
combo_18,"[18, 30, 10]",0.9,0.88,0.86
combo_19,"[18, 32, 3]",0.94,0.92,0.88
combo_20,"[18, 26, 41]",0.74,0.74,0.7
combo_21,"[18, 32, 2]",0.9,0.9,0.86
combo_22,"[18, 34, 6]",0.86,0.82,0.8
combo_23,"[18, 21, 1]",0.96,0.92,0.9
combo_24,"[18, 20, 29]",0.9,0.88,0.88
combo_25,"[18, 34, 41]",0.78,0.78,0.72
combo_26,"[18, 33, 29]",0.9,0.78,0.78
combo_27,"[18, 32, 1]",1.0,0.9,0.86
combo_28,"[18, 27, 2]",0.88,0.84,0.8
combo_29,"[18, 46, 4]",0.8,0.76,0.68
combo_30,"[18, 43, 5]",0.98,0.94,0.9
combo_31,"[18, 23, 41]",0.82,0.74,0.72
combo_32,"[18, 33, 5]",0.92,0.9,0.86
combo_33,"[18, 30, 7]",0.84,0.86,0.82
combo_34,"[18, 24, 37]",0.94,0.82,0.8
combo_35,"[18, 16, 29]",0.98,0.98,0.94
combo_36,"[18, 19, 42]",0.96,0.78,0.82
combo_37,"[18, 16, 9]",1.0,1.0,1.0
combo_38,"[18, 34, 29]",0.94,0.74,0.72
combo_39,"[18, 34, 36]",1.0,0.9,0.9
combo_40,"[18, 44, 41]",0.86,0.76,0.76
combo_41,"[18, 31, 14]",1.0,1.0,1.0
combo_42,"[18, 16, 4]",0.96,0.96,0.96
combo_43,"[18, 11, 10]",1.0,0.9,0.86
combo_44,"[18, 11, 3]",0.96,0.9,0.92
combo_45,"[18, 21, 28]",0.88,0.88,0.88
combo_46,"[18, 32, 7]",0.82,0.82,0.8
combo_47,"[18, 35, 10]",0.9,0.88,0.86
combo_48,"[18, 11, 5]",0.98,0.98,0.98
combo_49,"[18, 45, 4]",0.88,0.86,0.84
combo_50,"[18, 43, 6]",0.98,0.84,0.78
combo_51,"[18, 15, 10]",1.0,0.96,0.94
combo_52,"[18, 35, 38]",1.0,0.98,0.98
combo_53,"[18, 25, 6]",0.76,0.74,0.74
combo_54,"[18, 46, 42]",0.78,0.76,0.68
combo_55,"[18, 45, 36]",0.98,0.98,1.0
