Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[7, 23, 6]",0.98,0.96,0.96
combo_1,"[7, 28, 14]",0.78,0.8,0.76
combo_2,"[7, 2, 19]",1.0,1.0,1.0
combo_3,"[7, 22, 15]",0.92,0.8,0.82
combo_4,"[7, 1, 9]",0.98,1.0,0.98
combo_5,"[7, 22, 16]",0.76,0.76,0.74
combo_6,"[7, 28, 12]",0.74,0.7,0.68
combo_7,"[7, 20, 6]",0.82,0.8,0.82
combo_8,"[7, 28, 15]",0.74,0.74,0.66
combo_9,"[7, 3, 19]",0.82,0.78,0.82
combo_10,"[7, 26, 8]",0.98,0.92,0.94
combo_11,"[7, 2, 21]",1.0,0.98,1.0
combo_12,"[7, 1, 19]",0.94,0.96,0.96
combo_13,"[7, 26, 6]",0.88,0.84,0.84
combo_14,"[7, 24, 18]",0.8,0.76,0.72
combo_15,"[7, 25, 6]",0.88,0.86,0.86
combo_16,"[7, 28, 9]",0.74,0.76,0.72
combo_17,"[7, 27, 11]",0.68,0.68,0.62
combo_18,"[7, 26, 5]",0.9,0.8,0.82
combo_19,"[7, 26, 19]",0.76,0.76,0.74
combo_20,"[7, 24, 15]",0.82,0.82,0.78
combo_21,"[7, 27, 17]",0.68,0.72,0.7
combo_22,"[7, 24, 8]",0.98,1.0,1.0
combo_23,"[7, 4, 8]",1.0,1.0,1.0
combo_24,"[7, 20, 11]",0.68,0.68,0.58
combo_25,"[7, 4, 16]",0.8,0.82,0.76
combo_26,"[7, 27, 13]",0.78,0.74,0.72
combo_27,"[7, 24, 9]",0.88,0.86,0.86
combo_28,"[7, 2, 14]",1.0,1.0,1.0
combo_29,"[7, 2, 15]",1.0,1.0,0.98
combo_30,"[7, 20, 9]",0.8,0.78,0.78
combo_31,"[7, 22, 12]",0.9,0.8,0.8
combo_32,"[7, 4, 15]",0.9,0.96,0.88
combo_33,"[7, 20, 21]",0.86,0.72,0.72
combo_34,"[7, 28, 17]",0.72,0.7,0.64
combo_35,"[7, 1, 16]",0.86,0.88,0.86
combo_36,"[7, 24, 10]",0.98,0.94,0.94
combo_37,"[7, 24, 19]",0.82,0.8,0.78
combo_38,"[7, 22, 14]",0.96,0.9,0.9
combo_39,"[7, 24, 13]",0.86,0.86,0.86
combo_40,"[7, 20, 12]",0.78,0.78,0.68
combo_41,"[7, 23, 13]",0.94,0.9,0.9
combo_42,"[7, 23, 16]",0.8,0.78,0.76
combo_43,"[7, 2, 5]",1.0,1.0,1.0
combo_44,"[7, 3, 16]",0.76,0.72,0.74
combo_45,"[7, 2, 10]",1.0,1.0,1.0
combo_46,"[7, 4, 9]",0.98,0.94,0.94
combo_47,"[7, 27, 5]",0.88,0.76,0.72
combo_48,"[7, 25, 8]",0.98,0.96,0.92
combo_49,"[7, 25, 16]",0.74,0.72,0.68
combo_50,"[7, 1, 12]",0.94,0.96,0.94
combo_51,"[7, 28, 18]",0.76,0.68,0.68
combo_52,"[7, 23, 11]",0.76,0.76,0.68
combo_53,"[7, 1, 11]",0.8,0.86,0.8
combo_54,"[7, 4, 5]",1.0,0.92,1.0
combo_55,"[7, 27, 6]",0.84,0.82,0.78
combo_56,"[7, 23, 10]",1.0,0.98,1.0
combo_57,"[7, 23, 15]",0.9,0.88,0.84
combo_58,"[7, 4, 18]",0.88,0.82,0.84
combo_59,"[7, 23, 17]",0.82,0.82,0.78
combo_60,"[7, 28, 5]",0.8,0.78,0.7
combo_61,"[7, 24, 21]",0.96,0.82,0.82
combo_62,"[7, 23, 14]",0.96,0.94,0.96
combo_63,"[7, 27, 15]",0.78,0.76,0.74
combo_64,"[7, 26, 15]",0.8,0.8,0.76
combo_65,"[7, 27, 12]",0.78,0.76,0.7
combo_66,"[7, 26, 14]",0.88,0.86,0.86
combo_67,"[7, 28, 8]",0.9,0.84,0.86
combo_68,"[7, 3, 12]",0.8,0.8,0.78
combo_69,"[7, 25, 19]",0.8,0.8,0.76
combo_70,"[7, 20, 10]",0.88,0.88,0.86
combo_71,"[7, 27, 14]",0.84,0.84,0.78
combo_72,"[7, 4, 6]",1.0,1.0,1.0
combo_73,"[7, 1, 8]",1.0,1.0,1.0
combo_74,"[7, 25, 21]",0.9,0.74,0.74
combo_75,"[7, 3, 8]",0.98,1.0,0.98
combo_76,"[7, 1, 15]",0.96,0.94,0.94
combo_77,"[7, 3, 14]",0.9,0.96,0.88
combo_78,"[7, 28, 19]",0.76,0.72,0.66
combo_79,"[7, 28, 16]",0.7,0.68,0.6
combo_80,"[7, 27, 18]",0.76,0.74,0.7
combo_81,"[7, 24, 17]",0.78,0.8,0.72
combo_82,"[7, 20, 16]",0.72,0.7,0.66
combo_83,"[7, 25, 13]",0.84,0.82,0.8
combo_84,"[7, 4, 19]",0.88,0.88,0.9
combo_85,"[7, 4, 13]",0.94,0.98,0.94
combo_86,"[7, 24, 16]",0.72,0.7,0.7
combo_87,"[7, 27, 8]",0.94,0.88,0.9
combo_88,"[7, 26, 11]",0.72,0.7,0.62
combo_89,"[7, 28, 21]",0.86,0.78,0.66
combo_90,"[7, 1, 14]",1.0,1.0,1.0
combo_91,"[7, 20, 14]",0.8,0.84,0.8
combo_92,"[7, 2, 12]",1.0,1.0,1.0
combo_93,"[7, 2, 17]",0.96,0.96,0.94
combo_94,"[7, 27, 16]",0.72,0.72,0.66
combo_95,"[7, 28, 10]",0.88,0.84,0.86
combo_96,"[7, 2, 9]",1.0,1.0,1.0
combo_97,"[7, 22, 10]",1.0,0.92,0.94
combo_98,"[7, 24, 6]",0.92,0.92,0.92
combo_99,"[7, 22, 19]",0.88,0.84,0.84
