Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[65, 64, 49]",0.74,0.74,0.64
combo_1,"[65, 6, 123]",0.72,0.6,0.52
combo_2,"[65, 128, 42]",0.64,0.62,0.46
combo_3,"[65, 50, 38]",0.62,0.58,0.46
combo_4,"[65, 82, 104]",1.0,0.86,0.9
combo_5,"[65, 36, 42]",0.74,0.66,0.6
combo_6,"[65, 16, 102]",0.84,0.82,0.78
combo_7,"[65, 3, 89]",0.72,0.58,0.52
combo_8,"[65, 11, 91]",0.72,0.64,0.58
combo_9,"[65, 116, 107]",0.58,0.56,0.4
combo_10,"[65, 19, 98]",0.9,0.88,0.92
combo_11,"[65, 8, 39]",0.68,0.58,0.5
combo_12,"[65, 134, 43]",0.6,0.56,0.44
combo_13,"[65, 73, 126]",0.94,0.72,0.66
combo_14,"[65, 134, 118]",0.7,0.68,0.56
combo_15,"[65, 19, 93]",0.9,0.74,0.74
combo_16,"[65, 72, 2]",0.88,0.78,0.68
combo_17,"[65, 19, 120]",0.8,0.66,0.68
combo_18,"[65, 70, 89]",0.86,0.74,0.68
combo_19,"[65, 5, 107]",0.66,0.54,0.44
combo_20,"[65, 142, 87]",0.68,0.7,0.6
combo_21,"[65, 117, 138]",0.56,0.5,0.44
combo_22,"[65, 130, 89]",0.7,0.66,0.58
combo_23,"[65, 70, 77]",0.88,0.88,0.86
combo_24,"[65, 117, 22]",0.76,0.62,0.56
combo_25,"[65, 79, 99]",0.86,0.88,0.82
combo_26,"[65, 10, 48]",0.76,0.64,0.56
combo_27,"[65, 57, 127]",0.78,0.72,0.66
combo_28,"[65, 71, 49]",0.76,0.66,0.58
combo_29,"[65, 3, 44]",0.6,0.5,0.42
combo_30,"[65, 19, 139]",0.68,0.6,0.52
combo_31,"[65, 128, 38]",0.74,0.58,0.52
combo_32,"[65, 33, 49]",0.62,0.58,0.46
combo_33,"[65, 1, 127]",0.7,0.6,0.54
combo_34,"[65, 131, 92]",0.7,0.66,0.6
combo_35,"[65, 130, 47]",0.66,0.62,0.56
combo_36,"[65, 35, 86]",0.74,0.64,0.64
combo_37,"[65, 19, 40]",0.68,0.62,0.56
combo_38,"[65, 53, 23]",0.86,0.72,0.62
combo_39,"[65, 60, 90]",0.76,0.7,0.62
combo_40,"[65, 110, 88]",0.68,0.58,0.54
combo_41,"[65, 33, 96]",0.72,0.64,0.58
combo_42,"[65, 18, 94]",0.8,0.76,0.64
combo_43,"[65, 50, 26]",0.68,0.62,0.58
combo_44,"[65, 128, 88]",0.68,0.62,0.62
combo_45,"[65, 7, 48]",0.78,0.6,0.54
combo_46,"[65, 117, 26]",0.76,0.6,0.56
combo_47,"[65, 121, 97]",0.88,0.78,0.78
combo_48,"[65, 56, 40]",0.78,0.6,0.56
combo_49,"[65, 31, 67]",0.76,0.8,0.78
combo_50,"[65, 63, 84]",0.94,0.92,0.92
combo_51,"[65, 109, 23]",0.7,0.56,0.44
combo_52,"[65, 132, 137]",0.6,0.56,0.46
combo_53,"[65, 58, 105]",0.78,0.76,0.74
combo_54,"[65, 20, 105]",0.82,0.74,0.72
combo_55,"[65, 28, 55]",0.92,0.74,0.66
combo_56,"[65, 133, 39]",0.74,0.54,0.42
combo_57,"[65, 28, 44]",0.66,0.62,0.5
combo_58,"[65, 132, 139]",0.62,0.58,0.46
combo_59,"[65, 117, 88]",0.7,0.62,0.62
combo_60,"[65, 4, 102]",0.7,0.64,0.6
combo_61,"[65, 59, 140]",0.68,0.6,0.48
combo_62,"[65, 142, 136]",0.54,0.5,0.42
combo_63,"[65, 129, 55]",0.72,0.58,0.52
combo_64,"[65, 111, 68]",0.66,0.6,0.6
combo_65,"[65, 72, 96]",1.0,0.78,0.78
combo_66,"[65, 72, 41]",0.82,0.66,0.6
combo_67,"[65, 130, 124]",0.7,0.68,0.58
combo_68,"[65, 82, 107]",0.72,0.68,0.56
combo_69,"[65, 81, 67]",0.98,0.94,0.98
combo_70,"[65, 16, 42]",0.84,0.68,0.62
combo_71,"[65, 1, 136]",0.58,0.52,0.42
combo_72,"[65, 62, 93]",0.98,0.9,0.9
combo_73,"[65, 132, 108]",0.62,0.6,0.44
combo_74,"[65, 58, 85]",0.84,0.8,0.74
combo_75,"[65, 115, 99]",0.72,0.62,0.58
combo_76,"[65, 59, 42]",0.7,0.66,0.56
combo_77,"[65, 10, 22]",0.78,0.72,0.64
combo_78,"[65, 53, 29]",0.82,0.62,0.56
combo_79,"[65, 135, 66]",0.86,0.82,0.8
combo_80,"[65, 80, 39]",0.78,0.7,0.64
combo_81,"[65, 56, 101]",0.82,0.7,0.7
combo_82,"[65, 10, 87]",0.94,0.8,0.76
combo_83,"[65, 35, 92]",0.82,0.78,0.7
combo_84,"[65, 19, 141]",0.76,0.64,0.58
combo_85,"[65, 60, 122]",0.78,0.68,0.58
combo_86,"[65, 14, 23]",0.68,0.62,0.6
combo_87,"[65, 32, 75]",0.88,0.84,0.84
combo_88,"[65, 16, 46]",0.8,0.68,0.6
combo_89,"[65, 121, 37]",0.72,0.68,0.56
combo_90,"[65, 34, 76]",0.74,0.64,0.44
combo_91,"[65, 114, 136]",0.56,0.5,0.4
combo_92,"[65, 8, 41]",0.72,0.58,0.52
combo_93,"[65, 16, 94]",0.94,0.8,0.76
combo_94,"[65, 13, 93]",0.82,0.74,0.7
combo_95,"[65, 79, 89]",0.78,0.76,0.66
combo_96,"[65, 16, 140]",0.74,0.64,0.54
combo_97,"[65, 133, 66]",0.78,0.76,0.72
combo_98,"[65, 131, 84]",0.8,0.66,0.64
combo_99,"[65, 50, 106]",0.7,0.64,0.54
