Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[15, 8, 11]",1.0,0.98,1.0
combo_1,"[15, 8, 12]",0.96,0.96,0.96
combo_2,"[15, 7, 13]",1.0,1.0,1.0
combo_3,"[15, 6, 11]",0.92,0.92,0.92
combo_4,"[15, 3, 11]",1.0,1.0,1.0
combo_5,"[15, 14, 13]",1.0,1.0,1.0
combo_6,"[15, 1, 11]",1.0,1.0,1.0
combo_7,"[15, 5, 13]",0.98,1.0,1.0
combo_8,"[15, 4, 12]",1.0,1.0,1.0
combo_9,"[15, 1, 13]",1.0,1.0,1.0
combo_10,"[15, 8, 13]",1.0,1.0,1.0
combo_11,"[15, 2, 13]",1.0,1.0,1.0
combo_12,"[15, 7, 12]",0.96,0.92,0.92
combo_13,"[15, 5, 12]",0.92,0.94,0.94
combo_14,"[15, 6, 13]",1.0,0.96,0.96
combo_15,"[15, 6, 12]",0.92,0.88,0.84
combo_16,"[15, 5, 11]",0.98,0.92,0.94
combo_17,"[15, 2, 11]",1.0,1.0,1.0
combo_18,"[15, 4, 13]",1.0,1.0,1.0
combo_19,"[15, 3, 13]",1.0,1.0,1.0
combo_20,"[15, 1, 12]",1.0,1.0,1.0
combo_21,"[15, 2, 12]",1.0,0.98,1.0
combo_22,"[15, 3, 12]",1.0,1.0,1.0
combo_23,"[15, 10, 13]",1.0,1.0,1.0
combo_24,"[15, 14, 12]",1.0,0.98,0.98
combo_25,"[15, 14, 11]",1.0,1.0,1.0
combo_26,"[15, 9, 11]",0.98,0.94,0.96
combo_27,"[15, 9, 12]",0.92,0.88,0.94
combo_28,"[15, 4, 11]",1.0,1.0,1.0
combo_29,"[15, 10, 12]",1.0,1.0,1.0
combo_30,"[15, 10, 11]",1.0,1.0,1.0
combo_31,"[15, 7, 11]",1.0,1.0,1.0
combo_32,"[15, 9, 13]",1.0,1.0,1.0
