Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[4, 3, 5, 7]",1.0,1.0,1.0
combo_1,"[4, 2, 1, 9]",1.0,1.0,1.0
combo_2,"[4, 2, 1, 7]",1.0,1.0,1.0
combo_3,"[4, 3, 5, 9]",1.0,1.0,1.0
combo_4,"[4, 3, 6, 7]",1.0,1.0,1.0
combo_5,"[4, 2, 6, 9]",1.0,1.0,0.96
combo_6,"[4, 3, 1, 9]",1.0,1.0,1.0
combo_7,"[4, 3, 1, 7]",1.0,1.0,1.0
combo_8,"[4, 3, 1, 8]",1.0,1.0,1.0
combo_9,"[4, 2, 5, 9]",1.0,1.0,1.0
combo_10,"[4, 3, 5, 8]",1.0,1.0,1.0
combo_11,"[4, 2, 5, 7]",1.0,1.0,1.0
combo_12,"[4, 2, 1, 8]",1.0,1.0,1.0
combo_13,"[4, 3, 6, 8]",1.0,1.0,1.0
combo_14,"[4, 2, 5, 8]",1.0,1.0,1.0
combo_15,"[4, 3, 6, 9]",1.0,1.0,1.0
combo_16,"[4, 2, 6, 8]",1.0,0.98,1.0
combo_17,"[4, 2, 6, 7]",1.0,1.0,1.0
