Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[5, 1, 7, 10]",1.0,1.0,1.0
combo_1,"[5, 1, 7, 9]",1.0,1.0,1.0
combo_2,"[5, 3, 6, 10]",1.0,0.96,0.9
combo_3,"[5, 2, 4, 8]",1.0,1.0,0.98
combo_4,"[5, 3, 4, 9]",1.0,0.86,0.9
combo_5,"[5, 1, 4, 9]",1.0,1.0,1.0
combo_6,"[5, 3, 4, 10]",1.0,0.88,0.84
combo_7,"[5, 1, 4, 8]",1.0,1.0,1.0
combo_8,"[5, 3, 4, 8]",1.0,0.96,0.92
combo_9,"[5, 2, 4, 10]",1.0,0.88,0.88
combo_10,"[5, 3, 6, 9]",1.0,0.98,1.0
combo_11,"[5, 3, 6, 8]",1.0,1.0,1.0
combo_12,"[5, 3, 7, 9]",1.0,0.94,0.92
combo_13,"[5, 2, 7, 8]",1.0,1.0,1.0
combo_14,"[5, 2, 6, 10]",1.0,1.0,1.0
combo_15,"[5, 2, 7, 9]",1.0,1.0,1.0
combo_16,"[5, 2, 6, 8]",1.0,1.0,1.0
combo_17,"[5, 3, 7, 8]",1.0,1.0,1.0
combo_18,"[5, 1, 6, 9]",1.0,1.0,1.0
combo_19,"[5, 1, 4, 10]",1.0,0.96,0.96
combo_20,"[5, 1, 6, 8]",1.0,1.0,1.0
combo_21,"[5, 2, 4, 9]",1.0,0.96,0.96
combo_22,"[5, 1, 7, 8]",1.0,1.0,1.0
combo_23,"[5, 1, 6, 10]",1.0,1.0,1.0
combo_24,"[5, 2, 6, 9]",1.0,1.0,1.0
combo_25,"[5, 2, 7, 10]",1.0,0.92,0.92
combo_26,"[5, 3, 7, 10]",1.0,0.9,0.9
