Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[5, 4, 6]",1.0,1.0,1.0
combo_1,"[5, 12, 3]",1.0,1.0,1.0
combo_2,"[5, 12, 7]",1.0,1.0,1.0
combo_3,"[5, 12, 6]",1.0,1.0,1.0
combo_4,"[5, 2, 3]",1.0,1.0,1.0
combo_5,"[5, 9, 7]",1.0,1.0,1.0
combo_6,"[5, 10, 6]",1.0,1.0,1.0
combo_7,"[5, 2, 6]",1.0,1.0,1.0
combo_8,"[5, 11, 3]",1.0,1.0,1.0
combo_9,"[5, 4, 8]",1.0,1.0,1.0
combo_10,"[5, 12, 8]",1.0,1.0,1.0
combo_11,"[5, 11, 8]",1.0,1.0,1.0
combo_12,"[5, 9, 6]",1.0,1.0,1.0
combo_13,"[5, 11, 1]",1.0,1.0,1.0
combo_14,"[5, 10, 3]",1.0,1.0,1.0
combo_15,"[5, 9, 8]",1.0,1.0,0.98
combo_16,"[5, 2, 7]",1.0,1.0,1.0
combo_17,"[5, 2, 1]",1.0,1.0,1.0
combo_18,"[5, 9, 1]",1.0,1.0,1.0
combo_19,"[5, 11, 7]",1.0,1.0,1.0
combo_20,"[5, 4, 3]",1.0,1.0,1.0
combo_21,"[5, 10, 8]",1.0,1.0,0.98
combo_22,"[5, 4, 1]",1.0,1.0,1.0
combo_23,"[5, 10, 1]",1.0,1.0,1.0
combo_24,"[5, 11, 6]",1.0,1.0,1.0
combo_25,"[5, 2, 8]",1.0,1.0,1.0
combo_26,"[5, 10, 7]",1.0,1.0,1.0
combo_27,"[5, 9, 3]",1.0,1.0,1.0
combo_28,"[5, 4, 7]",1.0,1.0,1.0
combo_29,"[5, 12, 1]",1.0,1.0,1.0
