Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[13, 2, 10, 14, 15]",1.0,1.0,0.98
combo_1,"[13, 5, 9, 14, 7]",1.0,0.94,0.92
combo_2,"[13, 5, 11, 14, 7]",1.0,1.0,1.0
combo_3,"[13, 2, 9, 14, 15]",1.0,0.94,0.92
combo_4,"[13, 2, 11, 14, 1]",1.0,0.94,0.98
combo_5,"[13, 5, 10, 14, 1]",0.98,0.94,0.94
combo_6,"[13, 5, 8, 14, 6]",1.0,1.0,0.96
combo_7,"[13, 2, 8, 14, 3]",1.0,0.9,0.8
combo_8,"[13, 5, 12, 14, 4]",1.0,0.98,1.0
combo_9,"[13, 2, 12, 14, 7]",1.0,0.94,0.96
combo_10,"[13, 2, 10, 14, 3]",1.0,0.92,0.88
combo_11,"[13, 5, 8, 14, 15]",1.0,1.0,1.0
combo_12,"[13, 2, 10, 14, 1]",1.0,0.88,0.94
combo_13,"[13, 2, 9, 14, 7]",1.0,0.92,0.86
combo_14,"[13, 2, 10, 14, 4]",1.0,0.96,0.94
combo_15,"[13, 5, 8, 14, 4]",1.0,0.98,0.98
combo_16,"[13, 5, 12, 14, 6]",1.0,0.98,0.98
combo_17,"[13, 5, 9, 14, 1]",1.0,0.92,0.88
combo_18,"[13, 2, 10, 14, 6]",1.0,1.0,0.98
combo_19,"[13, 2, 8, 14, 15]",1.0,1.0,0.94
combo_20,"[13, 5, 10, 14, 7]",1.0,0.98,1.0
combo_21,"[13, 5, 8, 14, 7]",1.0,0.98,0.98
combo_22,"[13, 5, 10, 14, 6]",1.0,1.0,1.0
combo_23,"[13, 5, 12, 14, 1]",0.98,0.98,0.94
combo_24,"[13, 2, 12, 14, 4]",1.0,0.98,0.94
combo_25,"[13, 5, 8, 14, 3]",1.0,0.96,0.88
combo_26,"[13, 2, 11, 14, 6]",1.0,1.0,0.96
combo_27,"[13, 2, 8, 14, 7]",1.0,0.96,0.9
combo_28,"[13, 5, 11, 14, 15]",1.0,1.0,1.0
combo_29,"[13, 2, 10, 14, 7]",0.98,0.94,0.94
combo_30,"[13, 2, 9, 14, 6]",1.0,0.88,0.84
combo_31,"[13, 5, 9, 14, 15]",1.0,1.0,0.94
combo_32,"[13, 2, 8, 14, 6]",1.0,0.94,0.92
combo_33,"[13, 2, 12, 14, 3]",1.0,0.92,0.9
combo_34,"[13, 5, 10, 14, 4]",1.0,1.0,1.0
combo_35,"[13, 5, 11, 14, 4]",1.0,1.0,1.0
combo_36,"[13, 5, 11, 14, 1]",1.0,0.98,1.0
combo_37,"[13, 2, 11, 14, 4]",1.0,0.98,1.0
combo_38,"[13, 5, 9, 14, 3]",1.0,0.92,0.84
combo_39,"[13, 2, 11, 14, 3]",1.0,0.94,0.96
combo_40,"[13, 5, 10, 14, 3]",0.98,0.96,0.98
combo_41,"[13, 5, 12, 14, 7]",1.0,0.98,0.98
combo_42,"[13, 5, 12, 14, 15]",1.0,1.0,1.0
combo_43,"[13, 5, 11, 14, 3]",1.0,0.98,1.0
combo_44,"[13, 2, 8, 14, 1]",1.0,0.88,0.86
combo_45,"[13, 5, 9, 14, 6]",0.98,0.96,0.9
combo_46,"[13, 5, 8, 14, 1]",1.0,0.96,0.9
combo_47,"[13, 2, 9, 14, 1]",0.98,0.84,0.84
combo_48,"[13, 2, 12, 14, 1]",0.98,0.92,0.94
combo_49,"[13, 5, 11, 14, 6]",1.0,1.0,1.0
combo_50,"[13, 2, 11, 14, 7]",1.0,1.0,1.0
combo_51,"[13, 2, 8, 14, 4]",1.0,0.94,0.96
combo_52,"[13, 5, 10, 14, 15]",1.0,1.0,1.0
combo_53,"[13, 2, 12, 14, 6]",0.98,0.96,0.96
combo_54,"[13, 2, 9, 14, 4]",1.0,0.9,0.82
combo_55,"[13, 2, 11, 14, 15]",1.0,1.0,1.0
combo_56,"[13, 2, 12, 14, 15]",1.0,1.0,0.98
combo_57,"[13, 2, 9, 14, 3]",1.0,0.88,0.76
combo_58,"[13, 5, 9, 14, 4]",1.0,0.94,0.94
combo_59,"[13, 5, 12, 14, 3]",0.98,0.94,0.94
