Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[10, 3, 20, 11]",1.0,0.96,0.96
combo_1,"[10, 4, 22, 12]",1.0,0.96,0.96
combo_2,"[10, 8, 9, 13]",0.9,0.8,0.8
combo_3,"[10, 14, 22, 15]",0.98,0.98,0.96
combo_4,"[10, 14, 21, 16]",0.94,0.9,0.88
combo_5,"[10, 8, 22, 12]",0.94,0.82,0.8
combo_6,"[10, 23, 18, 16]",0.88,0.84,0.84
combo_7,"[10, 4, 9, 12]",1.0,0.98,0.98
combo_8,"[10, 23, 22, 16]",0.94,0.84,0.76
combo_9,"[10, 17, 6, 15]",1.0,1.0,1.0
combo_10,"[10, 17, 9, 12]",0.94,0.88,0.94
combo_11,"[10, 14, 21, 12]",0.98,0.9,0.94
combo_12,"[10, 1, 6, 11]",1.0,1.0,1.0
combo_13,"[10, 5, 20, 13]",0.88,0.78,0.78
combo_14,"[10, 17, 20, 13]",0.9,0.84,0.82
combo_15,"[10, 7, 22, 13]",1.0,0.84,0.82
combo_16,"[10, 3, 19, 13]",1.0,0.94,0.92
combo_17,"[10, 2, 6, 11]",1.0,1.0,1.0
combo_18,"[10, 2, 6, 12]",1.0,1.0,0.98
combo_19,"[10, 2, 9, 13]",0.98,0.92,0.92
combo_20,"[10, 2, 20, 16]",0.92,0.92,0.9
combo_21,"[10, 3, 22, 15]",1.0,0.98,0.98
combo_22,"[10, 3, 22, 16]",0.94,0.92,0.9
combo_23,"[10, 23, 6, 13]",0.92,0.88,0.84
combo_24,"[10, 3, 6, 13]",1.0,0.92,0.96
combo_25,"[10, 14, 9, 16]",0.96,0.94,0.94
combo_26,"[10, 2, 20, 15]",1.0,1.0,0.96
combo_27,"[10, 3, 6, 15]",1.0,1.0,1.0
combo_28,"[10, 14, 20, 15]",0.94,0.98,0.92
combo_29,"[10, 14, 19, 16]",0.92,0.88,0.88
combo_30,"[10, 8, 9, 15]",0.98,0.94,0.98
combo_31,"[10, 7, 21, 16]",1.0,0.94,0.88
combo_32,"[10, 17, 22, 12]",1.0,0.84,0.88
combo_33,"[10, 14, 6, 13]",1.0,0.88,0.88
combo_34,"[10, 4, 6, 13]",1.0,0.98,1.0
combo_35,"[10, 17, 21, 15]",1.0,1.0,0.98
combo_36,"[10, 3, 9, 13]",0.98,0.9,0.88
combo_37,"[10, 8, 19, 12]",0.94,0.86,0.86
combo_38,"[10, 2, 20, 11]",0.96,0.94,0.96
combo_39,"[10, 4, 21, 12]",1.0,0.98,1.0
combo_40,"[10, 4, 18, 13]",1.0,0.92,0.88
combo_41,"[10, 1, 19, 13]",0.94,0.9,0.88
combo_42,"[10, 1, 18, 13]",0.96,0.9,0.86
combo_43,"[10, 1, 9, 13]",0.96,0.9,0.86
combo_44,"[10, 8, 20, 16]",0.9,0.84,0.8
combo_45,"[10, 7, 18, 16]",0.98,0.9,0.82
combo_46,"[10, 7, 6, 15]",1.0,1.0,1.0
combo_47,"[10, 5, 6, 12]",0.9,0.92,0.88
combo_48,"[10, 23, 6, 16]",0.94,0.92,0.9
combo_49,"[10, 2, 21, 13]",0.96,0.92,0.9
combo_50,"[10, 1, 18, 11]",1.0,0.96,0.92
combo_51,"[10, 23, 22, 15]",1.0,0.9,0.88
combo_52,"[10, 5, 22, 13]",0.9,0.78,0.74
combo_53,"[10, 14, 6, 16]",1.0,0.94,0.94
combo_54,"[10, 14, 20, 16]",0.9,0.86,0.88
combo_55,"[10, 17, 6, 16]",0.96,0.96,0.92
combo_56,"[10, 2, 18, 16]",0.98,0.9,0.92
combo_57,"[10, 17, 19, 16]",0.92,0.86,0.9
combo_58,"[10, 1, 18, 12]",0.96,0.9,0.9
combo_59,"[10, 8, 22, 15]",1.0,0.9,0.86
combo_60,"[10, 7, 21, 11]",1.0,0.94,0.94
combo_61,"[10, 3, 21, 12]",0.96,0.96,0.94
combo_62,"[10, 3, 9, 15]",1.0,1.0,1.0
combo_63,"[10, 17, 9, 16]",0.96,0.88,0.88
combo_64,"[10, 5, 19, 15]",1.0,0.98,0.94
combo_65,"[10, 4, 9, 16]",1.0,1.0,1.0
combo_66,"[10, 23, 6, 11]",1.0,0.92,0.94
combo_67,"[10, 23, 19, 16]",0.9,0.84,0.88
combo_68,"[10, 14, 21, 11]",1.0,0.94,0.92
combo_69,"[10, 7, 22, 12]",0.98,0.84,0.88
combo_70,"[10, 7, 21, 15]",1.0,0.98,1.0
combo_71,"[10, 5, 21, 16]",0.92,0.86,0.86
combo_72,"[10, 14, 20, 11]",0.96,0.92,0.92
combo_73,"[10, 7, 22, 15]",1.0,0.96,0.96
combo_74,"[10, 17, 6, 11]",1.0,0.98,1.0
combo_75,"[10, 23, 18, 12]",0.94,0.86,0.78
combo_76,"[10, 1, 6, 15]",1.0,1.0,1.0
combo_77,"[10, 23, 18, 15]",0.96,0.9,0.88
combo_78,"[10, 14, 18, 16]",0.92,0.86,0.86
combo_79,"[10, 14, 19, 12]",0.96,0.88,0.88
combo_80,"[10, 17, 21, 13]",0.96,0.88,0.84
combo_81,"[10, 4, 19, 11]",1.0,1.0,1.0
combo_82,"[10, 17, 19, 12]",0.98,0.88,0.88
combo_83,"[10, 3, 6, 11]",1.0,1.0,1.0
combo_84,"[10, 5, 21, 15]",1.0,0.94,0.94
combo_85,"[10, 2, 19, 15]",1.0,1.0,1.0
combo_86,"[10, 7, 6, 16]",1.0,0.98,0.9
combo_87,"[10, 1, 18, 15]",1.0,1.0,1.0
combo_88,"[10, 14, 9, 15]",0.98,1.0,1.0
combo_89,"[10, 2, 22, 15]",1.0,0.98,1.0
combo_90,"[10, 17, 20, 15]",1.0,0.96,0.96
combo_91,"[10, 3, 18, 11]",0.98,0.96,0.92
combo_92,"[10, 4, 19, 13]",1.0,0.96,0.96
combo_93,"[10, 8, 6, 16]",0.98,0.9,0.9
combo_94,"[10, 2, 21, 12]",0.96,0.98,0.96
combo_95,"[10, 2, 20, 12]",0.94,0.92,0.88
combo_96,"[10, 23, 19, 12]",0.86,0.86,0.82
