Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[31, 9, 14]",1.0,1.0,1.0
combo_1,"[31, 9, 1]",0.98,0.96,0.96
combo_2,"[31, 10, 20]",0.96,0.94,0.98
combo_3,"[31, 26, 4]",0.9,0.76,0.76
combo_4,"[31, 16, 23]",0.92,0.88,0.92
combo_5,"[31, 5, 14]",0.92,0.84,0.84
combo_6,"[31, 30, 23]",0.9,0.94,0.92
combo_7,"[31, 25, 18]",0.82,0.62,0.62
combo_8,"[31, 30, 24]",0.86,0.68,0.68
combo_9,"[31, 9, 21]",0.98,1.0,0.98
combo_10,"[31, 27, 20]",0.76,0.72,0.72
combo_11,"[31, 25, 14]",0.82,0.72,0.72
combo_12,"[31, 9, 18]",0.92,0.9,0.9
combo_13,"[31, 10, 24]",0.84,0.84,0.9
combo_14,"[31, 16, 18]",0.82,0.72,0.66
combo_15,"[31, 28, 8]",0.84,0.68,0.64
combo_16,"[31, 25, 1]",0.92,0.68,0.7
combo_17,"[31, 28, 1]",0.84,0.68,0.74
combo_18,"[31, 29, 11]",0.76,0.68,0.7
combo_19,"[31, 6, 14]",0.9,0.9,0.9
combo_20,"[31, 9, 24]",0.92,0.9,0.92
combo_21,"[31, 17, 11]",0.88,0.84,0.82
combo_22,"[31, 10, 13]",0.86,0.82,0.8
combo_23,"[31, 28, 20]",0.82,0.66,0.7
combo_24,"[31, 25, 11]",0.76,0.66,0.62
combo_25,"[31, 5, 1]",0.86,0.78,0.8
combo_26,"[31, 29, 23]",0.84,0.88,0.84
combo_27,"[31, 16, 20]",0.96,0.76,0.72
combo_28,"[31, 16, 15]",0.94,0.7,0.68
combo_29,"[31, 29, 19]",0.78,0.68,0.68
combo_30,"[31, 17, 15]",0.98,0.84,0.82
combo_31,"[31, 26, 1]",0.9,0.7,0.74
combo_32,"[31, 30, 14]",0.88,0.86,0.82
combo_33,"[31, 9, 2]",0.92,0.96,0.96
combo_34,"[31, 6, 4]",0.94,0.88,0.9
combo_35,"[31, 5, 18]",0.82,0.74,0.74
combo_36,"[31, 30, 12]",0.8,0.72,0.64
combo_37,"[31, 17, 22]",1.0,1.0,1.0
combo_38,"[31, 30, 13]",0.8,0.68,0.66
combo_39,"[31, 25, 7]",0.88,0.6,0.6
combo_40,"[31, 9, 12]",0.9,0.94,0.88
combo_41,"[31, 16, 3]",0.96,0.86,0.86
combo_42,"[31, 6, 1]",0.82,0.86,0.84
combo_43,"[31, 30, 21]",0.82,0.76,0.78
combo_44,"[31, 6, 15]",0.96,0.82,0.78
combo_45,"[31, 25, 2]",0.86,0.64,0.64
combo_46,"[31, 9, 7]",0.9,0.86,0.9
combo_47,"[31, 16, 19]",0.88,0.74,0.74
combo_48,"[31, 26, 18]",0.74,0.68,0.62
combo_49,"[31, 27, 24]",0.82,0.62,0.6
combo_50,"[31, 25, 20]",0.78,0.74,0.7
combo_51,"[31, 17, 7]",0.92,0.84,0.78
combo_52,"[31, 28, 23]",0.86,0.82,0.82
combo_53,"[31, 10, 14]",1.0,1.0,1.0
combo_54,"[31, 5, 2]",0.86,0.76,0.74
combo_55,"[31, 29, 13]",0.76,0.64,0.6
combo_56,"[31, 30, 15]",0.9,0.74,0.7
combo_57,"[31, 17, 1]",0.88,0.9,0.9
combo_58,"[31, 5, 4]",0.92,0.84,0.84
combo_59,"[31, 5, 11]",0.9,0.8,0.78
combo_60,"[31, 16, 24]",0.82,0.7,0.68
combo_61,"[31, 6, 19]",0.78,0.8,0.78
combo_62,"[31, 26, 14]",0.82,0.7,0.74
combo_63,"[31, 28, 12]",0.74,0.64,0.7
combo_64,"[31, 9, 23]",1.0,1.0,1.0
combo_65,"[31, 10, 8]",0.88,0.9,0.92
combo_66,"[31, 27, 4]",0.88,0.7,0.78
combo_67,"[31, 27, 15]",0.82,0.68,0.62
combo_68,"[31, 16, 2]",0.84,0.72,0.7
combo_69,"[31, 30, 3]",0.86,0.82,0.82
combo_70,"[31, 30, 8]",0.88,0.72,0.76
combo_71,"[31, 16, 14]",0.92,0.8,0.8
combo_72,"[31, 10, 3]",1.0,1.0,1.0
combo_73,"[31, 6, 23]",0.98,1.0,1.0
combo_74,"[31, 16, 21]",0.9,0.74,0.76
combo_75,"[31, 5, 7]",0.92,0.76,0.72
combo_76,"[31, 10, 11]",0.92,0.92,0.9
combo_77,"[31, 17, 4]",0.98,0.94,0.96
combo_78,"[31, 26, 15]",0.86,0.7,0.7
combo_79,"[31, 5, 19]",0.82,0.76,0.76
combo_80,"[31, 25, 15]",0.84,0.68,0.64
combo_81,"[31, 28, 4]",0.82,0.74,0.72
combo_82,"[31, 25, 24]",0.94,0.62,0.68
combo_83,"[31, 16, 4]",0.92,0.8,0.8
combo_84,"[31, 10, 15]",0.98,0.9,0.94
combo_85,"[31, 17, 20]",0.94,0.88,0.9
combo_86,"[31, 10, 22]",1.0,1.0,1.0
combo_87,"[31, 6, 11]",0.9,0.84,0.78
combo_88,"[31, 30, 1]",0.88,0.72,0.74
combo_89,"[31, 30, 19]",0.78,0.74,0.72
combo_90,"[31, 17, 24]",0.88,0.86,0.8
