Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[9, 2, 6, 19, 16]",1.0,0.94,0.96
combo_1,"[9, 1, 8, 11, 16]",1.0,0.88,0.78
combo_2,"[9, 2, 4, 18, 12]",1.0,0.88,0.88
combo_3,"[9, 2, 4, 19, 13]",1.0,0.96,0.9
combo_4,"[9, 3, 15, 7, 16]",1.0,0.94,0.94
combo_5,"[9, 1, 6, 17, 13]",1.0,0.88,0.82
combo_6,"[9, 2, 6, 18, 13]",1.0,0.96,0.92
combo_7,"[9, 5, 14, 18, 12]",1.0,0.88,0.82
combo_8,"[9, 5, 14, 7, 12]",1.0,0.9,0.94
combo_9,"[9, 1, 15, 19, 13]",1.0,0.88,0.78
combo_10,"[9, 1, 6, 18, 16]",1.0,0.9,0.74
combo_11,"[9, 5, 4, 7, 13]",1.0,0.98,0.98
combo_12,"[9, 3, 6, 19, 12]",1.0,1.0,1.0
combo_13,"[9, 5, 6, 11, 13]",1.0,0.98,0.96
combo_14,"[9, 2, 6, 18, 12]",1.0,0.92,0.9
combo_15,"[9, 1, 6, 17, 12]",1.0,0.92,0.84
combo_16,"[9, 3, 15, 7, 13]",1.0,0.98,0.94
combo_17,"[9, 3, 14, 11, 10]",1.0,1.0,0.94
combo_18,"[9, 3, 4, 17, 13]",1.0,0.94,0.92
combo_19,"[9, 1, 14, 11, 10]",1.0,0.9,0.82
combo_20,"[9, 2, 15, 17, 13]",1.0,0.84,0.8
combo_21,"[9, 3, 8, 18, 16]",1.0,0.92,0.82
combo_22,"[9, 5, 14, 11, 12]",1.0,0.9,0.88
combo_23,"[9, 5, 8, 7, 12]",1.0,1.0,0.84
combo_24,"[9, 1, 8, 19, 12]",1.0,0.88,0.78
combo_25,"[9, 1, 8, 18, 13]",1.0,0.86,0.78
combo_26,"[9, 2, 6, 11, 16]",1.0,0.94,0.9
combo_27,"[9, 3, 6, 11, 13]",1.0,1.0,1.0
combo_28,"[9, 1, 6, 18, 13]",1.0,0.92,0.8
combo_29,"[9, 5, 8, 11, 16]",1.0,0.92,0.8
combo_30,"[9, 3, 4, 18, 10]",1.0,0.98,0.96
combo_31,"[9, 1, 8, 7, 12]",1.0,0.96,0.82
combo_32,"[9, 2, 14, 18, 10]",1.0,0.92,0.84
combo_33,"[9, 2, 15, 11, 12]",1.0,0.92,0.84
combo_34,"[9, 2, 14, 18, 13]",1.0,0.9,0.78
combo_35,"[9, 3, 8, 18, 12]",1.0,0.94,0.82
combo_36,"[9, 2, 6, 19, 12]",1.0,0.96,0.94
combo_37,"[9, 1, 15, 19, 16]",1.0,0.86,0.72
combo_38,"[9, 2, 14, 17, 12]",1.0,0.88,0.8
combo_39,"[9, 2, 8, 18, 10]",1.0,0.96,0.72
combo_40,"[9, 2, 15, 7, 12]",1.0,0.94,0.9
combo_41,"[9, 1, 4, 19, 16]",1.0,0.9,0.8
combo_42,"[9, 5, 6, 11, 12]",1.0,0.94,0.96
combo_43,"[9, 5, 6, 19, 13]",1.0,1.0,0.98
combo_44,"[9, 5, 8, 11, 13]",1.0,0.92,0.84
combo_45,"[9, 2, 8, 19, 16]",1.0,0.92,0.8
combo_46,"[9, 5, 15, 7, 12]",1.0,0.92,0.94
combo_47,"[9, 3, 6, 17, 10]",1.0,1.0,1.0
combo_48,"[9, 2, 6, 7, 13]",1.0,1.0,1.0
combo_49,"[9, 5, 15, 19, 13]",1.0,0.88,0.84
combo_50,"[9, 2, 6, 18, 10]",1.0,0.98,0.96
combo_51,"[9, 1, 15, 7, 10]",1.0,0.96,0.88
combo_52,"[9, 1, 6, 11, 10]",1.0,0.98,0.9
combo_53,"[9, 1, 14, 7, 10]",1.0,0.92,0.82
combo_54,"[9, 2, 4, 19, 16]",1.0,0.88,0.82
combo_55,"[9, 2, 4, 11, 13]",1.0,0.96,0.92
combo_56,"[9, 2, 4, 17, 12]",1.0,0.88,0.88
combo_57,"[9, 2, 14, 11, 12]",1.0,0.88,0.88
combo_58,"[9, 1, 8, 17, 13]",1.0,0.88,0.74
combo_59,"[9, 3, 8, 7, 12]",1.0,1.0,0.9
combo_60,"[9, 1, 15, 18, 12]",1.0,0.86,0.8
combo_61,"[9, 2, 8, 7, 16]",1.0,0.98,0.82
combo_62,"[9, 1, 14, 19, 12]",1.0,0.9,0.7
combo_63,"[9, 3, 6, 17, 16]",1.0,0.94,0.9
combo_64,"[9, 2, 8, 17, 16]",1.0,0.88,0.72
combo_65,"[9, 5, 6, 17, 13]",1.0,0.94,0.88
combo_66,"[9, 1, 15, 7, 16]",1.0,0.88,0.78
combo_67,"[9, 1, 15, 17, 12]",1.0,0.8,0.76
combo_68,"[9, 1, 6, 11, 16]",1.0,0.92,0.78
combo_69,"[9, 2, 14, 19, 13]",1.0,0.92,0.86
combo_70,"[9, 5, 6, 11, 10]",1.0,1.0,0.96
combo_71,"[9, 3, 15, 18, 13]",1.0,0.92,0.86
combo_72,"[9, 5, 6, 19, 16]",1.0,0.92,0.92
combo_73,"[9, 3, 14, 19, 16]",1.0,0.88,0.84
combo_74,"[9, 3, 15, 19, 16]",1.0,0.9,0.84
combo_75,"[9, 3, 6, 19, 13]",1.0,1.0,1.0
combo_76,"[9, 2, 8, 17, 13]",1.0,0.86,0.76
combo_77,"[9, 1, 15, 17, 16]",1.0,0.84,0.72
combo_78,"[9, 2, 8, 11, 10]",1.0,0.96,0.78
combo_79,"[9, 2, 6, 18, 16]",1.0,0.9,0.86
combo_80,"[9, 1, 4, 7, 13]",1.0,0.98,0.94
combo_81,"[9, 1, 6, 17, 16]",1.0,0.88,0.72
combo_82,"[9, 5, 4, 11, 12]",1.0,0.92,0.88
combo_83,"[9, 5, 8, 18, 13]",1.0,0.94,0.78
combo_84,"[9, 5, 15, 7, 10]",1.0,0.98,0.94
combo_85,"[9, 3, 8, 19, 13]",1.0,0.96,0.9
combo_86,"[9, 3, 14, 19, 12]",1.0,0.92,0.92
combo_87,"[9, 1, 4, 11, 13]",1.0,0.9,0.84
