Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[9, 1, 10, 14, 17]",0.96,0.9,0.92
combo_1,"[9, 7, 3, 15, 16]",1.0,0.86,0.82
combo_2,"[9, 7, 12, 15, 6]",0.98,0.78,0.78
combo_3,"[9, 8, 12, 11, 17]",0.96,0.82,0.82
combo_4,"[9, 5, 10, 15, 16]",1.0,0.8,0.0
combo_5,"[9, 7, 4, 11, 6]",0.98,0.82,0.8
combo_6,"[9, 8, 10, 15, 18]",1.0,1.0,1.0
combo_7,"[9, 7, 3, 13, 6]",1.0,0.94,0.88
combo_8,"[9, 2, 12, 11, 18]",1.0,0.84,0.88
combo_9,"[9, 8, 10, 14, 16]",1.0,1.0,1.0
combo_10,"[9, 2, 4, 13, 17]",1.0,0.82,0.8
combo_11,"[9, 5, 12, 11, 6]",1.0,0.72,0.0
combo_12,"[9, 5, 3, 13, 17]",0.92,0.78,0.6
combo_13,"[9, 2, 4, 11, 18]",1.0,0.86,0.88
combo_14,"[9, 7, 12, 13, 18]",1.0,0.88,0.86
combo_15,"[9, 2, 12, 14, 6]",1.0,0.9,0.94
combo_16,"[9, 8, 10, 13, 17]",1.0,0.96,0.92
combo_17,"[9, 7, 3, 13, 17]",0.96,0.84,0.86
combo_18,"[9, 7, 12, 11, 18]",0.98,0.86,0.84
combo_19,"[9, 1, 12, 15, 17]",0.94,0.72,0.72
combo_20,"[9, 7, 10, 11, 16]",1.0,0.92,0.92
combo_21,"[9, 8, 3, 14, 17]",1.0,0.94,0.96
combo_22,"[9, 1, 3, 15, 16]",0.98,0.82,0.8
combo_23,"[9, 2, 4, 13, 6]",1.0,0.88,0.8
combo_24,"[9, 2, 10, 13, 18]",1.0,1.0,0.98
combo_25,"[9, 7, 12, 13, 17]",0.98,0.8,0.82
combo_26,"[9, 8, 12, 14, 17]",0.98,0.92,0.92
combo_27,"[9, 7, 4, 15, 6]",0.96,0.84,0.82
combo_28,"[9, 1, 10, 15, 17]",1.0,0.84,0.84
combo_29,"[9, 7, 10, 15, 16]",0.98,0.9,0.88
combo_30,"[9, 1, 4, 15, 6]",0.98,0.76,0.78
combo_31,"[9, 7, 10, 13, 16]",1.0,0.98,0.96
