Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[4, 20, 9]",0.84,0.74,0.7
combo_1,"[4, 21, 8]",1.0,1.0,1.0
combo_2,"[4, 11, 14]",0.96,0.96,0.98
combo_3,"[4, 11, 8]",1.0,1.0,1.0
combo_4,"[4, 22, 6]",0.88,0.72,0.72
combo_5,"[4, 21, 10]",0.9,0.88,0.9
combo_6,"[4, 24, 12]",1.0,0.98,1.0
combo_7,"[4, 19, 6]",0.86,0.76,0.76
combo_8,"[4, 19, 7]",1.0,1.0,1.0
combo_9,"[4, 16, 8]",1.0,1.0,1.0
combo_10,"[4, 20, 13]",0.92,0.9,0.92
combo_11,"[4, 23, 13]",0.9,0.82,0.88
combo_12,"[4, 5, 13]",0.88,0.8,0.82
combo_13,"[4, 1, 6]",0.88,0.86,0.84
combo_14,"[4, 2, 8]",1.0,1.0,1.0
combo_15,"[4, 3, 10]",0.98,1.0,1.0
combo_16,"[4, 19, 12]",0.96,0.88,0.88
combo_17,"[4, 17, 14]",0.94,0.88,0.88
combo_18,"[4, 22, 12]",0.88,0.9,0.82
combo_19,"[4, 16, 7]",1.0,1.0,1.0
combo_20,"[4, 1, 8]",1.0,1.0,1.0
combo_21,"[4, 18, 6]",0.86,0.72,0.66
combo_22,"[4, 15, 12]",1.0,0.96,0.92
combo_23,"[4, 22, 13]",0.92,0.92,0.88
combo_24,"[4, 1, 9]",0.92,0.92,0.88
combo_25,"[4, 15, 9]",0.9,0.88,0.84
combo_26,"[4, 23, 12]",0.9,0.82,0.86
combo_27,"[4, 16, 14]",0.98,0.94,0.96
combo_28,"[4, 22, 8]",0.94,0.94,0.92
combo_29,"[4, 1, 14]",1.0,1.0,1.0
combo_30,"[4, 19, 9]",0.82,0.78,0.8
combo_31,"[4, 1, 7]",1.0,1.0,1.0
combo_32,"[4, 2, 10]",0.98,0.9,0.86
combo_33,"[4, 23, 8]",0.94,0.88,0.94
combo_34,"[4, 19, 10]",0.88,0.84,0.84
combo_35,"[4, 5, 12]",0.88,0.76,0.72
combo_36,"[4, 5, 10]",0.88,0.7,0.74
combo_37,"[4, 23, 7]",0.96,0.94,0.96
combo_38,"[4, 2, 12]",1.0,0.96,0.96
combo_39,"[4, 17, 12]",0.94,0.88,0.96
combo_40,"[4, 19, 13]",0.94,0.94,0.96
combo_41,"[4, 20, 8]",0.96,0.98,0.96
combo_42,"[4, 20, 14]",0.92,0.86,0.84
combo_43,"[4, 20, 10]",0.84,0.82,0.82
combo_44,"[4, 17, 8]",1.0,1.0,0.98
combo_45,"[4, 16, 13]",0.98,1.0,0.98
combo_46,"[4, 22, 14]",0.88,0.86,0.82
combo_47,"[4, 2, 7]",1.0,1.0,1.0
combo_48,"[4, 18, 7]",1.0,1.0,1.0
combo_49,"[4, 21, 14]",0.96,0.94,0.94
combo_50,"[4, 20, 7]",0.98,1.0,1.0
combo_51,"[4, 5, 6]",0.94,0.66,0.66
combo_52,"[4, 11, 12]",1.0,0.94,0.96
combo_53,"[4, 2, 9]",0.9,0.86,0.88
combo_54,"[4, 24, 14]",1.0,1.0,1.0
combo_55,"[4, 15, 13]",1.0,1.0,0.98
combo_56,"[4, 19, 8]",0.98,0.98,0.98
combo_57,"[4, 21, 13]",0.98,0.98,0.98
combo_58,"[4, 24, 6]",0.92,0.84,0.82
combo_59,"[4, 21, 7]",1.0,1.0,1.0
combo_60,"[4, 24, 13]",1.0,1.0,1.0
combo_61,"[4, 16, 12]",1.0,0.96,0.98
combo_62,"[4, 11, 10]",0.94,0.94,0.92
combo_63,"[4, 3, 13]",1.0,1.0,1.0
combo_64,"[4, 18, 8]",0.96,0.98,0.94
combo_65,"[4, 18, 9]",0.86,0.82,0.76
combo_66,"[4, 23, 6]",0.88,0.68,0.7
combo_67,"[4, 3, 12]",1.0,1.0,1.0
combo_68,"[4, 24, 9]",0.94,0.88,0.94
combo_69,"[4, 18, 13]",0.96,0.88,0.86
combo_70,"[4, 11, 9]",0.86,0.84,0.84
combo_71,"[4, 15, 8]",1.0,1.0,1.0
combo_72,"[4, 21, 9]",0.9,0.78,0.84
combo_73,"[4, 11, 7]",1.0,1.0,1.0
combo_74,"[4, 1, 12]",1.0,1.0,1.0
combo_75,"[4, 1, 13]",1.0,1.0,1.0
combo_76,"[4, 17, 10]",0.88,0.88,0.84
combo_77,"[4, 17, 9]",0.88,0.8,0.84
combo_78,"[4, 16, 6]",0.88,0.82,0.82
combo_79,"[4, 15, 10]",0.92,0.9,0.88
combo_80,"[4, 24, 7]",1.0,1.0,1.0
combo_81,"[4, 1, 10]",0.96,0.92,0.92
combo_82,"[4, 15, 7]",1.0,1.0,1.0
combo_83,"[4, 3, 8]",1.0,1.0,1.0
combo_84,"[4, 18, 10]",0.82,0.82,0.8
combo_85,"[4, 5, 14]",0.9,0.74,0.72
combo_86,"[4, 2, 13]",1.0,0.98,1.0
combo_87,"[4, 20, 6]",0.82,0.72,0.72
combo_88,"[4, 17, 6]",0.9,0.74,0.76
combo_89,"[4, 11, 13]",1.0,1.0,1.0
combo_90,"[4, 22, 7]",0.98,1.0,1.0
combo_91,"[4, 24, 8]",1.0,1.0,1.0
combo_92,"[4, 15, 14]",0.98,0.94,0.94
combo_93,"[4, 16, 9]",0.88,0.88,0.84
combo_94,"[4, 24, 10]",0.96,0.92,0.96
combo_95,"[4, 11, 6]",0.86,0.82,0.82
combo_96,"[4, 17, 7]",1.0,1.0,1.0
combo_97,"[4, 3, 7]",1.0,1.0,1.0
combo_98,"[4, 18, 14]",0.88,0.88,0.86
combo_99,"[4, 19, 14]",0.9,0.94,0.9
