Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[22, 21, 31, 33]",0.94,0.8,0.7
combo_1,"[22, 12, 8, 33]",1.0,0.84,0.72
combo_2,"[22, 21, 29, 7]",1.0,0.94,0.8
combo_3,"[22, 13, 8, 9]",1.0,0.88,0.86
combo_4,"[22, 18, 31, 23]",1.0,0.96,0.96
combo_5,"[22, 20, 31, 11]",1.0,0.96,0.92
combo_6,"[22, 13, 29, 33]",0.96,0.84,0.74
combo_7,"[22, 13, 29, 25]",1.0,0.88,0.86
combo_8,"[22, 14, 29, 30]",0.96,0.92,0.92
combo_9,"[22, 19, 31, 4]",0.98,0.88,0.74
combo_10,"[22, 13, 29, 7]",1.0,0.98,0.86
combo_11,"[22, 13, 29, 24]",1.0,0.9,0.92
combo_12,"[22, 18, 8, 25]",1.0,0.9,0.86
combo_13,"[22, 13, 32, 7]",1.0,0.98,0.98
combo_14,"[22, 16, 32, 5]",0.92,0.9,0.8
combo_15,"[22, 13, 8, 25]",1.0,0.88,0.8
combo_16,"[22, 16, 8, 30]",1.0,0.92,0.92
combo_17,"[22, 15, 32, 27]",1.0,0.98,0.94
combo_18,"[22, 19, 8, 30]",1.0,0.94,0.98
combo_19,"[22, 13, 29, 3]",1.0,0.88,0.84
combo_20,"[22, 19, 31, 24]",1.0,0.96,0.94
combo_21,"[22, 14, 31, 34]",0.9,0.8,0.76
combo_22,"[22, 13, 8, 27]",0.96,0.82,0.78
combo_23,"[22, 16, 32, 7]",1.0,0.98,1.0
combo_24,"[22, 20, 31, 2]",1.0,0.98,0.94
combo_25,"[22, 18, 32, 26]",1.0,0.98,0.94
combo_26,"[22, 15, 32, 11]",1.0,0.98,0.96
combo_27,"[22, 19, 32, 11]",1.0,1.0,0.96
combo_28,"[22, 17, 29, 25]",1.0,0.92,0.96
combo_29,"[22, 17, 32, 27]",0.98,0.92,0.98
combo_30,"[22, 10, 32, 6]",1.0,0.96,0.94
combo_31,"[22, 10, 8, 9]",1.0,0.88,0.9
combo_32,"[22, 19, 29, 3]",1.0,0.98,0.84
combo_33,"[22, 18, 29, 4]",0.98,0.88,0.88
combo_34,"[22, 10, 8, 23]",1.0,0.94,1.0
combo_35,"[22, 18, 8, 33]",0.98,0.82,0.74
combo_36,"[22, 19, 32, 24]",1.0,1.0,1.0
combo_37,"[22, 20, 8, 35]",1.0,0.92,0.92
combo_38,"[22, 16, 32, 6]",1.0,0.98,0.96
combo_39,"[22, 21, 32, 33]",1.0,0.92,0.76
combo_40,"[22, 20, 8, 3]",1.0,1.0,0.96
combo_41,"[22, 20, 32, 23]",1.0,1.0,1.0
combo_42,"[22, 12, 29, 34]",0.98,0.88,0.82
combo_43,"[22, 20, 29, 35]",1.0,1.0,0.9
combo_44,"[22, 10, 29, 25]",1.0,0.92,0.86
combo_45,"[22, 17, 31, 27]",0.96,0.88,0.86
combo_46,"[22, 13, 32, 24]",1.0,1.0,0.92
combo_47,"[22, 17, 31, 25]",1.0,0.9,0.9
combo_48,"[22, 16, 8, 2]",1.0,0.86,0.84
combo_49,"[22, 13, 31, 34]",0.92,0.78,0.76
combo_50,"[22, 18, 8, 24]",1.0,0.94,0.9
combo_51,"[22, 12, 29, 4]",1.0,0.9,0.88
combo_52,"[22, 14, 8, 3]",1.0,0.86,0.82
combo_53,"[22, 17, 29, 27]",1.0,0.96,0.94
combo_54,"[22, 19, 32, 33]",1.0,0.9,0.84
combo_55,"[22, 18, 32, 27]",0.94,0.92,0.94
combo_56,"[22, 15, 31, 5]",0.88,0.82,0.68
combo_57,"[22, 13, 8, 4]",1.0,0.86,0.78
combo_58,"[22, 18, 8, 30]",1.0,0.9,0.92
combo_59,"[22, 17, 32, 3]",1.0,1.0,1.0
combo_60,"[22, 12, 8, 4]",1.0,0.86,0.82
combo_61,"[22, 20, 29, 4]",1.0,0.98,0.94
combo_62,"[22, 20, 29, 2]",1.0,1.0,0.98
combo_63,"[22, 16, 29, 30]",1.0,0.96,0.96
combo_64,"[22, 17, 29, 26]",1.0,0.96,0.94
combo_65,"[22, 19, 32, 35]",1.0,1.0,0.96
combo_66,"[22, 15, 31, 6]",0.98,0.88,0.82
combo_67,"[22, 10, 8, 1]",1.0,0.88,0.76
combo_68,"[22, 15, 29, 1]",0.98,0.9,0.86
combo_69,"[22, 12, 29, 6]",1.0,0.94,0.9
combo_70,"[22, 12, 31, 1]",0.98,0.86,0.82
combo_71,"[22, 21, 29, 27]",0.96,0.9,0.82
combo_72,"[22, 15, 8, 24]",1.0,0.94,0.88
combo_73,"[22, 10, 8, 7]",1.0,0.88,0.88
combo_74,"[22, 17, 8, 27]",1.0,0.9,0.86
combo_75,"[22, 13, 32, 27]",1.0,0.9,0.84
combo_76,"[22, 10, 32, 4]",1.0,0.94,0.9
combo_77,"[22, 21, 31, 2]",1.0,0.86,0.82
combo_78,"[22, 20, 32, 26]",1.0,1.0,1.0
combo_79,"[22, 19, 29, 2]",1.0,0.96,0.92
combo_80,"[22, 12, 29, 27]",0.96,0.9,0.86
combo_81,"[22, 16, 8, 25]",1.0,0.84,0.88
combo_82,"[22, 10, 8, 2]",1.0,0.86,0.86
combo_83,"[22, 18, 8, 4]",1.0,0.86,0.82
combo_84,"[22, 16, 8, 34]",0.94,0.84,0.76
combo_85,"[22, 16, 8, 9]",1.0,0.9,0.96
combo_86,"[22, 20, 31, 25]",1.0,0.96,0.92
combo_87,"[22, 21, 32, 4]",1.0,0.96,0.84
combo_88,"[22, 12, 8, 25]",1.0,0.9,0.84
combo_89,"[22, 17, 32, 33]",1.0,0.94,0.92
combo_90,"[22, 12, 31, 11]",1.0,0.86,0.84
combo_91,"[22, 13, 32, 3]",1.0,0.96,0.94
combo_92,"[22, 21, 29, 30]",1.0,0.94,0.94
combo_93,"[22, 14, 32, 24]",1.0,1.0,0.94
combo_94,"[22, 19, 31, 2]",1.0,0.9,0.86
combo_95,"[22, 13, 29, 2]",1.0,0.92,0.84
combo_96,"[22, 20, 31, 30]",1.0,0.98,1.0
combo_97,"[22, 13, 8, 24]",1.0,0.92,0.86
combo_98,"[22, 17, 32, 30]",1.0,1.0,1.0
combo_99,"[22, 20, 29, 25]",1.0,1.0,1.0
