Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[19, 28, 13, 45, 38]",0.94,0.78,0.68
combo_1,"[19, 40, 13, 5, 2]",0.96,0.78,0.68
combo_2,"[19, 33, 1, 45, 31]",0.92,0.82,0.72
combo_3,"[19, 37, 30, 49, 14]",1.0,0.72,0.56
combo_4,"[19, 36, 43, 49, 32]",0.96,0.8,0.6
combo_5,"[19, 6, 24, 45, 50]",1.0,0.94,0.94
combo_6,"[19, 15, 47, 20, 31]",0.98,0.84,0.82
combo_7,"[19, 28, 30, 20, 31]",0.92,0.84,0.74
combo_8,"[19, 33, 47, 5, 42]",0.96,0.82,0.72
combo_9,"[19, 23, 13, 49, 25]",0.92,0.74,0.64
combo_10,"[19, 22, 24, 20, 2]",0.96,0.9,0.84
combo_11,"[19, 4, 47, 49, 38]",0.94,0.76,0.64
combo_12,"[19, 6, 34, 49, 27]",0.9,0.76,0.62
combo_13,"[19, 23, 24, 5, 46]",1.0,0.8,0.78
combo_14,"[19, 23, 10, 49, 14]",0.98,0.8,0.76
combo_15,"[19, 6, 43, 20, 46]",1.0,0.94,0.78
combo_16,"[19, 12, 47, 49, 3]",0.94,0.74,0.66
combo_17,"[19, 39, 29, 45, 9]",1.0,0.8,0.72
combo_18,"[19, 22, 30, 45, 27]",0.92,0.84,0.74
combo_19,"[19, 22, 43, 20, 2]",0.96,0.88,0.68
combo_20,"[19, 22, 30, 20, 31]",0.94,0.86,0.82
combo_21,"[19, 11, 17, 20, 14]",1.0,0.98,0.98
combo_22,"[19, 26, 30, 45, 25]",1.0,0.88,0.88
combo_23,"[19, 16, 17, 45, 48]",0.94,0.86,0.72
combo_24,"[19, 40, 13, 45, 3]",0.92,0.8,0.7
combo_25,"[19, 28, 47, 45, 46]",0.96,0.82,0.76
combo_26,"[19, 11, 34, 20, 27]",0.98,0.86,0.78
combo_27,"[19, 23, 1, 5, 46]",0.98,0.78,0.7
combo_28,"[19, 44, 10, 5, 21]",0.98,0.76,0.68
combo_29,"[19, 40, 13, 45, 42]",0.92,0.76,0.7
combo_30,"[19, 22, 30, 5, 25]",0.96,0.78,0.72
combo_31,"[19, 33, 34, 20, 27]",0.92,0.86,0.76
combo_32,"[19, 37, 47, 45, 25]",0.96,0.78,0.68
combo_33,"[19, 40, 1, 49, 18]",0.94,0.68,0.54
combo_34,"[19, 4, 47, 45, 42]",0.98,0.82,0.72
combo_35,"[19, 15, 29, 5, 27]",0.94,0.78,0.74
combo_36,"[19, 44, 13, 45, 18]",0.88,0.76,0.62
combo_37,"[19, 12, 10, 20, 9]",1.0,0.9,0.86
combo_38,"[19, 11, 1, 5, 48]",0.94,0.8,0.74
combo_39,"[19, 8, 43, 20, 50]",0.94,0.84,0.64
combo_40,"[19, 44, 17, 45, 2]",1.0,0.9,0.82
combo_41,"[19, 44, 13, 49, 32]",0.94,0.72,0.62
combo_42,"[19, 40, 24, 49, 48]",0.92,0.76,0.6
combo_43,"[19, 16, 1, 20, 41]",0.92,0.78,0.64
combo_44,"[19, 37, 1, 5, 2]",0.94,0.76,0.7
combo_45,"[19, 16, 47, 49, 2]",0.92,0.74,0.6
combo_46,"[19, 7, 34, 20, 9]",0.92,0.78,0.78
combo_47,"[19, 15, 43, 45, 25]",1.0,0.74,0.66
combo_48,"[19, 15, 24, 49, 2]",0.98,0.74,0.68
combo_49,"[19, 7, 17, 5, 48]",0.98,0.82,0.78
combo_50,"[19, 33, 30, 20, 2]",0.98,0.88,0.82
combo_51,"[19, 12, 34, 45, 2]",0.96,0.84,0.82
combo_52,"[19, 7, 13, 5, 50]",0.98,0.74,0.7
combo_53,"[19, 36, 10, 5, 38]",1.0,0.84,0.78
combo_54,"[19, 40, 24, 49, 38]",0.9,0.76,0.62
combo_55,"[19, 37, 43, 20, 2]",0.96,0.8,0.6
combo_56,"[19, 4, 30, 20, 38]",1.0,0.9,0.8
combo_57,"[19, 16, 30, 5, 46]",0.92,0.78,0.64
combo_58,"[19, 40, 17, 45, 2]",1.0,0.9,0.84
combo_59,"[19, 36, 30, 5, 25]",0.96,0.82,0.7
combo_60,"[19, 22, 1, 20, 41]",0.94,0.8,0.74
combo_61,"[19, 40, 29, 45, 27]",0.94,0.8,0.7
combo_62,"[19, 8, 1, 45, 48]",0.9,0.76,0.66
combo_63,"[19, 15, 13, 49, 9]",1.0,0.66,0.58
combo_64,"[19, 16, 24, 45, 3]",0.94,0.82,0.68
combo_65,"[19, 40, 47, 20, 18]",0.96,0.8,0.74
combo_66,"[19, 6, 17, 45, 14]",1.0,0.96,0.94
combo_67,"[19, 40, 1, 20, 35]",0.92,0.84,0.72
combo_68,"[19, 16, 29, 49, 42]",0.88,0.78,0.62
combo_69,"[19, 28, 29, 49, 31]",0.9,0.78,0.64
combo_70,"[19, 26, 34, 49, 38]",0.96,0.86,0.78
combo_71,"[19, 39, 24, 20, 46]",0.96,0.86,0.78
combo_72,"[19, 6, 30, 45, 31]",0.94,0.82,0.78
combo_73,"[19, 23, 30, 5, 21]",0.94,0.78,0.66
