Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[10, 8, 18]",1.0,1.0,1.0
combo_1,"[10, 7, 18]",1.0,1.0,1.0
combo_2,"[10, 3, 12]",1.0,1.0,1.0
combo_3,"[10, 5, 15]",1.0,1.0,1.0
combo_4,"[10, 6, 15]",1.0,1.0,1.0
combo_5,"[10, 3, 14]",1.0,1.0,1.0
combo_6,"[10, 3, 11]",1.0,1.0,1.0
combo_7,"[10, 4, 11]",1.0,1.0,1.0
combo_8,"[10, 1, 15]",1.0,1.0,1.0
combo_9,"[10, 8, 15]",1.0,1.0,0.98
combo_10,"[10, 1, 2]",1.0,1.0,1.0
combo_11,"[10, 1, 11]",1.0,1.0,1.0
combo_12,"[10, 9, 14]",1.0,0.98,0.98
combo_13,"[10, 17, 11]",1.0,0.98,0.8
combo_14,"[10, 3, 18]",1.0,1.0,1.0
combo_15,"[10, 9, 2]",1.0,1.0,1.0
combo_16,"[10, 17, 16]",1.0,0.98,0.9
combo_17,"[10, 17, 14]",1.0,0.98,0.84
combo_18,"[10, 5, 18]",1.0,1.0,1.0
combo_19,"[10, 17, 13]",1.0,1.0,0.88
combo_20,"[10, 8, 12]",1.0,1.0,0.98
combo_21,"[10, 3, 16]",1.0,1.0,1.0
combo_22,"[10, 6, 14]",1.0,0.98,0.98
combo_23,"[10, 1, 13]",1.0,1.0,0.98
combo_24,"[10, 1, 18]",1.0,1.0,1.0
combo_25,"[10, 4, 13]",1.0,1.0,1.0
combo_26,"[10, 3, 13]",1.0,1.0,1.0
combo_27,"[10, 5, 12]",1.0,1.0,1.0
combo_28,"[10, 4, 14]",1.0,1.0,1.0
combo_29,"[10, 1, 16]",1.0,0.98,1.0
combo_30,"[10, 7, 12]",1.0,1.0,1.0
combo_31,"[10, 17, 2]",1.0,0.98,0.94
combo_32,"[10, 7, 14]",1.0,0.98,1.0
combo_33,"[10, 6, 16]",1.0,1.0,1.0
combo_34,"[10, 7, 13]",1.0,1.0,1.0
combo_35,"[10, 8, 2]",1.0,1.0,1.0
combo_36,"[10, 1, 12]",1.0,1.0,1.0
combo_37,"[10, 5, 16]",1.0,1.0,1.0
combo_38,"[10, 7, 15]",1.0,1.0,1.0
combo_39,"[10, 9, 15]",1.0,1.0,1.0
combo_40,"[10, 3, 15]",1.0,1.0,1.0
combo_41,"[10, 7, 2]",1.0,1.0,1.0
combo_42,"[10, 8, 13]",1.0,0.98,0.92
combo_43,"[10, 5, 13]",1.0,1.0,1.0
combo_44,"[10, 17, 15]",1.0,0.98,0.8
combo_45,"[10, 8, 14]",1.0,0.98,0.96
combo_46,"[10, 7, 11]",1.0,1.0,0.98
combo_47,"[10, 5, 11]",1.0,1.0,1.0
combo_48,"[10, 4, 16]",1.0,1.0,1.0
combo_49,"[10, 4, 15]",1.0,1.0,1.0
combo_50,"[10, 5, 2]",1.0,1.0,1.0
combo_51,"[10, 7, 16]",1.0,1.0,0.96
combo_52,"[10, 8, 11]",1.0,0.96,0.92
combo_53,"[10, 6, 11]",1.0,1.0,0.98
combo_54,"[10, 9, 13]",1.0,1.0,0.98
combo_55,"[10, 8, 16]",1.0,0.98,0.92
combo_56,"[10, 9, 18]",1.0,1.0,1.0
combo_57,"[10, 4, 12]",1.0,1.0,1.0
combo_58,"[10, 6, 12]",1.0,1.0,1.0
combo_59,"[10, 3, 2]",1.0,1.0,1.0
combo_60,"[10, 4, 2]",1.0,1.0,1.0
combo_61,"[10, 9, 16]",1.0,1.0,1.0
combo_62,"[10, 1, 14]",1.0,1.0,1.0
combo_63,"[10, 17, 18]",1.0,1.0,0.86
combo_64,"[10, 6, 13]",1.0,0.98,1.0
combo_65,"[10, 6, 2]",1.0,1.0,1.0
combo_66,"[10, 6, 18]",1.0,1.0,1.0
combo_67,"[10, 9, 11]",1.0,1.0,1.0
combo_68,"[10, 9, 12]",1.0,1.0,1.0
combo_69,"[10, 4, 18]",1.0,1.0,1.0
combo_70,"[10, 17, 12]",1.0,0.98,0.84
combo_71,"[10, 5, 14]",1.0,1.0,1.0
