Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[3, 1]",1.0,1.0,1.0
combo_1,"[3, 6]",1.0,1.0,1.0
combo_2,"[3, 9]",1.0,1.0,1.0
combo_3,"[3, 17]",1.0,1.0,1.0
combo_4,"[3, 10]",1.0,1.0,1.0
combo_5,"[3, 13]",1.0,1.0,1.0
combo_6,"[3, 4]",1.0,1.0,1.0
combo_7,"[3, 18]",1.0,1.0,1.0
combo_8,"[3, 5]",1.0,1.0,1.0
combo_9,"[3, 15]",1.0,1.0,1.0
combo_10,"[3, 2]",1.0,1.0,1.0
combo_11,"[3, 16]",1.0,1.0,1.0
combo_12,"[3, 8]",1.0,1.0,1.0
combo_13,"[3, 12]",1.0,1.0,1.0
combo_14,"[3, 11]",1.0,1.0,1.0
combo_15,"[3, 7]",1.0,1.0,1.0
combo_16,"[3, 14]",1.0,1.0,1.0
combo_17,"[3, 19]",1.0,1.0,1.0
