Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[12, 2, 15, 11]",1.0,0.96,0.96
combo_1,"[12, 3, 9, 14]",1.0,1.0,1.0
combo_2,"[12, 10, 15, 14]",1.0,1.0,1.0
combo_3,"[12, 5, 18, 17]",1.0,0.88,0.82
combo_4,"[12, 7, 18, 21]",1.0,0.92,0.86
combo_5,"[12, 4, 13, 11]",1.0,1.0,1.0
combo_6,"[12, 4, 15, 17]",1.0,0.94,0.92
combo_7,"[12, 3, 15, 20]",1.0,0.94,0.9
combo_8,"[12, 8, 9, 14]",1.0,1.0,1.0
combo_9,"[12, 6, 18, 19]",0.98,0.9,0.82
combo_10,"[12, 4, 13, 20]",1.0,1.0,0.96
combo_11,"[12, 5, 9, 14]",1.0,0.96,1.0
combo_12,"[12, 3, 16, 19]",1.0,0.96,0.9
combo_13,"[12, 10, 16, 19]",1.0,1.0,1.0
combo_14,"[12, 7, 18, 20]",1.0,0.96,0.9
combo_15,"[12, 10, 13, 20]",1.0,1.0,1.0
combo_16,"[12, 5, 15, 11]",1.0,0.94,0.9
combo_17,"[12, 1, 16, 11]",1.0,0.94,0.88
combo_18,"[12, 3, 13, 14]",1.0,1.0,1.0
combo_19,"[12, 4, 13, 14]",1.0,1.0,1.0
combo_20,"[12, 10, 13, 21]",1.0,1.0,0.96
combo_21,"[12, 10, 13, 19]",1.0,1.0,1.0
combo_22,"[12, 2, 9, 17]",1.0,0.96,0.92
combo_23,"[12, 10, 13, 17]",1.0,1.0,1.0
combo_24,"[12, 6, 16, 14]",1.0,0.98,1.0
combo_25,"[12, 8, 16, 20]",1.0,0.94,0.92
combo_26,"[12, 6, 13, 20]",1.0,0.98,0.92
combo_27,"[12, 6, 16, 21]",1.0,0.94,0.84
combo_28,"[12, 4, 18, 21]",1.0,0.84,0.78
combo_29,"[12, 10, 15, 17]",1.0,1.0,1.0
combo_30,"[12, 7, 13, 19]",1.0,1.0,1.0
combo_31,"[12, 7, 16, 21]",1.0,0.96,0.94
combo_32,"[12, 5, 15, 20]",1.0,0.9,0.82
combo_33,"[12, 1, 16, 14]",1.0,0.98,0.96
combo_34,"[12, 7, 16, 11]",1.0,1.0,0.98
combo_35,"[12, 6, 16, 20]",1.0,0.92,0.9
combo_36,"[12, 4, 18, 17]",1.0,0.84,0.86
combo_37,"[12, 2, 13, 14]",1.0,1.0,1.0
combo_38,"[12, 8, 13, 21]",1.0,0.96,0.96
combo_39,"[12, 1, 13, 11]",1.0,1.0,0.94
combo_40,"[12, 4, 16, 19]",1.0,0.98,0.92
combo_41,"[12, 8, 18, 14]",1.0,1.0,1.0
combo_42,"[12, 6, 13, 11]",1.0,1.0,1.0
combo_43,"[12, 3, 15, 11]",1.0,1.0,1.0
combo_44,"[12, 1, 18, 21]",1.0,0.84,0.76
combo_45,"[12, 3, 15, 17]",1.0,0.94,0.9
combo_46,"[12, 1, 13, 19]",1.0,0.98,0.96
combo_47,"[12, 1, 15, 20]",1.0,0.92,0.8
combo_48,"[12, 1, 15, 17]",1.0,0.94,0.82
combo_49,"[12, 7, 9, 17]",1.0,0.96,0.94
combo_50,"[12, 3, 13, 17]",1.0,0.98,0.94
combo_51,"[12, 7, 15, 20]",1.0,0.96,0.94
combo_52,"[12, 10, 15, 11]",1.0,1.0,1.0
combo_53,"[12, 7, 15, 21]",1.0,0.94,0.94
combo_54,"[12, 6, 13, 19]",1.0,0.96,0.94
combo_55,"[12, 1, 13, 14]",1.0,1.0,0.98
combo_56,"[12, 2, 18, 20]",1.0,0.88,0.82
combo_57,"[12, 3, 18, 14]",1.0,0.96,0.94
combo_58,"[12, 4, 9, 19]",1.0,0.98,0.86
combo_59,"[12, 6, 15, 21]",1.0,0.92,0.86
combo_60,"[12, 10, 15, 20]",1.0,1.0,1.0
combo_61,"[12, 2, 15, 17]",1.0,0.96,0.92
combo_62,"[12, 5, 9, 11]",1.0,0.98,0.9
combo_63,"[12, 10, 15, 19]",1.0,1.0,1.0
