Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[6, 8, 5]",1.0,1.0,1.0
combo_1,"[6, 1, 7]",1.0,1.0,1.0
combo_2,"[6, 8, 10]",0.98,0.98,0.98
combo_3,"[6, 1, 9]",1.0,1.0,1.0
combo_4,"[6, 1, 11]",1.0,1.0,1.0
combo_5,"[6, 3, 11]",1.0,1.0,1.0
combo_6,"[6, 4, 11]",1.0,1.0,1.0
combo_7,"[6, 2, 5]",1.0,1.0,1.0
combo_8,"[6, 2, 9]",1.0,1.0,1.0
combo_9,"[6, 8, 11]",1.0,1.0,1.0
combo_10,"[6, 2, 11]",1.0,1.0,1.0
combo_11,"[6, 3, 5]",1.0,1.0,1.0
combo_12,"[6, 3, 7]",1.0,1.0,1.0
combo_13,"[6, 3, 10]",1.0,1.0,1.0
combo_14,"[6, 4, 7]",1.0,1.0,1.0
combo_15,"[6, 1, 5]",1.0,1.0,1.0
combo_16,"[6, 4, 10]",1.0,1.0,1.0
combo_17,"[6, 1, 10]",1.0,1.0,1.0
combo_18,"[6, 4, 9]",1.0,1.0,1.0
combo_19,"[6, 2, 7]",1.0,1.0,1.0
combo_20,"[6, 8, 9]",0.92,0.96,0.96
combo_21,"[6, 8, 7]",1.0,0.96,1.0
combo_22,"[6, 3, 9]",0.98,0.98,1.0
combo_23,"[6, 4, 5]",1.0,1.0,1.0
combo_24,"[6, 2, 10]",1.0,1.0,1.0
