Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[12, 11, 27]",1.0,1.0,1.0
combo_1,"[12, 8, 17]",0.86,0.88,0.86
combo_2,"[12, 9, 1]",0.84,0.82,0.8
combo_3,"[12, 7, 1]",0.76,0.7,0.7
combo_4,"[12, 6, 20]",0.84,0.84,0.8
combo_5,"[12, 8, 2]",0.8,0.72,0.7
combo_6,"[12, 9, 20]",0.96,0.98,0.94
combo_7,"[12, 9, 25]",0.96,0.96,0.88
combo_8,"[12, 8, 21]",0.96,0.96,0.94
combo_9,"[12, 11, 16]",1.0,1.0,1.0
combo_10,"[12, 9, 21]",1.0,1.0,0.98
combo_11,"[12, 10, 21]",1.0,1.0,1.0
combo_12,"[12, 8, 13]",1.0,1.0,1.0
combo_13,"[12, 6, 24]",0.82,0.78,0.82
combo_14,"[12, 4, 18]",0.68,0.7,0.62
combo_15,"[12, 10, 19]",0.96,0.96,1.0
combo_16,"[12, 10, 29]",0.94,0.92,0.9
combo_17,"[12, 9, 26]",0.94,0.98,0.96
combo_18,"[12, 5, 2]",0.8,0.6,0.62
combo_19,"[12, 3, 17]",0.72,0.64,0.64
combo_20,"[12, 8, 14]",0.98,1.0,1.0
combo_21,"[12, 4, 25]",0.78,0.74,0.68
combo_22,"[12, 9, 13]",1.0,1.0,1.0
combo_23,"[12, 5, 14]",0.84,0.86,0.82
combo_24,"[12, 3, 22]",0.78,0.74,0.76
combo_25,"[12, 4, 27]",0.8,0.76,0.74
combo_26,"[12, 9, 16]",0.92,0.96,0.96
combo_27,"[12, 5, 13]",0.92,0.88,0.9
combo_28,"[12, 4, 20]",0.8,0.74,0.72
combo_29,"[12, 5, 22]",0.86,0.84,0.88
combo_30,"[12, 6, 28]",0.78,0.82,0.78
combo_31,"[12, 9, 18]",0.9,0.9,0.82
combo_32,"[12, 6, 29]",0.74,0.74,0.7
combo_33,"[12, 6, 2]",0.8,0.64,0.64
combo_34,"[12, 4, 19]",0.7,0.74,0.64
combo_35,"[12, 4, 24]",0.78,0.74,0.7
combo_36,"[12, 7, 2]",0.8,0.7,0.64
combo_37,"[12, 5, 16]",0.78,0.76,0.72
combo_38,"[12, 5, 21]",0.8,0.82,0.78
combo_39,"[12, 8, 20]",0.96,0.92,0.86
combo_40,"[12, 10, 22]",1.0,1.0,1.0
combo_41,"[12, 6, 18]",0.78,0.74,0.76
combo_42,"[12, 3, 27]",0.84,0.72,0.7
combo_43,"[12, 6, 22]",0.92,0.92,0.88
combo_44,"[12, 4, 23]",0.8,0.8,0.82
combo_45,"[12, 11, 31]",1.0,1.0,1.0
combo_46,"[12, 8, 26]",0.94,0.92,0.92
combo_47,"[12, 3, 24]",0.8,0.72,0.7
