Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[11, 8, 23, 19]",0.94,0.86,0.82
combo_1,"[11, 9, 17, 10]",1.0,0.9,0.88
combo_2,"[11, 8, 21, 7]",1.0,0.98,0.96
combo_3,"[11, 9, 24, 10]",0.92,0.84,0.82
combo_4,"[11, 5, 23, 14]",0.88,0.76,0.76
combo_5,"[11, 4, 22, 19]",0.9,0.8,0.82
combo_6,"[11, 5, 24, 14]",0.82,0.72,0.76
combo_7,"[11, 6, 16, 13]",1.0,0.98,0.98
combo_8,"[11, 8, 17, 12]",1.0,1.0,1.0
combo_9,"[11, 9, 17, 7]",0.94,0.84,0.84
combo_10,"[11, 9, 15, 14]",1.0,1.0,1.0
combo_11,"[11, 1, 23, 19]",0.86,0.74,0.7
combo_12,"[11, 6, 24, 13]",0.92,0.88,0.82
combo_13,"[11, 6, 22, 14]",0.96,0.88,0.9
combo_14,"[11, 3, 23, 14]",0.86,0.8,0.78
combo_15,"[11, 4, 24, 7]",0.82,0.7,0.68
combo_16,"[11, 3, 25, 19]",0.84,0.74,0.76
combo_17,"[11, 5, 16, 7]",0.98,0.82,0.78
combo_18,"[11, 5, 17, 14]",0.9,0.8,0.8
combo_19,"[11, 3, 18, 10]",0.9,0.84,0.8
combo_20,"[11, 9, 23, 10]",0.96,0.86,0.84
combo_21,"[11, 9, 23, 12]",0.96,0.96,0.94
combo_22,"[11, 9, 20, 14]",0.92,0.84,0.82
combo_23,"[11, 5, 16, 10]",0.98,0.88,0.9
combo_24,"[11, 9, 21, 13]",1.0,1.0,1.0
combo_25,"[11, 6, 17, 10]",0.92,0.92,0.9
combo_26,"[11, 6, 16, 7]",1.0,0.88,0.9
combo_27,"[11, 3, 20, 7]",0.84,0.74,0.76
combo_28,"[11, 6, 26, 14]",0.9,0.88,0.88
combo_29,"[11, 8, 25, 13]",0.96,0.92,0.94
combo_30,"[11, 3, 21, 10]",1.0,0.96,0.86
combo_31,"[11, 3, 17, 13]",0.92,0.88,0.9
combo_32,"[11, 3, 24, 7]",0.82,0.78,0.74
combo_33,"[11, 4, 16, 10]",0.96,0.9,0.96
combo_34,"[11, 5, 24, 7]",0.88,0.7,0.7
combo_35,"[11, 9, 21, 7]",1.0,0.9,0.92
combo_36,"[11, 9, 26, 10]",1.0,0.92,0.9
combo_37,"[11, 9, 16, 12]",1.0,1.0,1.0
combo_38,"[11, 2, 22, 19]",0.88,0.82,0.76
combo_39,"[11, 4, 20, 19]",0.88,0.74,0.74
combo_40,"[11, 6, 25, 10]",0.9,0.84,0.86
combo_41,"[11, 4, 23, 10]",0.92,0.88,0.78
combo_42,"[11, 9, 18, 10]",1.0,0.86,0.88
combo_43,"[11, 3, 18, 14]",0.96,0.82,0.8
combo_44,"[11, 4, 15, 19]",0.94,0.9,0.92
combo_45,"[11, 1, 26, 19]",0.82,0.76,0.74
combo_46,"[11, 1, 21, 14]",0.86,0.86,0.8
combo_47,"[11, 4, 22, 14]",0.86,0.84,0.88
combo_48,"[11, 6, 17, 13]",0.96,0.94,0.98
combo_49,"[11, 1, 20, 7]",0.86,0.74,0.72
combo_50,"[11, 2, 22, 10]",0.86,0.9,0.84
combo_51,"[11, 1, 24, 7]",0.82,0.76,0.64
combo_52,"[11, 8, 20, 19]",0.98,0.88,0.76
combo_53,"[11, 3, 15, 7]",0.94,0.9,0.92
combo_54,"[11, 8, 26, 14]",0.96,0.96,0.94
combo_55,"[11, 9, 23, 14]",0.9,0.84,0.88
combo_56,"[11, 9, 23, 7]",0.92,0.82,0.84
combo_57,"[11, 5, 26, 13]",0.94,0.9,0.86
combo_58,"[11, 1, 24, 19]",0.78,0.72,0.66
combo_59,"[11, 1, 18, 12]",0.92,0.84,0.88
combo_60,"[11, 9, 15, 12]",1.0,1.0,1.0
combo_61,"[11, 3, 24, 12]",0.88,0.86,0.9
combo_62,"[11, 6, 24, 19]",0.9,0.76,0.84
combo_63,"[11, 2, 15, 19]",0.9,0.88,0.82
combo_64,"[11, 9, 18, 13]",1.0,0.88,0.92
combo_65,"[11, 9, 22, 19]",0.92,0.86,0.86
combo_66,"[11, 1, 20, 13]",0.84,0.78,0.82
combo_67,"[11, 2, 24, 14]",0.8,0.8,0.72
combo_68,"[11, 8, 15, 14]",1.0,1.0,1.0
combo_69,"[11, 5, 18, 10]",0.94,0.72,0.74
combo_70,"[11, 3, 20, 14]",0.86,0.8,0.76
combo_71,"[11, 4, 21, 10]",0.96,0.88,0.86
combo_72,"[11, 3, 26, 13]",0.9,0.88,0.92
combo_73,"[11, 4, 24, 19]",0.82,0.78,0.72
combo_74,"[11, 8, 24, 7]",0.92,0.86,0.78
combo_75,"[11, 1, 24, 10]",0.82,0.78,0.7
combo_76,"[11, 6, 24, 10]",0.9,0.84,0.78
combo_77,"[11, 9, 15, 13]",1.0,1.0,1.0
combo_78,"[11, 6, 16, 12]",1.0,1.0,1.0
combo_79,"[11, 5, 20, 10]",0.88,0.74,0.7
