Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[11, 6, 21, 25, 24]",1.0,0.82,0.88
combo_1,"[11, 15, 9, 18, 24]",1.0,0.9,0.74
combo_2,"[11, 6, 9, 17, 20]",0.98,0.76,0.56
combo_3,"[11, 12, 8, 22, 20]",0.96,0.76,0.62
combo_4,"[11, 6, 5, 27, 24]",1.0,0.84,0.74
combo_5,"[11, 6, 26, 23, 16]",0.98,0.64,0.6
combo_6,"[11, 1, 8, 22, 10]",0.94,0.76,0.66
combo_7,"[11, 6, 5, 25, 3]",1.0,0.78,0.68
combo_8,"[11, 14, 19, 25, 16]",0.9,0.74,0.54
combo_9,"[11, 12, 21, 22, 16]",0.92,0.74,0.64
combo_10,"[11, 15, 13, 18, 28]",1.0,0.94,0.76
combo_11,"[11, 15, 13, 27, 28]",1.0,0.8,0.64
combo_12,"[11, 12, 26, 22, 20]",0.96,0.76,0.72
combo_13,"[11, 15, 19, 18, 10]",0.94,0.76,0.72
combo_14,"[11, 12, 26, 18, 28]",0.98,0.86,0.66
combo_15,"[11, 7, 21, 4, 28]",0.96,0.78,0.82
combo_16,"[11, 12, 26, 2, 28]",0.92,0.72,0.62
combo_17,"[11, 14, 9, 22, 16]",0.94,0.72,0.68
combo_18,"[11, 12, 13, 2, 24]",0.98,0.86,0.66
combo_19,"[11, 14, 9, 2, 28]",0.96,0.74,0.6
combo_20,"[11, 12, 8, 25, 10]",0.96,0.76,0.62
combo_21,"[11, 1, 26, 18, 24]",1.0,0.94,0.72
combo_22,"[11, 12, 19, 17, 10]",0.94,0.7,0.66
combo_23,"[11, 14, 8, 17, 10]",0.96,0.74,0.64
combo_24,"[11, 12, 9, 17, 24]",0.98,0.84,0.72
combo_25,"[11, 12, 13, 17, 16]",0.96,0.82,0.64
combo_26,"[11, 14, 21, 18, 24]",1.0,0.9,0.66
combo_27,"[11, 14, 21, 2, 20]",1.0,0.78,0.66
combo_28,"[11, 14, 26, 25, 20]",1.0,0.8,0.68
combo_29,"[11, 1, 8, 23, 3]",0.92,0.68,0.54
combo_30,"[11, 6, 13, 4, 16]",0.94,0.76,0.68
combo_31,"[11, 12, 5, 2, 20]",1.0,0.76,0.68
combo_32,"[11, 14, 26, 27, 20]",0.98,0.82,0.68
combo_33,"[11, 1, 19, 23, 3]",0.92,0.72,0.56
combo_34,"[11, 14, 5, 23, 28]",0.98,0.8,0.58
combo_35,"[11, 6, 8, 22, 28]",0.94,0.76,0.62
combo_36,"[11, 12, 13, 27, 10]",0.98,0.74,0.62
combo_37,"[11, 15, 5, 27, 28]",0.98,0.72,0.0
combo_38,"[11, 6, 19, 22, 24]",0.92,0.76,0.0
combo_39,"[11, 15, 9, 4, 24]",0.98,0.76,0.66
combo_40,"[11, 7, 21, 23, 10]",0.94,0.82,0.72
combo_41,"[11, 15, 13, 22, 20]",1.0,0.86,0.84
combo_42,"[11, 1, 8, 23, 10]",0.96,0.7,0.54
combo_43,"[11, 7, 13, 22, 28]",1.0,0.96,0.94
combo_44,"[11, 15, 13, 22, 10]",0.96,0.84,0.78
combo_45,"[11, 14, 19, 23, 24]",0.96,0.78,0.5
combo_46,"[11, 6, 26, 18, 24]",1.0,0.9,0.9
combo_47,"[11, 14, 19, 18, 24]",0.96,0.86,0.7
combo_48,"[11, 15, 8, 4, 24]",0.98,0.76,0.66
combo_49,"[11, 1, 19, 27, 3]",0.92,0.74,0.64
combo_50,"[11, 14, 19, 17, 16]",0.9,0.72,0.68
combo_51,"[11, 6, 21, 27, 20]",1.0,0.8,0.78
combo_52,"[11, 6, 21, 27, 24]",0.98,0.84,0.76
combo_53,"[11, 14, 9, 22, 28]",0.94,0.76,0.6
combo_54,"[11, 6, 19, 17, 16]",0.92,0.68,0.0
combo_55,"[11, 15, 13, 18, 24]",1.0,0.98,0.88
combo_56,"[11, 1, 21, 17, 20]",1.0,0.86,0.8
combo_57,"[11, 7, 5, 23, 10]",0.94,0.76,0.76
combo_58,"[11, 15, 13, 27, 24]",1.0,0.98,0.82
combo_59,"[11, 15, 5, 23, 28]",1.0,0.68,0.0
combo_60,"[11, 6, 21, 27, 3]",0.94,0.7,0.68
combo_61,"[11, 1, 8, 4, 16]",0.94,0.72,0.58
combo_62,"[11, 1, 8, 17, 24]",0.98,0.9,0.74
combo_63,"[11, 7, 26, 17, 16]",0.94,0.8,0.8
combo_64,"[11, 6, 26, 2, 16]",0.92,0.68,0.64
combo_65,"[11, 1, 21, 22, 3]",0.92,0.72,0.68
combo_66,"[11, 1, 8, 18, 3]",0.98,0.76,0.64
combo_67,"[11, 6, 9, 22, 20]",1.0,0.76,0.58
combo_68,"[11, 1, 21, 17, 3]",0.98,0.78,0.7
combo_69,"[11, 7, 26, 17, 28]",1.0,0.9,0.9
combo_70,"[11, 1, 19, 27, 20]",0.96,0.78,0.7
combo_71,"[11, 15, 26, 18, 3]",0.96,0.74,0.8
combo_72,"[11, 1, 19, 18, 24]",1.0,0.88,0.72
combo_73,"[11, 15, 8, 18, 10]",0.96,0.8,0.68
combo_74,"[11, 7, 26, 4, 10]",0.98,0.78,0.72
combo_75,"[11, 7, 8, 22, 24]",1.0,0.88,0.86
combo_76,"[11, 7, 26, 25, 28]",1.0,0.9,0.88
combo_77,"[11, 7, 26, 27, 24]",1.0,0.94,0.9
combo_78,"[11, 6, 21, 17, 28]",1.0,0.8,0.74
combo_79,"[11, 6, 8, 18, 10]",0.96,0.8,0.72
combo_80,"[11, 14, 21, 27, 10]",0.98,0.7,0.6
combo_81,"[11, 14, 21, 27, 16]",0.94,0.74,0.6
combo_82,"[11, 15, 13, 17, 20]",1.0,0.92,0.9
combo_83,"[11, 7, 19, 22, 20]",0.94,0.86,0.68
combo_84,"[11, 1, 13, 22, 28]",1.0,0.9,0.68
combo_85,"[11, 14, 21, 25, 16]",0.96,0.76,0.64
combo_86,"[11, 7, 13, 2, 3]",0.96,0.88,0.82
combo_87,"[11, 1, 8, 25, 20]",1.0,0.78,0.72
combo_88,"[11, 1, 5, 18, 24]",1.0,1.0,0.76
combo_89,"[11, 7, 26, 27, 20]",0.96,0.88,0.88
combo_90,"[11, 6, 26, 4, 3]",0.92,0.68,0.64
combo_91,"[11, 12, 21, 18, 24]",1.0,0.9,0.7
combo_92,"[11, 12, 5, 4, 16]",0.92,0.76,0.64
combo_93,"[11, 12, 19, 17, 16]",0.88,0.74,0.64
combo_94,"[11, 6, 19, 27, 3]",0.9,0.7,0.56
combo_95,"[11, 7, 8, 27, 24]",1.0,0.88,0.88
combo_96,"[11, 6, 26, 4, 16]",0.92,0.66,0.64
combo_97,"[11, 6, 5, 2, 20]",0.98,0.76,0.72
combo_98,"[11, 14, 19, 4, 10]",0.88,0.68,0.56
combo_99,"[11, 1, 26, 27, 10]",0.96,0.74,0.64
