Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[4, 9, 16]",0.96,0.92,0.92
combo_1,"[4, 32, 43]",0.98,0.96,0.88
combo_2,"[4, 32, 17]",1.0,0.96,0.96
combo_3,"[4, 10, 15]",1.0,0.96,0.94
combo_4,"[4, 5, 19]",0.9,0.88,0.8
combo_5,"[4, 10, 17]",0.96,0.92,0.86
combo_6,"[4, 2, 12]",1.0,1.0,0.98
combo_7,"[4, 30, 41]",0.86,0.76,0.72
combo_8,"[4, 26, 15]",1.0,1.0,0.96
combo_9,"[4, 39, 14]",0.9,0.86,0.8
combo_10,"[4, 31, 42]",0.94,0.92,0.88
combo_11,"[4, 35, 21]",0.94,0.88,0.84
combo_12,"[4, 10, 19]",0.94,0.92,0.76
combo_13,"[4, 5, 25]",0.92,0.9,0.82
combo_14,"[4, 8, 43]",0.94,0.94,0.9
combo_15,"[4, 38, 20]",0.8,0.82,0.72
combo_16,"[4, 30, 37]",0.88,0.86,0.9
combo_17,"[4, 32, 19]",1.0,0.92,0.82
combo_18,"[4, 29, 11]",0.96,0.9,0.86
combo_19,"[4, 28, 19]",0.98,0.96,0.88
combo_20,"[4, 29, 25]",0.96,0.9,0.84
combo_21,"[4, 30, 22]",0.86,0.86,0.74
combo_22,"[4, 31, 24]",0.88,0.84,0.76
combo_23,"[4, 8, 45]",0.98,0.92,0.9
combo_24,"[4, 8, 20]",0.9,0.88,0.78
combo_25,"[4, 6, 37]",1.0,1.0,0.98
combo_26,"[4, 26, 17]",1.0,0.96,0.9
combo_27,"[4, 5, 16]",0.94,0.92,0.9
combo_28,"[4, 39, 42]",0.88,0.8,0.76
combo_29,"[4, 6, 17]",0.98,0.98,0.98
combo_30,"[4, 40, 37]",0.98,0.94,0.9
combo_31,"[4, 26, 12]",0.98,0.9,0.92
combo_32,"[4, 26, 25]",0.96,0.92,0.88
combo_33,"[4, 1, 43]",1.0,1.0,1.0
combo_34,"[4, 29, 18]",0.96,0.9,0.88
combo_35,"[4, 27, 18]",1.0,0.98,0.92
combo_36,"[4, 39, 3]",0.96,0.94,0.88
combo_37,"[4, 30, 15]",0.9,0.88,0.86
combo_38,"[4, 39, 22]",0.88,0.84,0.74
combo_39,"[4, 1, 21]",1.0,1.0,0.94
combo_40,"[4, 31, 41]",0.96,0.9,0.84
combo_41,"[4, 26, 18]",0.98,0.92,0.9
combo_42,"[4, 31, 45]",0.96,0.92,0.92
combo_43,"[4, 31, 37]",0.98,1.0,0.98
combo_44,"[4, 6, 22]",0.98,0.94,0.88
combo_45,"[4, 5, 20]",0.88,0.82,0.76
combo_46,"[4, 33, 11]",0.98,0.92,0.84
combo_47,"[4, 27, 14]",1.0,1.0,1.0
combo_48,"[4, 13, 23]",1.0,0.96,0.9
combo_49,"[4, 33, 43]",0.98,0.92,0.84
combo_50,"[4, 39, 20]",0.84,0.76,0.68
combo_51,"[4, 34, 16]",0.96,0.94,0.92
combo_52,"[4, 2, 3]",1.0,1.0,1.0
combo_53,"[4, 27, 16]",1.0,0.96,1.0
combo_54,"[4, 6, 21]",0.96,0.9,0.84
combo_55,"[4, 35, 24]",0.92,0.84,0.76
combo_56,"[4, 31, 12]",0.98,0.9,0.94
combo_57,"[4, 5, 24]",0.82,0.78,0.76
combo_58,"[4, 27, 21]",0.98,0.92,0.86
combo_59,"[4, 29, 19]",0.9,0.88,0.78
combo_60,"[4, 39, 44]",0.88,0.86,0.78
combo_61,"[4, 2, 45]",1.0,1.0,0.98
combo_62,"[4, 28, 23]",0.94,0.9,0.86
combo_63,"[4, 33, 14]",1.0,0.94,0.88
combo_64,"[4, 8, 21]",0.94,0.88,0.82
combo_65,"[4, 30, 44]",0.86,0.82,0.8
combo_66,"[4, 32, 20]",1.0,0.88,0.8
combo_67,"[4, 34, 22]",1.0,0.92,0.86
combo_68,"[4, 34, 24]",0.92,0.84,0.7
combo_69,"[4, 26, 21]",0.96,0.88,0.78
combo_70,"[4, 35, 15]",1.0,0.98,1.0
combo_71,"[4, 33, 24]",0.96,0.86,0.74
combo_72,"[4, 1, 3]",1.0,1.0,1.0
combo_73,"[4, 10, 12]",0.94,0.88,0.86
combo_74,"[4, 2, 36]",1.0,1.0,1.0
combo_75,"[4, 1, 19]",1.0,1.0,0.96
combo_76,"[4, 35, 45]",0.96,0.96,0.9
combo_77,"[4, 30, 16]",0.84,0.82,0.8
combo_78,"[4, 27, 12]",1.0,0.98,0.94
combo_79,"[4, 35, 43]",0.96,0.9,0.9
combo_80,"[4, 40, 42]",0.92,0.84,0.82
combo_81,"[4, 32, 24]",0.98,0.84,0.74
combo_82,"[4, 1, 37]",1.0,1.0,1.0
combo_83,"[4, 38, 16]",0.9,0.88,0.86
combo_84,"[4, 33, 45]",0.98,0.92,0.82
combo_85,"[4, 30, 17]",0.86,0.86,0.82
combo_86,"[4, 35, 22]",1.0,0.96,0.9
combo_87,"[4, 34, 25]",1.0,0.9,0.8
combo_88,"[4, 28, 25]",0.98,1.0,0.88
combo_89,"[4, 7, 43]",0.98,0.94,0.96
combo_90,"[4, 8, 11]",0.98,0.94,0.88
combo_91,"[4, 9, 3]",1.0,1.0,1.0
combo_92,"[4, 39, 45]",0.86,0.86,0.74
combo_93,"[4, 6, 23]",0.96,0.86,0.82
combo_94,"[4, 38, 24]",0.82,0.78,0.66
combo_95,"[4, 33, 15]",1.0,1.0,0.98
combo_96,"[4, 13, 37]",1.0,1.0,1.0
combo_97,"[4, 28, 43]",0.96,0.96,0.94
combo_98,"[4, 8, 12]",0.98,0.92,0.94
combo_99,"[4, 7, 44]",1.0,1.0,1.0
