Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[25, 14, 11]",1.0,1.0,1.0
combo_1,"[25, 18, 7]",1.0,1.0,1.0
combo_2,"[25, 29, 23]",1.0,1.0,0.96
combo_3,"[25, 16, 3]",1.0,1.0,1.0
combo_4,"[25, 16, 6]",1.0,1.0,1.0
combo_5,"[25, 29, 22]",1.0,1.0,1.0
combo_6,"[25, 12, 7]",1.0,1.0,1.0
combo_7,"[25, 12, 1]",1.0,1.0,1.0
combo_8,"[25, 29, 5]",1.0,0.94,0.9
combo_9,"[25, 26, 2]",1.0,1.0,1.0
combo_10,"[25, 12, 22]",1.0,1.0,1.0
combo_11,"[25, 27, 22]",1.0,1.0,1.0
combo_12,"[25, 10, 5]",1.0,1.0,0.98
combo_13,"[25, 29, 6]",1.0,0.98,1.0
combo_14,"[25, 26, 5]",1.0,1.0,1.0
combo_15,"[25, 28, 1]",1.0,1.0,0.98
combo_16,"[25, 29, 1]",1.0,0.96,0.94
combo_17,"[25, 10, 21]",1.0,1.0,0.98
combo_18,"[25, 28, 23]",1.0,1.0,1.0
combo_19,"[25, 13, 2]",1.0,1.0,1.0
combo_20,"[25, 16, 23]",1.0,1.0,1.0
combo_21,"[25, 26, 21]",1.0,1.0,1.0
combo_22,"[25, 28, 2]",1.0,1.0,1.0
combo_23,"[25, 16, 21]",1.0,1.0,0.94
combo_24,"[25, 18, 21]",1.0,1.0,1.0
combo_25,"[25, 13, 6]",1.0,1.0,1.0
combo_26,"[25, 26, 24]",1.0,1.0,1.0
combo_27,"[25, 19, 3]",1.0,1.0,1.0
combo_28,"[25, 27, 4]",1.0,1.0,1.0
combo_29,"[25, 14, 2]",1.0,1.0,1.0
combo_30,"[25, 15, 8]",1.0,1.0,1.0
combo_31,"[25, 9, 6]",1.0,0.98,0.98
combo_32,"[25, 16, 1]",1.0,1.0,0.98
combo_33,"[25, 29, 7]",1.0,0.98,1.0
combo_34,"[25, 13, 21]",1.0,1.0,0.98
combo_35,"[25, 19, 2]",1.0,1.0,1.0
combo_36,"[25, 27, 7]",1.0,1.0,1.0
combo_37,"[25, 19, 22]",1.0,1.0,1.0
combo_38,"[25, 9, 1]",1.0,1.0,1.0
combo_39,"[25, 19, 11]",1.0,1.0,1.0
combo_40,"[25, 28, 21]",1.0,0.96,0.96
combo_41,"[25, 26, 7]",1.0,1.0,1.0
combo_42,"[25, 29, 3]",1.0,0.98,0.96
combo_43,"[25, 27, 23]",1.0,1.0,1.0
combo_44,"[25, 27, 5]",0.98,0.98,0.96
combo_45,"[25, 18, 20]",1.0,1.0,1.0
combo_46,"[25, 10, 8]",1.0,1.0,1.0
combo_47,"[25, 26, 4]",1.0,1.0,1.0
combo_48,"[25, 12, 23]",1.0,1.0,1.0
combo_49,"[25, 28, 22]",1.0,1.0,1.0
combo_50,"[25, 14, 3]",1.0,1.0,0.98
combo_51,"[25, 14, 6]",1.0,1.0,0.94
combo_52,"[25, 17, 2]",1.0,1.0,1.0
combo_53,"[25, 19, 5]",1.0,1.0,1.0
combo_54,"[25, 27, 1]",1.0,1.0,0.98
combo_55,"[25, 17, 20]",1.0,0.98,0.98
