Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[13, 19, 18]",1.0,0.84,0.84
combo_1,"[13, 6, 20]",1.0,0.98,0.96
combo_2,"[13, 8, 21]",1.0,0.98,1.0
combo_3,"[13, 5, 17]",1.0,0.98,0.96
combo_4,"[13, 6, 15]",0.98,0.94,0.88
combo_5,"[13, 10, 23]",0.98,0.92,0.86
combo_6,"[13, 5, 18]",0.98,0.9,0.84
combo_7,"[13, 2, 17]",1.0,1.0,1.0
combo_8,"[13, 1, 21]",1.0,1.0,1.0
combo_9,"[13, 9, 20]",1.0,1.0,1.0
combo_10,"[13, 11, 15]",1.0,1.0,1.0
combo_11,"[13, 7, 21]",0.96,0.98,0.96
combo_12,"[13, 19, 23]",1.0,0.86,0.82
combo_13,"[13, 2, 16]",1.0,1.0,0.96
combo_14,"[13, 1, 20]",1.0,1.0,1.0
combo_15,"[13, 3, 17]",1.0,1.0,0.94
combo_16,"[13, 19, 21]",1.0,0.94,0.92
combo_17,"[13, 6, 14]",1.0,1.0,1.0
combo_18,"[13, 12, 26]",1.0,0.98,0.9
combo_19,"[13, 2, 18]",1.0,1.0,0.96
combo_20,"[13, 1, 16]",1.0,1.0,1.0
combo_21,"[13, 8, 26]",0.96,0.96,0.94
combo_22,"[13, 1, 26]",0.98,0.98,0.96
combo_23,"[13, 10, 14]",1.0,1.0,1.0
combo_24,"[13, 8, 22]",1.0,0.98,0.94
combo_25,"[13, 6, 23]",0.92,0.88,0.82
combo_26,"[13, 8, 15]",1.0,0.98,0.98
combo_27,"[13, 5, 25]",0.98,0.92,0.94
combo_28,"[13, 9, 14]",1.0,1.0,1.0
combo_29,"[13, 4, 18]",1.0,0.9,0.94
combo_30,"[13, 3, 22]",1.0,0.96,0.88
combo_31,"[13, 1, 25]",1.0,1.0,1.0
combo_32,"[13, 7, 26]",0.96,0.86,0.82
combo_33,"[13, 19, 25]",1.0,0.92,0.96
combo_34,"[13, 9, 24]",1.0,1.0,1.0
combo_35,"[13, 12, 22]",1.0,1.0,1.0
combo_36,"[13, 11, 22]",1.0,1.0,1.0
combo_37,"[13, 2, 22]",1.0,1.0,1.0
combo_38,"[13, 1, 14]",1.0,1.0,1.0
combo_39,"[13, 12, 20]",1.0,1.0,1.0
combo_40,"[13, 10, 20]",1.0,1.0,0.98
combo_41,"[13, 2, 23]",1.0,0.98,0.96
combo_42,"[13, 2, 25]",1.0,1.0,1.0
combo_43,"[13, 10, 25]",1.0,0.9,0.9
combo_44,"[13, 11, 17]",1.0,1.0,1.0
combo_45,"[13, 2, 20]",1.0,1.0,1.0
combo_46,"[13, 7, 20]",1.0,0.98,1.0
combo_47,"[13, 7, 17]",1.0,0.96,0.96
combo_48,"[13, 8, 23]",0.98,0.92,0.86
combo_49,"[13, 7, 18]",1.0,0.88,0.8
combo_50,"[13, 11, 18]",1.0,1.0,1.0
combo_51,"[13, 12, 21]",1.0,1.0,1.0
combo_52,"[13, 19, 15]",1.0,0.98,0.92
combo_53,"[13, 11, 14]",1.0,1.0,1.0
combo_54,"[13, 2, 21]",1.0,1.0,1.0
combo_55,"[13, 12, 25]",1.0,0.98,0.98
combo_56,"[13, 7, 14]",1.0,1.0,1.0
combo_57,"[13, 2, 14]",1.0,1.0,1.0
combo_58,"[13, 10, 16]",1.0,0.88,0.86
combo_59,"[13, 7, 22]",0.98,0.96,0.88
combo_60,"[13, 4, 25]",0.98,1.0,0.96
combo_61,"[13, 4, 15]",1.0,1.0,1.0
combo_62,"[13, 9, 22]",1.0,1.0,0.98
combo_63,"[13, 2, 15]",1.0,1.0,1.0
combo_64,"[13, 6, 26]",0.94,0.88,0.82
combo_65,"[13, 6, 21]",0.94,0.94,0.92
combo_66,"[13, 9, 16]",1.0,1.0,1.0
combo_67,"[13, 2, 26]",1.0,1.0,0.96
combo_68,"[13, 4, 23]",1.0,0.94,0.9
combo_69,"[13, 12, 23]",1.0,1.0,0.98
combo_70,"[13, 1, 18]",1.0,1.0,0.92
combo_71,"[13, 10, 21]",1.0,0.98,0.92
combo_72,"[13, 19, 22]",1.0,0.94,0.88
combo_73,"[13, 4, 21]",1.0,1.0,1.0
combo_74,"[13, 12, 17]",1.0,1.0,1.0
combo_75,"[13, 7, 24]",0.98,0.9,0.88
combo_76,"[13, 7, 15]",1.0,0.98,0.92
combo_77,"[13, 9, 15]",1.0,1.0,1.0
combo_78,"[13, 4, 20]",1.0,1.0,1.0
combo_79,"[13, 6, 18]",1.0,0.88,0.8
combo_80,"[13, 12, 15]",1.0,1.0,1.0
combo_81,"[13, 5, 14]",1.0,1.0,1.0
combo_82,"[13, 5, 20]",1.0,1.0,0.98
combo_83,"[13, 3, 23]",0.94,0.92,0.86
combo_84,"[13, 1, 15]",1.0,1.0,1.0
combo_85,"[13, 7, 16]",1.0,0.92,0.94
combo_86,"[13, 3, 15]",1.0,0.96,0.96
combo_87,"[13, 11, 24]",1.0,1.0,1.0
combo_88,"[13, 3, 24]",1.0,0.96,0.9
combo_89,"[13, 2, 24]",1.0,1.0,0.98
combo_90,"[13, 8, 20]",1.0,1.0,1.0
combo_91,"[13, 19, 26]",1.0,0.9,0.9
combo_92,"[13, 12, 16]",1.0,1.0,0.98
combo_93,"[13, 10, 15]",1.0,0.92,0.76
combo_94,"[13, 10, 18]",1.0,0.92,0.88
combo_95,"[13, 5, 22]",1.0,0.98,0.88
combo_96,"[13, 12, 18]",1.0,0.96,0.94
combo_97,"[13, 12, 14]",1.0,1.0,1.0
combo_98,"[13, 3, 18]",0.94,0.9,0.86
combo_99,"[13, 4, 22]",1.0,0.98,0.98
