Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[16, 5, 20]",1.0,1.0,1.0
combo_1,"[16, 6, 18]",0.82,0.88,0.84
combo_2,"[16, 3, 17]",1.0,1.0,1.0
combo_3,"[16, 9, 15]",1.0,1.0,1.0
combo_4,"[16, 3, 8]",1.0,1.0,1.0
combo_5,"[16, 1, 18]",0.88,0.88,0.88
combo_6,"[16, 9, 18]",0.78,0.8,0.8
combo_7,"[16, 10, 18]",0.76,0.74,0.76
combo_8,"[16, 14, 23]",0.98,0.84,0.86
combo_9,"[16, 1, 21]",0.96,0.98,0.96
combo_10,"[16, 4, 11]",0.84,0.84,0.9
combo_11,"[16, 9, 20]",0.94,0.94,0.96
combo_12,"[16, 9, 12]",0.84,0.76,0.74
combo_13,"[16, 9, 13]",0.96,0.78,0.76
combo_14,"[16, 3, 20]",1.0,1.0,1.0
combo_15,"[16, 14, 19]",0.9,0.78,0.82
combo_16,"[16, 5, 11]",0.88,0.82,0.78
combo_17,"[16, 10, 21]",0.86,0.8,0.8
combo_18,"[16, 4, 19]",1.0,1.0,1.0
combo_19,"[16, 14, 20]",0.9,0.86,0.88
combo_20,"[16, 2, 21]",0.98,1.0,1.0
combo_21,"[16, 10, 17]",0.82,0.8,0.8
combo_22,"[16, 9, 8]",0.88,0.86,0.82
combo_23,"[16, 3, 7]",1.0,0.96,0.98
combo_24,"[16, 3, 12]",0.92,0.9,0.94
combo_25,"[16, 1, 12]",0.8,0.8,0.76
combo_26,"[16, 1, 24]",1.0,1.0,0.96
combo_27,"[16, 1, 17]",1.0,0.98,0.92
combo_28,"[16, 2, 23]",1.0,1.0,1.0
combo_29,"[16, 2, 15]",1.0,1.0,1.0
combo_30,"[16, 6, 7]",0.84,0.88,0.86
combo_31,"[16, 9, 22]",0.92,0.9,0.9
combo_32,"[16, 14, 13]",0.96,0.68,0.64
combo_33,"[16, 5, 19]",1.0,1.0,0.98
combo_34,"[16, 10, 20]",0.9,0.9,0.88
combo_35,"[16, 4, 17]",1.0,0.98,1.0
combo_36,"[16, 1, 23]",1.0,1.0,1.0
combo_37,"[16, 6, 11]",0.86,0.74,0.76
combo_38,"[16, 2, 20]",1.0,1.0,1.0
combo_39,"[16, 1, 13]",0.84,0.9,0.88
combo_40,"[16, 6, 13]",0.92,0.78,0.78
combo_41,"[16, 9, 17]",0.88,0.84,0.82
combo_42,"[16, 2, 13]",0.92,0.92,0.92
combo_43,"[16, 6, 24]",0.96,0.96,0.94
combo_44,"[16, 14, 22]",0.9,0.82,0.8
combo_45,"[16, 2, 7]",0.94,0.98,0.96
combo_46,"[16, 3, 22]",1.0,1.0,1.0
combo_47,"[16, 5, 21]",0.94,0.98,0.96
combo_48,"[16, 10, 24]",0.92,0.82,0.84
combo_49,"[16, 2, 8]",1.0,1.0,0.98
combo_50,"[16, 9, 19]",0.9,0.88,0.9
combo_51,"[16, 3, 24]",1.0,1.0,1.0
combo_52,"[16, 6, 22]",0.96,0.94,0.94
combo_53,"[16, 9, 21]",0.86,0.86,0.86
combo_54,"[16, 10, 19]",0.88,0.84,0.88
combo_55,"[16, 10, 15]",0.94,0.94,0.94
combo_56,"[16, 6, 17]",0.9,0.9,0.94
combo_57,"[16, 6, 19]",0.96,0.96,0.94
combo_58,"[16, 2, 18]",0.96,1.0,0.96
combo_59,"[16, 14, 24]",0.94,0.82,0.8
combo_60,"[16, 1, 20]",1.0,1.0,1.0
combo_61,"[16, 2, 22]",1.0,1.0,1.0
combo_62,"[16, 10, 7]",0.88,0.78,0.74
combo_63,"[16, 4, 7]",1.0,0.92,0.92
combo_64,"[16, 14, 17]",0.8,0.76,0.72
combo_65,"[16, 1, 22]",0.98,1.0,1.0
combo_66,"[16, 14, 21]",0.9,0.78,0.72
combo_67,"[16, 5, 13]",0.92,0.88,0.84
combo_68,"[16, 3, 23]",1.0,1.0,1.0
combo_69,"[16, 4, 13]",0.88,0.88,0.9
combo_70,"[16, 5, 15]",1.0,1.0,1.0
combo_71,"[16, 3, 15]",1.0,1.0,1.0
combo_72,"[16, 4, 21]",1.0,0.98,0.98
combo_73,"[16, 6, 8]",0.9,0.9,0.9
combo_74,"[16, 4, 20]",1.0,1.0,1.0
combo_75,"[16, 3, 18]",0.98,1.0,0.98
combo_76,"[16, 10, 13]",0.96,0.76,0.74
combo_77,"[16, 6, 15]",1.0,1.0,1.0
combo_78,"[16, 6, 20]",1.0,1.0,0.98
combo_79,"[16, 4, 24]",1.0,1.0,1.0
combo_80,"[16, 5, 12]",0.9,0.82,0.8
combo_81,"[16, 9, 24]",0.94,0.92,0.9
combo_82,"[16, 3, 19]",1.0,1.0,1.0
combo_83,"[16, 10, 23]",0.96,0.92,0.9
combo_84,"[16, 2, 12]",0.9,0.9,0.9
combo_85,"[16, 5, 7]",0.9,0.92,0.9
combo_86,"[16, 14, 12]",0.9,0.7,0.66
combo_87,"[16, 1, 19]",1.0,1.0,1.0
combo_88,"[16, 9, 11]",0.9,0.74,0.72
combo_89,"[16, 1, 15]",1.0,1.0,1.0
combo_90,"[16, 10, 11]",0.9,0.7,0.72
combo_91,"[16, 4, 18]",0.96,0.96,0.96
combo_92,"[16, 4, 15]",1.0,1.0,1.0
combo_93,"[16, 5, 24]",1.0,1.0,1.0
combo_94,"[16, 14, 11]",0.94,0.66,0.66
combo_95,"[16, 1, 11]",0.84,0.86,0.8
combo_96,"[16, 9, 23]",0.96,0.98,0.96
combo_97,"[16, 5, 23]",1.0,1.0,1.0
combo_98,"[16, 4, 22]",1.0,1.0,1.0
combo_99,"[16, 5, 8]",0.96,0.94,0.94
