Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[9, 3, 6, 4, 18, 13, 7]",1.0,0.8,0.76
combo_1,"[9, 2, 8, 4, 18, 16, 12]",0.94,0.68,0.66
combo_2,"[9, 2, 8, 4, 18, 14, 7]",0.92,0.74,0.7
combo_3,"[9, 3, 6, 19, 18, 14, 15]",1.0,0.0,0.0
combo_4,"[9, 2, 6, 5, 17, 14, 15]",0.98,0.8,0.76
combo_5,"[9, 3, 6, 4, 18, 14, 15]",1.0,0.7,0.76
combo_6,"[9, 1, 6, 19, 17, 16, 15]",0.98,0.0,0.0
combo_7,"[9, 1, 8, 5, 11, 14, 12]",0.96,0.84,0.82
combo_8,"[9, 1, 6, 5, 11, 14, 7]",1.0,0.84,0.86
combo_9,"[9, 2, 6, 4, 18, 13, 15]",0.96,0.72,0.72
combo_10,"[9, 2, 8, 5, 11, 13, 12]",0.98,0.88,0.88
combo_11,"[9, 1, 8, 19, 11, 16, 7]",0.94,0.66,0.66
combo_12,"[9, 3, 8, 19, 17, 13, 7]",0.98,0.76,0.7
combo_13,"[9, 3, 8, 5, 10, 14, 12]",1.0,0.84,0.82
combo_14,"[9, 3, 8, 5, 17, 14, 12]",0.98,0.86,0.82
combo_15,"[9, 1, 6, 4, 11, 16, 15]",0.96,0.74,0.76
combo_16,"[9, 1, 8, 4, 11, 14, 7]",0.96,0.84,0.74
combo_17,"[9, 3, 8, 5, 17, 14, 15]",0.98,0.76,0.72
combo_18,"[9, 1, 8, 19, 17, 14, 15]",0.98,0.0,0.0
combo_19,"[9, 2, 6, 4, 17, 14, 7]",0.98,0.76,0.76
combo_20,"[9, 2, 8, 19, 10, 14, 12]",0.92,0.64,0.0
combo_21,"[9, 3, 6, 5, 10, 14, 15]",0.98,0.8,0.82
combo_22,"[9, 3, 6, 4, 10, 16, 12]",0.98,0.78,0.78
combo_23,"[9, 3, 8, 5, 18, 13, 12]",0.98,0.84,0.86
combo_24,"[9, 3, 6, 5, 10, 13, 15]",0.98,0.88,0.82
combo_25,"[9, 1, 6, 19, 17, 14, 15]",0.98,0.0,0.0
