Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[16, 13, 8]",1.0,1.0,1.0
combo_1,"[16, 12, 11]",1.0,1.0,1.0
combo_2,"[16, 13, 17]",1.0,1.0,1.0
combo_3,"[16, 14, 17]",1.0,1.0,1.0
combo_4,"[16, 13, 3]",1.0,1.0,1.0
combo_5,"[16, 14, 8]",1.0,1.0,1.0
combo_6,"[16, 6, 11]",1.0,1.0,0.98
combo_7,"[16, 6, 19]",1.0,1.0,1.0
combo_8,"[16, 13, 7]",1.0,1.0,1.0
combo_9,"[16, 9, 11]",1.0,1.0,1.0
combo_10,"[16, 9, 7]",1.0,1.0,1.0
combo_11,"[16, 9, 1]",1.0,1.0,1.0
combo_12,"[16, 13, 10]",1.0,1.0,1.0
combo_13,"[16, 13, 19]",1.0,1.0,1.0
combo_14,"[16, 5, 10]",1.0,1.0,1.0
combo_15,"[16, 6, 1]",1.0,1.0,1.0
combo_16,"[16, 13, 4]",1.0,1.0,1.0
combo_17,"[16, 5, 2]",1.0,1.0,1.0
combo_18,"[16, 6, 3]",1.0,1.0,1.0
combo_19,"[16, 14, 19]",1.0,1.0,1.0
combo_20,"[16, 5, 4]",1.0,1.0,1.0
combo_21,"[16, 12, 15]",1.0,1.0,1.0
combo_22,"[16, 9, 8]",1.0,1.0,1.0
combo_23,"[16, 9, 10]",1.0,1.0,1.0
combo_24,"[16, 13, 11]",1.0,1.0,1.0
combo_25,"[16, 14, 4]",1.0,1.0,1.0
combo_26,"[16, 13, 2]",1.0,1.0,1.0
combo_27,"[16, 14, 10]",1.0,1.0,1.0
combo_28,"[16, 14, 2]",1.0,1.0,1.0
combo_29,"[16, 5, 19]",1.0,1.0,1.0
combo_30,"[16, 12, 7]",1.0,1.0,1.0
combo_31,"[16, 6, 4]",1.0,1.0,1.0
combo_32,"[16, 6, 10]",1.0,1.0,1.0
combo_33,"[16, 6, 2]",1.0,1.0,0.98
combo_34,"[16, 9, 4]",1.0,1.0,1.0
combo_35,"[16, 12, 10]",1.0,1.0,1.0
combo_36,"[16, 9, 2]",1.0,1.0,1.0
combo_37,"[16, 12, 1]",1.0,1.0,0.98
combo_38,"[16, 5, 11]",1.0,1.0,1.0
combo_39,"[16, 14, 11]",1.0,1.0,1.0
combo_40,"[16, 14, 3]",1.0,1.0,1.0
combo_41,"[16, 9, 17]",1.0,1.0,1.0
combo_42,"[16, 12, 19]",1.0,1.0,1.0
combo_43,"[16, 5, 3]",1.0,1.0,1.0
combo_44,"[16, 14, 15]",1.0,1.0,1.0
combo_45,"[16, 6, 17]",1.0,1.0,1.0
combo_46,"[16, 13, 1]",1.0,1.0,1.0
combo_47,"[16, 6, 7]",1.0,1.0,1.0
combo_48,"[16, 5, 7]",1.0,1.0,1.0
combo_49,"[16, 12, 8]",1.0,1.0,1.0
combo_50,"[16, 9, 15]",1.0,1.0,1.0
combo_51,"[16, 5, 15]",1.0,1.0,1.0
combo_52,"[16, 5, 8]",1.0,1.0,1.0
combo_53,"[16, 6, 15]",1.0,1.0,1.0
combo_54,"[16, 5, 1]",1.0,1.0,0.98
combo_55,"[16, 9, 3]",1.0,1.0,1.0
combo_56,"[16, 12, 2]",1.0,1.0,1.0
combo_57,"[16, 12, 17]",1.0,1.0,1.0
combo_58,"[16, 12, 3]",1.0,1.0,1.0
combo_59,"[16, 12, 4]",1.0,1.0,1.0
combo_60,"[16, 13, 15]",1.0,1.0,1.0
combo_61,"[16, 14, 7]",1.0,1.0,1.0
combo_62,"[16, 9, 19]",1.0,1.0,1.0
combo_63,"[16, 5, 17]",1.0,1.0,1.0
combo_64,"[16, 14, 1]",1.0,1.0,1.0
combo_65,"[16, 6, 8]",1.0,1.0,1.0
