Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[8, 2]",1.0,1.0,1.0
combo_1,"[8, 3]",1.0,1.0,1.0
combo_2,"[8, 18]",1.0,1.0,1.0
combo_3,"[8, 12]",1.0,1.0,1.0
combo_4,"[8, 1]",1.0,1.0,1.0
combo_5,"[8, 14]",1.0,1.0,1.0
combo_6,"[8, 23]",1.0,1.0,1.0
combo_7,"[8, 7]",1.0,1.0,1.0
combo_8,"[8, 5]",1.0,1.0,1.0
combo_9,"[8, 10]",1.0,1.0,1.0
combo_10,"[8, 24]",1.0,1.0,1.0
combo_11,"[8, 6]",1.0,1.0,1.0
combo_12,"[8, 4]",1.0,1.0,1.0
combo_13,"[8, 17]",1.0,1.0,1.0
combo_14,"[8, 21]",1.0,1.0,1.0
combo_15,"[8, 15]",1.0,1.0,1.0
combo_16,"[8, 22]",1.0,1.0,1.0
combo_17,"[8, 13]",1.0,1.0,1.0
combo_18,"[8, 16]",1.0,1.0,1.0
combo_19,"[8, 11]",1.0,1.0,1.0
combo_20,"[8, 20]",1.0,1.0,1.0
combo_21,"[8, 19]",1.0,1.0,1.0
combo_22,"[8, 9]",1.0,1.0,1.0
