Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[4, 10, 3, 2]",1.0,1.0,0.98
combo_1,"[4, 9, 8, 2]",1.0,0.9,0.92
combo_2,"[4, 9, 8, 1]",1.0,0.98,0.96
combo_3,"[4, 9, 5, 1]",1.0,1.0,1.0
combo_4,"[4, 7, 8, 1]",1.0,1.0,1.0
combo_5,"[4, 10, 5, 2]",1.0,1.0,1.0
combo_6,"[4, 10, 6, 1]",1.0,1.0,1.0
combo_7,"[4, 7, 5, 2]",1.0,1.0,1.0
combo_8,"[4, 10, 3, 1]",1.0,1.0,1.0
combo_9,"[4, 7, 6, 1]",1.0,1.0,1.0
combo_10,"[4, 9, 6, 1]",1.0,1.0,0.98
combo_11,"[4, 9, 6, 2]",1.0,0.98,0.98
combo_12,"[4, 9, 3, 1]",1.0,1.0,1.0
combo_13,"[4, 7, 6, 2]",1.0,1.0,1.0
combo_14,"[4, 7, 3, 1]",1.0,1.0,1.0
combo_15,"[4, 10, 5, 1]",1.0,1.0,1.0
combo_16,"[4, 7, 8, 2]",1.0,0.98,1.0
combo_17,"[4, 9, 3, 2]",1.0,0.94,0.96
combo_18,"[4, 10, 6, 2]",1.0,0.98,1.0
combo_19,"[4, 10, 8, 1]",1.0,1.0,1.0
combo_20,"[4, 9, 5, 2]",1.0,1.0,0.98
combo_21,"[4, 7, 3, 2]",1.0,1.0,1.0
combo_22,"[4, 7, 5, 1]",1.0,1.0,1.0
combo_23,"[4, 10, 8, 2]",1.0,0.96,0.96
