Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[39, 41, 16, 36, 48, 100, 78]",0.82,0.66,0.52
combo_1,"[39, 9, 2, 34, 53, 100, 80]",0.78,0.56,0.44
combo_2,"[39, 6, 30, 67, 89, 43, 81]",0.72,0.52,0.32
combo_3,"[39, 3, 10, 37, 98, 100, 74]",0.78,0.6,0.38
combo_4,"[39, 11, 29, 69, 46, 44, 52]",0.78,0.62,0.44
combo_5,"[39, 23, 19, 64, 96, 100, 57]",0.78,0.66,0.44
combo_6,"[39, 21, 15, 34, 95, 43, 51]",0.78,0.58,0.4
combo_7,"[39, 6, 30, 69, 98, 43, 56]",0.72,0.6,0.38
combo_8,"[39, 8, 16, 65, 92, 22, 74]",0.72,0.5,0.28
combo_9,"[39, 7, 12, 68, 93, 42, 81]",0.74,0.52,0.28
combo_10,"[39, 8, 33, 63, 49, 42, 76]",0.8,0.58,0.44
combo_11,"[39, 8, 29, 68, 93, 44, 80]",0.72,0.54,0.32
combo_12,"[39, 14, 15, 36, 93, 22, 59]",0.74,0.58,0.38
combo_13,"[39, 1, 12, 36, 87, 22, 52]",0.78,0.56,0.38
combo_14,"[39, 40, 19, 36, 50, 100, 78]",0.9,0.76,0.6
combo_15,"[39, 25, 19, 65, 46, 43, 58]",0.88,0.7,0.5
combo_16,"[39, 23, 19, 63, 82, 44, 75]",0.8,0.56,0.46
combo_17,"[39, 23, 28, 64, 49, 100, 57]",0.86,0.7,0.6
combo_18,"[39, 6, 4, 36, 53, 22, 80]",0.8,0.54,0.36
combo_19,"[39, 7, 17, 37, 99, 44, 80]",0.78,0.54,0.34
combo_20,"[39, 21, 18, 35, 85, 43, 73]",0.76,0.6,0.42
combo_21,"[39, 6, 19, 64, 53, 42, 74]",0.8,0.6,0.38
combo_22,"[39, 23, 33, 63, 50, 42, 72]",0.84,0.64,0.52
combo_23,"[39, 26, 4, 67, 99, 44, 56]",0.78,0.6,0.4
combo_24,"[39, 23, 33, 35, 96, 43, 56]",0.78,0.62,0.52
combo_25,"[39, 24, 10, 63, 53, 42, 79]",0.82,0.62,0.42
combo_26,"[39, 11, 28, 67, 87, 44, 62]",0.78,0.62,0.42
combo_27,"[39, 14, 12, 64, 48, 43, 61]",0.84,0.62,0.44
combo_28,"[39, 5, 4, 69, 49, 22, 76]",0.74,0.52,0.32
combo_29,"[39, 21, 12, 66, 92, 44, 77]",0.76,0.54,0.36
combo_30,"[39, 26, 18, 34, 83, 42, 79]",0.8,0.62,0.44
combo_31,"[39, 11, 12, 34, 95, 42, 59]",0.74,0.54,0.36
combo_32,"[39, 21, 30, 70, 49, 43, 61]",0.84,0.6,0.5
combo_33,"[39, 1, 15, 37, 95, 43, 77]",0.74,0.54,0.42
combo_34,"[39, 14, 30, 65, 47, 44, 74]",0.78,0.62,0.4
combo_35,"[39, 26, 2, 37, 90, 100, 79]",0.82,0.66,0.5
combo_36,"[39, 41, 12, 68, 93, 22, 59]",0.72,0.56,0.34
combo_37,"[39, 7, 19, 64, 94, 43, 61]",0.76,0.58,0.38
combo_38,"[39, 26, 18, 34, 96, 42, 60]",0.8,0.64,0.46
combo_39,"[39, 8, 33, 69, 91, 43, 72]",0.72,0.54,0.3
combo_40,"[39, 25, 19, 37, 92, 44, 81]",0.8,0.62,0.48
combo_41,"[39, 14, 12, 34, 55, 42, 61]",0.88,0.62,0.48
combo_42,"[39, 24, 29, 68, 55, 44, 62]",0.8,0.64,0.44
combo_43,"[39, 14, 17, 34, 47, 44, 76]",0.82,0.68,0.48
combo_44,"[39, 24, 4, 37, 53, 43, 59]",0.86,0.66,0.52
combo_45,"[39, 40, 2, 67, 47, 22, 74]",0.78,0.56,0.38
combo_46,"[39, 11, 10, 64, 88, 43, 76]",0.78,0.58,0.38
combo_47,"[39, 7, 30, 64, 55, 22, 51]",0.78,0.58,0.4
combo_48,"[39, 40, 32, 68, 94, 100, 78]",0.76,0.56,0.36
combo_49,"[39, 11, 30, 70, 85, 42, 59]",0.76,0.58,0.34
combo_50,"[39, 1, 31, 34, 89, 43, 61]",0.78,0.66,0.54
combo_51,"[39, 24, 30, 70, 55, 22, 75]",0.84,0.6,0.42
combo_52,"[39, 9, 10, 66, 54, 44, 73]",0.8,0.56,0.38
combo_53,"[39, 9, 16, 69, 85, 22, 57]",0.7,0.54,0.3
combo_54,"[39, 26, 28, 36, 45, 44, 75]",0.92,0.7,0.7
combo_55,"[39, 25, 10, 66, 45, 43, 79]",0.82,0.62,0.48
combo_56,"[39, 21, 28, 65, 98, 44, 80]",0.8,0.6,0.36
combo_57,"[39, 7, 32, 68, 55, 42, 74]",0.78,0.54,0.42
combo_58,"[39, 25, 4, 38, 99, 22, 56]",0.78,0.64,0.48
combo_59,"[39, 14, 17, 67, 95, 100, 79]",0.72,0.58,0.38
combo_60,"[39, 20, 27, 38, 50, 22, 73]",0.86,0.7,0.54
combo_61,"[39, 26, 4, 36, 97, 22, 62]",0.76,0.58,0.42
combo_62,"[39, 24, 28, 38, 88, 100, 77]",0.84,0.72,0.62
combo_63,"[39, 7, 19, 34, 82, 22, 52]",0.78,0.58,0.4
combo_64,"[39, 1, 13, 36, 84, 44, 74]",0.74,0.58,0.4
combo_65,"[39, 14, 28, 35, 91, 43, 51]",0.78,0.6,0.44
combo_66,"[39, 25, 13, 64, 54, 100, 71]",0.84,0.62,0.44
combo_67,"[39, 1, 19, 65, 88, 44, 80]",0.8,0.58,0.34
combo_68,"[39, 21, 18, 63, 53, 43, 72]",0.8,0.6,0.48
combo_69,"[39, 7, 28, 70, 83, 100, 57]",0.78,0.64,0.44
combo_70,"[39, 9, 18, 69, 54, 43, 76]",0.76,0.56,0.4
combo_71,"[39, 7, 30, 68, 45, 22, 57]",0.76,0.56,0.46
combo_72,"[39, 6, 10, 67, 96, 42, 78]",0.74,0.52,0.3
combo_73,"[39, 23, 30, 63, 97, 100, 62]",0.8,0.64,0.56
combo_74,"[39, 40, 32, 34, 48, 42, 74]",0.88,0.64,0.5
combo_75,"[39, 26, 2, 63, 49, 43, 51]",0.86,0.64,0.5
combo_76,"[39, 20, 15, 35, 83, 22, 58]",0.84,0.58,0.4
combo_77,"[39, 24, 15, 69, 48, 43, 60]",0.84,0.64,0.44
combo_78,"[39, 11, 19, 36, 93, 44, 58]",0.8,0.6,0.46
combo_79,"[39, 26, 13, 38, 91, 42, 52]",0.8,0.62,0.42
combo_80,"[39, 40, 28, 34, 98, 22, 80]",0.8,0.6,0.46
combo_81,"[39, 21, 13, 68, 95, 22, 80]",0.74,0.52,0.3
combo_82,"[39, 25, 2, 65, 97, 100, 75]",0.78,0.64,0.4
combo_83,"[39, 6, 13, 64, 91, 22, 79]",0.76,0.54,0.3
combo_84,"[39, 5, 2, 35, 90, 100, 56]",0.8,0.6,0.5
combo_85,"[39, 11, 32, 66, 88, 42, 75]",0.74,0.56,0.4
combo_86,"[39, 40, 10, 70, 47, 44, 76]",0.8,0.62,0.44
combo_87,"[39, 23, 10, 38, 50, 44, 51]",0.86,0.7,0.58
combo_88,"[39, 7, 19, 37, 86, 42, 81]",0.82,0.6,0.4
combo_89,"[39, 9, 15, 35, 49, 22, 56]",0.86,0.6,0.48
combo_90,"[39, 11, 27, 68, 53, 43, 77]",0.8,0.56,0.4
combo_91,"[39, 8, 4, 37, 98, 22, 75]",0.76,0.54,0.3
combo_92,"[39, 23, 33, 37, 98, 100, 81]",0.82,0.62,0.48
combo_93,"[39, 21, 15, 38, 46, 22, 77]",0.84,0.58,0.46
combo_94,"[39, 14, 27, 70, 83, 22, 51]",0.76,0.58,0.38
combo_95,"[39, 41, 31, 64, 49, 100, 81]",0.82,0.66,0.5
combo_96,"[39, 26, 15, 38, 97, 43, 76]",0.82,0.66,0.52
combo_97,"[39, 24, 15, 35, 99, 44, 71]",0.76,0.62,0.42
combo_98,"[39, 20, 33, 64, 54, 100, 51]",0.86,0.64,0.5
combo_99,"[39, 41, 29, 66, 98, 43, 74]",0.8,0.58,0.4
