Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[66, 55, 67, 36]",0.8,0.72,0.62
combo_1,"[66, 32, 27, 54]",0.7,0.64,0.54
combo_2,"[66, 5, 49, 17]",0.88,0.68,0.64
combo_3,"[66, 60, 67, 12]",0.72,0.6,0.52
combo_4,"[66, 57, 2, 17]",0.72,0.66,0.54
combo_5,"[66, 26, 51, 17]",0.74,0.62,0.54
combo_6,"[66, 20, 47, 17]",0.92,0.72,0.64
combo_7,"[66, 32, 46, 10]",0.74,0.6,0.58
combo_8,"[66, 3, 68, 17]",0.82,0.68,0.66
combo_9,"[66, 43, 31, 54]",0.78,0.58,0.56
combo_10,"[66, 1, 69, 15]",0.78,0.7,0.68
combo_11,"[66, 58, 51, 17]",0.68,0.62,0.48
combo_12,"[66, 29, 41, 10]",0.8,0.7,0.6
combo_13,"[66, 3, 52, 65]",0.94,0.98,0.9
combo_14,"[66, 23, 69, 15]",0.74,0.72,0.66
combo_15,"[66, 20, 47, 10]",0.88,0.7,0.66
combo_16,"[66, 61, 35, 36]",0.74,0.66,0.54
combo_17,"[66, 5, 74, 10]",0.72,0.6,0.54
combo_18,"[66, 26, 67, 15]",0.8,0.76,0.7
combo_19,"[66, 71, 74, 10]",0.74,0.62,0.56
combo_20,"[66, 60, 62, 37]",0.76,0.7,0.54
combo_21,"[66, 72, 6, 15]",0.92,0.92,0.88
combo_22,"[66, 3, 11, 36]",0.76,0.7,0.62
combo_23,"[66, 63, 13, 54]",0.72,0.6,0.58
combo_24,"[66, 28, 52, 15]",1.0,1.0,0.98
combo_25,"[66, 71, 46, 12]",0.72,0.64,0.54
combo_26,"[66, 22, 33, 17]",0.88,0.8,0.74
combo_27,"[66, 71, 52, 36]",0.8,0.8,0.74
combo_28,"[66, 44, 7, 65]",1.0,0.9,0.82
combo_29,"[66, 26, 74, 17]",0.74,0.62,0.54
combo_30,"[66, 61, 4, 15]",0.76,0.76,0.62
combo_31,"[66, 20, 7, 37]",0.94,0.74,0.7
combo_32,"[66, 59, 46, 54]",0.7,0.58,0.52
combo_33,"[66, 72, 47, 15]",0.86,0.88,0.82
combo_34,"[66, 29, 73, 17]",0.84,0.76,0.7
combo_35,"[66, 32, 24, 37]",0.86,0.78,0.7
combo_36,"[66, 59, 75, 10]",0.76,0.6,0.6
combo_37,"[66, 23, 13, 12]",0.76,0.64,0.6
combo_38,"[66, 32, 67, 36]",0.74,0.66,0.62
combo_39,"[66, 60, 69, 65]",0.72,0.7,0.66
combo_40,"[66, 44, 49, 17]",0.92,0.8,0.78
combo_41,"[66, 8, 41, 54]",0.8,0.64,0.56
combo_42,"[66, 59, 53, 70]",0.8,0.74,0.7
combo_43,"[66, 43, 51, 15]",0.74,0.7,0.58
combo_44,"[66, 50, 2, 70]",0.72,0.62,0.62
combo_45,"[66, 23, 67, 65]",0.76,0.76,0.72
combo_46,"[66, 26, 30, 37]",0.98,0.72,0.66
combo_47,"[66, 22, 74, 17]",0.76,0.62,0.56
combo_48,"[66, 57, 67, 65]",0.76,0.74,0.7
combo_49,"[66, 58, 2, 36]",0.74,0.68,0.62
combo_50,"[66, 28, 13, 15]",0.94,0.92,0.94
combo_51,"[66, 43, 35, 36]",0.74,0.7,0.62
combo_52,"[66, 29, 69, 36]",0.78,0.7,0.66
combo_53,"[66, 48, 53, 12]",0.78,0.68,0.6
combo_54,"[66, 59, 4, 21]",0.76,0.74,0.64
combo_55,"[66, 26, 69, 65]",0.84,0.76,0.72
combo_56,"[66, 43, 14, 10]",0.88,0.72,0.64
combo_57,"[66, 19, 73, 15]",0.9,0.9,0.82
combo_58,"[66, 48, 67, 12]",0.76,0.62,0.56
combo_59,"[66, 32, 14, 12]",0.78,0.66,0.58
combo_60,"[66, 19, 18, 15]",0.9,0.84,0.88
combo_61,"[66, 3, 24, 37]",0.98,0.84,0.82
combo_62,"[66, 5, 53, 12]",0.76,0.66,0.64
combo_63,"[66, 20, 16, 65]",1.0,1.0,1.0
combo_64,"[66, 19, 33, 37]",0.96,0.86,0.88
combo_65,"[66, 26, 7, 21]",0.88,0.66,0.68
combo_66,"[66, 58, 13, 15]",0.78,0.76,0.66
combo_67,"[66, 61, 40, 36]",0.74,0.7,0.58
combo_68,"[66, 58, 30, 65]",0.88,0.84,0.72
