Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[25, 23, 8]",0.88,0.76,0.72
combo_1,"[25, 58, 10]",1.0,1.0,0.96
combo_2,"[25, 49, 37]",0.82,0.76,0.72
combo_3,"[25, 51, 59]",0.88,0.86,0.8
combo_4,"[25, 40, 28]",0.84,0.76,0.7
combo_5,"[25, 2, 59]",0.98,0.98,0.96
combo_6,"[25, 58, 14]",1.0,1.0,1.0
combo_7,"[25, 48, 53]",0.78,0.74,0.62
combo_8,"[25, 57, 31]",1.0,1.0,1.0
combo_9,"[25, 51, 60]",0.82,0.84,0.72
combo_10,"[25, 26, 19]",0.88,0.86,0.86
combo_11,"[25, 49, 27]",0.9,0.88,0.84
combo_12,"[25, 58, 8]",0.84,0.82,0.7
combo_13,"[25, 45, 19]",1.0,1.0,0.96
combo_14,"[25, 44, 56]",0.88,0.8,0.74
combo_15,"[25, 48, 33]",0.74,0.74,0.6
combo_16,"[25, 2, 34]",0.86,0.86,0.8
combo_17,"[25, 43, 59]",0.86,0.82,0.78
combo_18,"[25, 40, 41]",0.74,0.7,0.62
combo_19,"[25, 40, 3]",0.84,0.82,0.8
combo_20,"[25, 57, 3]",1.0,0.98,0.98
combo_21,"[25, 47, 12]",0.88,0.84,0.8
combo_22,"[25, 30, 12]",1.0,0.94,0.9
combo_23,"[25, 36, 31]",1.0,1.0,1.0
combo_24,"[25, 51, 56]",0.86,0.82,0.68
combo_25,"[25, 57, 8]",0.82,0.78,0.74
combo_26,"[25, 38, 42]",0.9,0.94,0.9
combo_27,"[25, 30, 14]",0.92,0.86,0.84
combo_28,"[25, 6, 17]",0.92,0.8,0.78
combo_29,"[25, 35, 28]",0.84,0.8,0.72
combo_30,"[25, 58, 22]",0.98,0.98,0.98
combo_31,"[25, 15, 31]",1.0,1.0,1.0
combo_32,"[25, 23, 60]",0.94,0.92,0.88
combo_33,"[25, 44, 37]",0.84,0.8,0.76
combo_34,"[25, 48, 50]",0.8,0.8,0.62
combo_35,"[25, 48, 10]",0.82,0.88,0.74
combo_36,"[25, 58, 42]",1.0,1.0,1.0
combo_37,"[25, 5, 3]",1.0,1.0,0.98
combo_38,"[25, 26, 14]",0.86,0.84,0.82
combo_39,"[25, 45, 34]",0.86,0.88,0.8
combo_40,"[25, 16, 50]",0.88,0.84,0.8
combo_41,"[25, 44, 31]",1.0,0.98,1.0
combo_42,"[25, 21, 11]",1.0,1.0,0.98
combo_43,"[25, 18, 55]",0.98,0.96,0.94
combo_44,"[25, 2, 41]",0.78,0.78,0.7
combo_45,"[25, 46, 31]",0.98,0.98,1.0
combo_46,"[25, 5, 14]",0.98,0.94,0.96
combo_47,"[25, 49, 39]",0.76,0.78,0.7
