Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[6, 2, 4, 7, 14, 12]",1.0,0.8,0.78
combo_1,"[6, 2, 9, 1, 14, 11]",1.0,0.88,0.84
combo_2,"[6, 8, 9, 1, 13, 11]",1.0,0.96,0.94
combo_3,"[6, 8, 4, 1, 14, 12]",1.0,0.88,0.9
combo_4,"[6, 8, 5, 1, 14, 12]",1.0,0.9,0.82
combo_5,"[6, 3, 9, 10, 13, 12]",1.0,0.98,0.98
combo_6,"[6, 3, 9, 1, 14, 12]",1.0,0.92,0.88
combo_7,"[6, 3, 5, 10, 13, 12]",1.0,0.94,0.86
combo_8,"[6, 2, 4, 1, 13, 12]",1.0,0.92,0.92
combo_9,"[6, 2, 5, 10, 13, 12]",1.0,0.9,0.9
combo_10,"[6, 3, 4, 1, 13, 11]",1.0,0.86,0.88
combo_11,"[6, 3, 4, 10, 13, 11]",1.0,0.9,0.9
combo_12,"[6, 8, 4, 10, 14, 12]",1.0,0.98,0.92
combo_13,"[6, 2, 9, 10, 13, 12]",1.0,0.98,1.0
combo_14,"[6, 3, 9, 1, 13, 11]",1.0,0.92,0.86
combo_15,"[6, 8, 9, 10, 13, 12]",1.0,1.0,1.0
combo_16,"[6, 8, 5, 7, 13, 12]",1.0,0.88,0.82
combo_17,"[6, 2, 4, 7, 13, 11]",1.0,0.84,0.82
combo_18,"[6, 2, 9, 1, 13, 12]",1.0,0.94,0.94
combo_19,"[6, 2, 4, 10, 13, 11]",1.0,0.9,0.94
combo_20,"[6, 8, 9, 7, 14, 12]",1.0,0.94,0.88
combo_21,"[6, 8, 5, 7, 13, 11]",1.0,0.86,0.82
combo_22,"[6, 3, 4, 7, 14, 11]",0.98,0.78,0.72
combo_23,"[6, 2, 9, 1, 14, 12]",1.0,0.9,0.9
combo_24,"[6, 2, 9, 7, 14, 12]",1.0,0.86,0.84
combo_25,"[6, 8, 4, 1, 14, 11]",1.0,0.86,0.84
combo_26,"[6, 2, 5, 7, 14, 12]",1.0,0.8,0.72
combo_27,"[6, 3, 4, 10, 13, 12]",1.0,0.94,0.96
combo_28,"[6, 8, 4, 7, 14, 12]",1.0,0.86,0.82
combo_29,"[6, 3, 9, 10, 14, 12]",1.0,0.96,0.98
combo_30,"[6, 2, 5, 7, 13, 12]",1.0,0.84,0.82
combo_31,"[6, 3, 5, 1, 14, 12]",1.0,0.86,0.8
combo_32,"[6, 3, 9, 10, 13, 11]",1.0,0.94,0.96
combo_33,"[6, 3, 5, 10, 14, 12]",1.0,0.84,0.9
combo_34,"[6, 8, 4, 10, 13, 11]",1.0,0.94,0.96
combo_35,"[6, 3, 4, 7, 13, 12]",1.0,0.84,0.88
combo_36,"[6, 8, 4, 7, 14, 11]",1.0,0.8,0.82
combo_37,"[6, 3, 9, 1, 13, 12]",1.0,0.98,0.92
combo_38,"[6, 3, 5, 7, 13, 12]",1.0,0.84,0.82
combo_39,"[6, 8, 9, 10, 14, 12]",1.0,1.0,1.0
combo_40,"[6, 8, 9, 10, 14, 11]",1.0,0.92,0.96
combo_41,"[6, 3, 5, 7, 14, 11]",1.0,0.78,0.76
combo_42,"[6, 8, 4, 7, 13, 12]",1.0,0.9,0.94
combo_43,"[6, 2, 9, 10, 13, 11]",1.0,0.94,0.96
combo_44,"[6, 2, 4, 1, 14, 11]",0.98,0.76,0.8
combo_45,"[6, 2, 9, 7, 14, 11]",1.0,0.82,0.82
combo_46,"[6, 3, 9, 10, 14, 11]",1.0,0.94,0.88
combo_47,"[6, 2, 5, 10, 14, 11]",1.0,0.84,0.82
combo_48,"[6, 2, 4, 1, 14, 12]",0.98,0.82,0.86
combo_49,"[6, 2, 9, 7, 13, 11]",1.0,0.84,0.84
combo_50,"[6, 3, 5, 1, 14, 11]",1.0,0.8,0.74
combo_51,"[6, 2, 9, 10, 14, 11]",1.0,0.94,0.88
combo_52,"[6, 2, 9, 10, 14, 12]",1.0,0.92,0.96
combo_53,"[6, 3, 9, 7, 14, 11]",1.0,0.82,0.78
combo_54,"[6, 2, 5, 10, 13, 11]",1.0,0.88,0.84
combo_55,"[6, 8, 4, 10, 13, 12]",1.0,1.0,0.98
combo_56,"[6, 3, 4, 1, 13, 12]",1.0,0.92,0.9
combo_57,"[6, 2, 4, 7, 13, 12]",1.0,0.84,0.84
combo_58,"[6, 3, 4, 7, 13, 11]",1.0,0.84,0.84
combo_59,"[6, 2, 5, 1, 13, 11]",1.0,0.88,0.76
combo_60,"[6, 2, 4, 10, 14, 12]",1.0,0.9,0.88
combo_61,"[6, 2, 4, 10, 13, 12]",1.0,0.98,0.94
combo_62,"[6, 3, 9, 7, 13, 11]",1.0,0.9,0.84
combo_63,"[6, 8, 5, 10, 14, 12]",1.0,0.92,0.9
combo_64,"[6, 3, 5, 7, 14, 12]",1.0,0.8,0.74
combo_65,"[6, 2, 5, 10, 14, 12]",1.0,0.88,0.86
combo_66,"[6, 8, 5, 7, 14, 12]",1.0,0.86,0.82
combo_67,"[6, 8, 4, 1, 13, 12]",1.0,0.94,0.98
combo_68,"[6, 2, 4, 1, 13, 11]",1.0,0.88,0.84
combo_69,"[6, 8, 9, 7, 13, 11]",1.0,0.9,0.9
combo_70,"[6, 3, 9, 7, 13, 12]",1.0,0.9,0.88
combo_71,"[6, 8, 5, 10, 13, 11]",1.0,0.92,0.9
combo_72,"[6, 3, 4, 7, 14, 12]",1.0,0.78,0.78
combo_73,"[6, 3, 4, 10, 14, 12]",1.0,0.88,0.9
combo_74,"[6, 8, 9, 7, 13, 12]",1.0,0.96,0.96
combo_75,"[6, 2, 5, 1, 14, 11]",1.0,0.84,0.74
combo_76,"[6, 3, 5, 7, 13, 11]",1.0,0.82,0.74
combo_77,"[6, 2, 5, 7, 13, 11]",1.0,0.82,0.76
combo_78,"[6, 8, 9, 1, 14, 11]",1.0,0.88,0.88
combo_79,"[6, 3, 4, 10, 14, 11]",1.0,0.84,0.82
combo_80,"[6, 2, 9, 1, 13, 11]",1.0,0.92,0.92
combo_81,"[6, 8, 5, 1, 14, 11]",1.0,0.84,0.8
combo_82,"[6, 8, 5, 1, 13, 11]",1.0,0.86,0.84
combo_83,"[6, 8, 4, 1, 13, 11]",1.0,0.92,0.92
combo_84,"[6, 3, 5, 10, 13, 11]",1.0,0.9,0.88
combo_85,"[6, 3, 4, 1, 14, 12]",1.0,0.86,0.84
combo_86,"[6, 8, 4, 10, 14, 11]",1.0,0.88,0.88
combo_87,"[6, 2, 4, 10, 14, 11]",1.0,0.88,0.88
combo_88,"[6, 8, 5, 10, 13, 12]",1.0,0.98,0.94
combo_89,"[6, 8, 9, 1, 14, 12]",1.0,0.98,0.98
combo_90,"[6, 2, 5, 1, 14, 12]",1.0,0.82,0.82
combo_91,"[6, 3, 5, 1, 13, 12]",1.0,0.9,0.82
combo_92,"[6, 8, 5, 10, 14, 11]",1.0,0.88,0.88
combo_93,"[6, 8, 4, 7, 13, 11]",1.0,0.84,0.86
combo_94,"[6, 8, 9, 7, 14, 11]",1.0,0.88,0.86
combo_95,"[6, 2, 5, 7, 14, 11]",1.0,0.72,0.74
combo_96,"[6, 2, 5, 1, 13, 12]",1.0,0.9,0.86
combo_97,"[6, 3, 5, 1, 13, 11]",1.0,0.86,0.86
combo_98,"[6, 3, 5, 10, 14, 11]",1.0,0.9,0.8
combo_99,"[6, 2, 9, 7, 13, 12]",1.0,0.88,0.9
