Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[15, 1, 7, 16, 13, 3]",1.0,0.88,0.94
combo_1,"[15, 2, 6, 16, 13, 19]",0.88,0.78,0.76
combo_2,"[15, 1, 5, 9, 13, 18]",0.98,0.86,0.78
combo_3,"[15, 4, 6, 9, 13, 20]",0.98,0.78,0.72
combo_4,"[15, 4, 8, 16, 13, 12]",0.98,0.78,0.78
combo_5,"[15, 4, 6, 9, 14, 3]",1.0,0.86,0.86
combo_6,"[15, 1, 5, 9, 14, 18]",1.0,0.88,0.82
combo_7,"[15, 2, 7, 10, 14, 3]",1.0,0.98,0.98
combo_8,"[15, 2, 8, 10, 13, 20]",1.0,0.82,0.8
combo_9,"[15, 4, 6, 10, 13, 18]",0.98,0.86,0.86
combo_10,"[15, 2, 8, 10, 13, 12]",0.96,0.82,0.82
combo_11,"[15, 2, 5, 9, 14, 19]",0.98,0.8,0.76
combo_12,"[15, 4, 8, 9, 14, 17]",1.0,0.92,0.92
combo_13,"[15, 1, 5, 9, 14, 19]",0.98,0.88,0.8
combo_14,"[15, 4, 5, 10, 14, 17]",1.0,0.92,0.92
combo_15,"[15, 2, 5, 10, 13, 3]",1.0,0.82,0.8
combo_16,"[15, 4, 6, 9, 13, 19]",0.94,0.82,0.76
combo_17,"[15, 4, 6, 10, 14, 19]",0.96,0.9,0.84
combo_18,"[15, 4, 7, 16, 13, 12]",0.98,0.88,0.8
combo_19,"[15, 4, 5, 9, 13, 18]",0.98,0.82,0.76
combo_20,"[15, 2, 5, 10, 13, 20]",0.98,0.8,0.78
combo_21,"[15, 4, 8, 9, 14, 19]",0.98,0.86,0.84
combo_22,"[15, 1, 7, 10, 14, 17]",1.0,1.0,1.0
combo_23,"[15, 1, 8, 9, 13, 18]",1.0,0.9,0.86
combo_24,"[15, 1, 7, 16, 14, 12]",1.0,0.98,0.92
combo_25,"[15, 1, 7, 10, 13, 19]",0.98,0.94,0.88
combo_26,"[15, 4, 8, 9, 13, 19]",0.92,0.8,0.76
combo_27,"[15, 1, 7, 16, 13, 20]",1.0,0.88,0.84
combo_28,"[15, 1, 5, 16, 14, 3]",1.0,0.84,0.86
combo_29,"[15, 2, 6, 10, 14, 11]",0.94,0.86,0.78
combo_30,"[15, 4, 8, 10, 14, 11]",1.0,0.86,0.82
combo_31,"[15, 4, 8, 10, 14, 3]",1.0,0.92,0.92
combo_32,"[15, 1, 8, 10, 14, 19]",1.0,0.94,0.9
combo_33,"[15, 1, 5, 16, 13, 12]",0.98,0.78,0.76
combo_34,"[15, 2, 7, 16, 14, 12]",0.98,0.86,0.88
combo_35,"[15, 4, 6, 16, 14, 19]",0.98,0.8,0.8
combo_36,"[15, 2, 5, 9, 14, 20]",1.0,0.8,0.76
combo_37,"[15, 1, 6, 16, 14, 3]",1.0,0.94,0.86
combo_38,"[15, 2, 6, 10, 13, 18]",0.98,0.88,0.86
combo_39,"[15, 2, 7, 10, 14, 11]",0.98,0.86,0.86
combo_40,"[15, 2, 5, 9, 14, 18]",0.98,0.82,0.8
combo_41,"[15, 1, 8, 16, 14, 17]",1.0,0.94,0.98
combo_42,"[15, 4, 6, 16, 13, 12]",0.98,0.8,0.76
combo_43,"[15, 1, 8, 10, 14, 17]",1.0,0.98,1.0
combo_44,"[15, 4, 7, 16, 14, 18]",1.0,0.9,0.94
combo_45,"[15, 2, 6, 9, 13, 11]",0.92,0.78,0.7
combo_46,"[15, 1, 5, 10, 13, 12]",0.98,0.8,0.76
combo_47,"[15, 2, 8, 10, 14, 12]",1.0,0.88,0.88
combo_48,"[15, 1, 7, 9, 13, 12]",0.98,0.86,0.82
combo_49,"[15, 2, 7, 10, 13, 3]",1.0,0.94,0.9
combo_50,"[15, 2, 8, 9, 13, 19]",0.96,0.78,0.78
combo_51,"[15, 2, 5, 10, 13, 19]",0.98,0.8,0.74
combo_52,"[15, 1, 8, 10, 13, 19]",1.0,0.86,0.82
combo_53,"[15, 1, 8, 16, 14, 19]",0.98,0.84,0.88
combo_54,"[15, 2, 5, 9, 13, 18]",0.98,0.8,0.74
combo_55,"[15, 4, 5, 16, 14, 19]",0.94,0.78,0.76
combo_56,"[15, 1, 7, 16, 13, 17]",1.0,0.94,0.96
combo_57,"[15, 1, 6, 16, 13, 17]",1.0,0.94,0.92
combo_58,"[15, 1, 8, 10, 13, 12]",1.0,0.86,0.82
combo_59,"[15, 4, 5, 9, 13, 19]",0.92,0.74,0.68
combo_60,"[15, 4, 5, 16, 14, 11]",0.96,0.78,0.7
combo_61,"[15, 2, 8, 16, 13, 18]",1.0,0.82,0.82
combo_62,"[15, 1, 7, 9, 13, 20]",1.0,0.9,0.84
combo_63,"[15, 2, 6, 16, 13, 3]",0.98,0.82,0.78
combo_64,"[15, 4, 5, 9, 14, 19]",0.96,0.82,0.72
combo_65,"[15, 4, 7, 16, 14, 20]",1.0,0.88,0.84
combo_66,"[15, 2, 7, 16, 13, 19]",0.98,0.8,0.8
combo_67,"[15, 1, 6, 16, 14, 20]",0.98,0.88,0.86
combo_68,"[15, 1, 7, 10, 13, 17]",1.0,0.98,0.96
combo_69,"[15, 2, 7, 16, 13, 12]",1.0,0.82,0.84
combo_70,"[15, 1, 5, 10, 14, 18]",0.98,0.92,0.9
combo_71,"[15, 2, 6, 9, 14, 11]",0.94,0.78,0.78
combo_72,"[15, 2, 5, 16, 14, 19]",0.98,0.8,0.76
combo_73,"[15, 2, 6, 9, 13, 19]",0.94,0.8,0.76
combo_74,"[15, 1, 6, 10, 13, 12]",0.96,0.86,0.82
combo_75,"[15, 4, 8, 16, 13, 18]",1.0,0.82,0.8
combo_76,"[15, 4, 6, 16, 14, 12]",0.98,0.82,0.82
combo_77,"[15, 1, 7, 16, 13, 19]",0.98,0.84,0.84
combo_78,"[15, 4, 7, 9, 14, 12]",1.0,0.88,0.84
combo_79,"[15, 2, 6, 16, 13, 18]",0.96,0.82,0.78
combo_80,"[15, 4, 7, 9, 14, 17]",1.0,0.94,0.92
combo_81,"[15, 2, 6, 10, 14, 18]",1.0,0.92,0.88
combo_82,"[15, 1, 8, 16, 13, 19]",0.96,0.8,0.8
combo_83,"[15, 4, 6, 9, 14, 20]",0.98,0.82,0.8
combo_84,"[15, 2, 7, 10, 13, 19]",0.96,0.88,0.86
combo_85,"[15, 2, 5, 10, 14, 17]",1.0,0.86,0.9
combo_86,"[15, 4, 5, 10, 13, 19]",0.98,0.82,0.78
combo_87,"[15, 2, 6, 16, 14, 20]",0.96,0.86,0.78
combo_88,"[15, 2, 5, 10, 14, 19]",1.0,0.8,0.8
combo_89,"[15, 4, 7, 10, 14, 18]",1.0,0.96,1.0
combo_90,"[15, 1, 7, 9, 13, 19]",0.96,0.88,0.82
combo_91,"[15, 2, 7, 9, 13, 20]",0.94,0.86,0.8
combo_92,"[15, 4, 6, 10, 13, 11]",0.94,0.84,0.74
combo_93,"[15, 4, 7, 16, 14, 11]",1.0,0.82,0.8
combo_94,"[15, 2, 5, 16, 14, 11]",0.98,0.78,0.72
combo_95,"[15, 4, 5, 10, 14, 20]",0.98,0.86,0.78
combo_96,"[15, 4, 7, 10, 13, 19]",0.98,0.86,0.84
combo_97,"[15, 2, 8, 16, 14, 11]",0.94,0.8,0.78
combo_98,"[15, 2, 6, 16, 13, 20]",0.94,0.8,0.76
combo_99,"[15, 1, 5, 10, 14, 17]",1.0,0.98,0.98
