Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[37, 3, 16, 21]",0.94,0.74,0.74
combo_1,"[37, 8, 28, 13]",1.0,0.82,0.86
combo_2,"[37, 30, 34, 15]",0.96,0.86,0.84
combo_3,"[37, 1, 10, 15]",1.0,0.78,0.58
combo_4,"[37, 27, 36, 33]",1.0,0.98,0.98
combo_5,"[37, 30, 32, 12]",0.9,0.76,0.74
combo_6,"[37, 22, 34, 12]",1.0,0.94,0.9
combo_7,"[37, 8, 36, 7]",1.0,0.88,0.84
combo_8,"[37, 14, 9, 12]",0.94,0.78,0.64
combo_9,"[37, 20, 9, 15]",1.0,0.94,0.86
combo_10,"[37, 1, 4, 13]",0.98,0.84,0.68
combo_11,"[37, 8, 29, 7]",1.0,0.94,0.92
combo_12,"[37, 8, 36, 19]",1.0,0.92,0.82
combo_13,"[37, 20, 2, 7]",1.0,0.94,0.9
combo_14,"[37, 3, 16, 7]",0.98,0.78,0.76
combo_15,"[37, 30, 17, 19]",0.92,0.8,0.72
combo_16,"[37, 3, 29, 33]",1.0,1.0,0.98
combo_17,"[37, 30, 26, 33]",0.98,0.96,0.9
combo_18,"[37, 14, 9, 19]",0.96,0.8,0.7
combo_19,"[37, 27, 29, 21]",1.0,0.96,0.9
combo_20,"[37, 8, 24, 15]",1.0,0.9,0.9
combo_21,"[37, 30, 23, 19]",1.0,0.9,0.88
combo_22,"[37, 6, 5, 19]",1.0,0.8,0.74
combo_23,"[37, 20, 25, 21]",0.92,0.84,0.82
combo_24,"[37, 30, 9, 15]",0.92,0.84,0.72
combo_25,"[37, 30, 2, 15]",0.92,0.82,0.72
combo_26,"[37, 27, 32, 21]",0.96,0.88,0.76
combo_27,"[37, 20, 34, 15]",1.0,0.96,0.94
combo_28,"[37, 1, 28, 7]",0.98,0.86,0.76
combo_29,"[37, 6, 17, 12]",0.94,0.76,0.74
combo_30,"[37, 1, 34, 12]",1.0,0.84,0.76
combo_31,"[37, 14, 4, 11]",0.96,0.78,0.7
combo_32,"[37, 3, 35, 11]",0.92,0.78,0.7
combo_33,"[37, 22, 25, 11]",0.92,0.78,0.72
combo_34,"[37, 20, 2, 11]",0.98,0.92,0.82
combo_35,"[37, 30, 32, 13]",0.94,0.8,0.76
combo_36,"[37, 1, 17, 7]",0.96,0.8,0.68
combo_37,"[37, 14, 26, 12]",0.94,0.82,0.74
combo_38,"[37, 27, 5, 21]",1.0,0.9,0.84
combo_39,"[37, 8, 23, 7]",1.0,0.96,0.94
combo_40,"[37, 8, 26, 33]",1.0,0.9,0.94
combo_41,"[37, 14, 10, 33]",0.98,0.88,0.74
combo_42,"[37, 3, 24, 11]",1.0,0.86,0.88
combo_43,"[37, 3, 31, 12]",0.94,0.8,0.72
combo_44,"[37, 27, 5, 12]",1.0,0.88,0.84
combo_45,"[37, 20, 28, 7]",1.0,0.94,0.88
combo_46,"[37, 22, 10, 15]",1.0,0.84,0.86
combo_47,"[37, 27, 2, 7]",1.0,0.92,0.86
combo_48,"[37, 3, 23, 13]",1.0,1.0,0.98
combo_49,"[37, 3, 24, 15]",1.0,0.94,0.86
combo_50,"[37, 6, 36, 18]",0.98,0.8,0.72
combo_51,"[37, 8, 5, 13]",1.0,0.86,0.88
combo_52,"[37, 1, 32, 12]",0.96,0.78,0.7
combo_53,"[37, 20, 31, 18]",0.96,0.9,0.82
combo_54,"[37, 1, 31, 21]",0.94,0.78,0.64
combo_55,"[37, 6, 23, 7]",1.0,0.94,0.88
combo_56,"[37, 6, 23, 19]",1.0,0.88,0.78
combo_57,"[37, 6, 26, 19]",1.0,0.74,0.74
combo_58,"[37, 14, 34, 19]",1.0,0.78,0.74
combo_59,"[37, 14, 29, 13]",1.0,0.88,0.76
combo_60,"[37, 20, 17, 15]",1.0,0.88,0.82
combo_61,"[37, 14, 26, 18]",0.96,0.82,0.72
combo_62,"[37, 3, 10, 33]",0.96,0.88,0.92
combo_63,"[37, 1, 26, 13]",1.0,0.88,0.74
combo_64,"[37, 1, 34, 15]",1.0,0.82,0.62
combo_65,"[37, 1, 23, 33]",1.0,1.0,0.9
combo_66,"[37, 22, 26, 15]",1.0,0.88,0.88
combo_67,"[37, 22, 2, 15]",1.0,0.86,0.88
combo_68,"[37, 22, 25, 18]",0.94,0.8,0.76
combo_69,"[37, 1, 9, 7]",0.96,0.86,0.72
combo_70,"[37, 22, 16, 19]",0.96,0.84,0.8
combo_71,"[37, 1, 9, 33]",0.98,0.9,0.72
combo_72,"[37, 14, 24, 13]",1.0,0.9,0.74
combo_73,"[37, 14, 32, 13]",0.94,0.82,0.66
combo_74,"[37, 22, 32, 18]",0.92,0.82,0.8
combo_75,"[37, 30, 26, 18]",0.98,0.82,0.78
combo_76,"[37, 20, 29, 12]",1.0,0.98,0.98
combo_77,"[37, 30, 31, 7]",0.96,0.82,0.74
combo_78,"[37, 14, 25, 12]",0.9,0.76,0.64
combo_79,"[37, 8, 9, 15]",1.0,0.84,0.74
combo_80,"[37, 3, 36, 33]",1.0,0.96,0.94
combo_81,"[37, 6, 10, 11]",0.98,0.74,0.66
combo_82,"[37, 30, 24, 7]",0.98,0.86,0.84
combo_83,"[37, 6, 31, 15]",0.96,0.78,0.72
combo_84,"[37, 6, 4, 15]",0.94,0.8,0.76
combo_85,"[37, 14, 23, 11]",1.0,0.8,0.8
combo_86,"[37, 8, 28, 11]",0.96,0.84,0.78
combo_87,"[37, 27, 10, 19]",0.98,0.9,0.86
combo_88,"[37, 6, 2, 7]",0.94,0.84,0.74
combo_89,"[37, 1, 17, 12]",0.98,0.78,0.66
combo_90,"[37, 20, 34, 21]",1.0,0.92,0.9
combo_91,"[37, 8, 17, 21]",0.96,0.86,0.68
combo_92,"[37, 3, 32, 19]",0.9,0.8,0.76
combo_93,"[37, 1, 34, 11]",1.0,0.8,0.76
combo_94,"[37, 30, 26, 7]",1.0,0.84,0.78
combo_95,"[37, 22, 26, 13]",1.0,0.96,0.98
combo_96,"[37, 8, 4, 15]",0.96,0.82,0.8
combo_97,"[37, 14, 10, 15]",1.0,0.8,0.58
combo_98,"[37, 20, 35, 18]",0.96,0.88,0.9
combo_99,"[37, 22, 9, 11]",0.94,0.82,0.74
