Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[11, 28, 8]",0.98,0.98,0.96
combo_1,"[11, 12, 19]",1.0,1.0,1.0
combo_2,"[11, 31, 20]",1.0,1.0,1.0
combo_3,"[11, 28, 2]",0.98,0.96,0.94
combo_4,"[11, 29, 14]",1.0,0.98,1.0
combo_5,"[11, 12, 17]",0.9,0.96,0.92
combo_6,"[11, 24, 17]",0.86,0.84,0.82
combo_7,"[11, 28, 17]",0.82,0.76,0.78
combo_8,"[11, 25, 23]",0.86,0.86,0.88
combo_9,"[11, 29, 17]",0.78,0.78,0.74
combo_10,"[11, 31, 8]",1.0,0.98,1.0
combo_11,"[11, 12, 20]",1.0,1.0,1.0
combo_12,"[11, 29, 9]",0.94,0.92,0.92
combo_13,"[11, 30, 16]",0.86,0.78,0.8
combo_14,"[11, 24, 13]",0.96,0.92,0.94
combo_15,"[11, 32, 8]",1.0,1.0,1.0
combo_16,"[11, 30, 26]",0.94,0.96,0.98
combo_17,"[11, 24, 6]",1.0,0.98,1.0
combo_18,"[11, 31, 4]",0.96,0.88,0.86
combo_19,"[11, 33, 10]",1.0,0.98,1.0
combo_20,"[11, 31, 6]",0.98,1.0,1.0
combo_21,"[11, 25, 21]",0.94,0.94,0.96
combo_22,"[11, 3, 10]",0.94,0.84,0.92
combo_23,"[11, 28, 20]",1.0,1.0,0.96
combo_24,"[11, 12, 4]",1.0,1.0,1.0
combo_25,"[11, 30, 1]",0.94,0.9,0.9
combo_26,"[11, 33, 19]",0.96,0.94,0.94
combo_27,"[11, 3, 9]",0.96,0.9,0.9
combo_28,"[11, 25, 17]",0.8,0.78,0.76
combo_29,"[11, 32, 14]",1.0,1.0,1.0
combo_30,"[11, 3, 17]",0.8,0.78,0.74
combo_31,"[11, 30, 13]",0.92,0.9,0.9
combo_32,"[11, 32, 21]",1.0,0.98,1.0
combo_33,"[11, 28, 26]",1.0,0.94,0.96
combo_34,"[11, 24, 27]",1.0,0.94,0.96
combo_35,"[11, 3, 7]",1.0,0.94,0.96
combo_36,"[11, 24, 26]",1.0,0.98,0.98
combo_37,"[11, 25, 8]",0.96,0.98,0.9
combo_38,"[11, 33, 1]",1.0,1.0,1.0
combo_39,"[11, 24, 15]",0.94,0.94,0.88
combo_40,"[11, 30, 4]",0.92,0.86,0.86
combo_41,"[11, 3, 5]",0.96,0.88,0.8
combo_42,"[11, 32, 4]",0.94,0.9,0.94
combo_43,"[11, 33, 7]",1.0,1.0,1.0
combo_44,"[11, 29, 7]",0.94,0.94,0.96
combo_45,"[11, 25, 13]",0.94,0.92,0.92
combo_46,"[11, 30, 27]",1.0,0.9,0.9
combo_47,"[11, 25, 15]",0.88,0.88,0.88
combo_48,"[11, 30, 5]",0.94,0.94,0.88
combo_49,"[11, 3, 21]",0.94,0.9,0.92
combo_50,"[11, 24, 20]",1.0,1.0,1.0
combo_51,"[11, 30, 15]",0.88,0.88,0.86
combo_52,"[11, 30, 23]",0.86,0.84,0.84
combo_53,"[11, 33, 20]",1.0,1.0,1.0
combo_54,"[11, 29, 13]",0.9,0.86,0.86
combo_55,"[11, 24, 21]",0.98,1.0,0.98
combo_56,"[11, 3, 19]",0.9,0.84,0.82
combo_57,"[11, 30, 6]",0.96,0.96,0.94
combo_58,"[11, 25, 26]",0.96,0.98,0.96
combo_59,"[11, 30, 17]",0.8,0.82,0.74
combo_60,"[11, 33, 22]",0.98,1.0,0.96
combo_61,"[11, 3, 22]",0.86,0.88,0.88
combo_62,"[11, 3, 18]",0.8,0.78,0.74
combo_63,"[11, 31, 9]",1.0,1.0,0.98
combo_64,"[11, 28, 9]",0.98,0.96,0.92
combo_65,"[11, 12, 15]",1.0,0.98,1.0
combo_66,"[11, 24, 22]",0.96,0.96,0.92
combo_67,"[11, 24, 18]",0.88,0.84,0.86
combo_68,"[11, 29, 27]",1.0,0.88,0.82
combo_69,"[11, 30, 8]",0.94,0.96,0.96
combo_70,"[11, 24, 2]",1.0,1.0,1.0
combo_71,"[11, 30, 9]",0.98,0.98,0.96
combo_72,"[11, 25, 10]",0.94,0.9,0.96
combo_73,"[11, 25, 27]",0.92,0.9,0.92
combo_74,"[11, 12, 2]",1.0,1.0,1.0
combo_75,"[11, 30, 10]",0.9,0.9,0.88
combo_76,"[11, 29, 1]",0.9,0.86,0.9
combo_77,"[11, 3, 2]",1.0,0.9,0.9
combo_78,"[11, 28, 23]",0.92,0.84,0.88
combo_79,"[11, 32, 7]",1.0,1.0,1.0
combo_80,"[11, 12, 16]",0.96,0.96,0.92
combo_81,"[11, 28, 5]",0.94,0.9,0.88
combo_82,"[11, 29, 18]",0.86,0.82,0.78
combo_83,"[11, 25, 5]",0.9,0.96,0.96
combo_84,"[11, 28, 10]",0.92,0.9,0.88
combo_85,"[11, 32, 2]",0.98,1.0,0.96
combo_86,"[11, 30, 20]",1.0,0.98,0.98
combo_87,"[11, 31, 17]",0.84,0.8,0.8
combo_88,"[11, 30, 2]",0.92,0.94,0.94
combo_89,"[11, 28, 14]",1.0,1.0,1.0
combo_90,"[11, 25, 4]",0.98,0.82,0.86
combo_91,"[11, 32, 1]",0.94,0.94,0.92
combo_92,"[11, 12, 7]",1.0,1.0,1.0
combo_93,"[11, 32, 5]",0.96,0.96,0.92
combo_94,"[11, 24, 14]",1.0,1.0,1.0
combo_95,"[11, 25, 16]",0.82,0.78,0.82
combo_96,"[11, 31, 15]",0.9,0.9,0.88
combo_97,"[11, 31, 18]",0.86,0.88,0.86
combo_98,"[11, 29, 23]",0.88,0.78,0.78
combo_99,"[11, 29, 15]",0.86,0.86,0.82
