Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[1, 2, 9]",0.96,0.94,0.94
combo_1,"[1, 17, 9]",0.96,0.78,0.74
combo_2,"[1, 2, 28]",1.0,1.0,1.0
combo_3,"[1, 10, 23]",0.76,0.72,0.72
combo_4,"[1, 22, 7]",0.92,0.9,0.9
combo_5,"[1, 11, 7]",0.94,0.94,0.98
combo_6,"[1, 25, 8]",0.96,1.0,0.98
combo_7,"[1, 21, 23]",0.98,0.72,0.72
combo_8,"[1, 11, 6]",0.84,0.78,0.78
combo_9,"[1, 26, 19]",0.98,0.92,0.9
combo_10,"[1, 11, 19]",0.78,0.76,0.76
combo_11,"[1, 12, 6]",0.88,0.86,0.88
combo_12,"[1, 13, 19]",0.86,0.82,0.88
combo_13,"[1, 11, 8]",0.92,0.88,0.94
combo_14,"[1, 21, 19]",0.96,0.76,0.76
combo_15,"[1, 24, 8]",0.92,0.98,0.92
combo_16,"[1, 16, 28]",0.88,0.84,0.84
combo_17,"[1, 21, 3]",0.9,0.9,0.9
combo_18,"[1, 24, 6]",0.88,0.86,0.84
combo_19,"[1, 26, 3]",1.0,1.0,1.0
combo_20,"[1, 16, 5]",0.9,0.9,0.94
combo_21,"[1, 15, 28]",1.0,0.88,0.92
combo_22,"[1, 13, 28]",0.9,0.86,0.92
combo_23,"[1, 15, 19]",0.94,0.88,0.84
combo_24,"[1, 22, 23]",0.96,0.66,0.64
combo_25,"[1, 12, 28]",0.88,0.86,0.82
combo_26,"[1, 10, 6]",0.96,0.76,0.74
combo_27,"[1, 12, 3]",0.96,0.94,0.94
combo_28,"[1, 27, 6]",0.92,0.86,0.84
combo_29,"[1, 12, 8]",0.94,0.98,0.92
combo_30,"[1, 13, 6]",0.92,0.88,0.9
combo_31,"[1, 18, 20]",0.86,0.8,0.78
combo_32,"[1, 12, 7]",1.0,1.0,0.98
combo_33,"[1, 2, 20]",1.0,1.0,1.0
combo_34,"[1, 13, 9]",0.94,0.88,0.86
combo_35,"[1, 18, 7]",0.92,0.98,0.9
combo_36,"[1, 27, 20]",1.0,0.9,0.88
combo_37,"[1, 25, 19]",0.92,0.88,0.84
combo_38,"[1, 26, 8]",1.0,1.0,1.0
combo_39,"[1, 22, 28]",0.9,0.74,0.74
combo_40,"[1, 10, 3]",0.92,0.84,0.8
combo_41,"[1, 14, 7]",1.0,1.0,1.0
combo_42,"[1, 21, 8]",0.9,0.9,0.92
combo_43,"[1, 27, 5]",0.92,0.92,0.9
combo_44,"[1, 24, 23]",0.94,0.76,0.78
combo_45,"[1, 11, 4]",1.0,1.0,0.98
combo_46,"[1, 2, 5]",1.0,1.0,1.0
combo_47,"[1, 24, 3]",0.96,0.94,0.92
combo_48,"[1, 11, 3]",0.92,0.86,0.92
combo_49,"[1, 13, 20]",0.96,0.96,0.98
combo_50,"[1, 14, 3]",1.0,1.0,1.0
combo_51,"[1, 11, 28]",0.84,0.82,0.76
combo_52,"[1, 25, 9]",0.9,0.84,0.82
combo_53,"[1, 18, 9]",0.9,0.72,0.72
combo_54,"[1, 27, 3]",1.0,0.94,0.94
combo_55,"[1, 10, 8]",0.94,0.88,0.84
combo_56,"[1, 26, 20]",1.0,0.98,1.0
combo_57,"[1, 14, 4]",1.0,1.0,1.0
combo_58,"[1, 22, 8]",0.88,0.9,0.86
combo_59,"[1, 25, 6]",0.9,0.92,0.92
combo_60,"[1, 27, 4]",1.0,1.0,1.0
combo_61,"[1, 26, 28]",0.94,0.94,0.94
combo_62,"[1, 18, 6]",0.86,0.82,0.76
combo_63,"[1, 15, 23]",0.92,0.84,0.82
combo_64,"[1, 27, 23]",0.92,0.76,0.78
combo_65,"[1, 17, 20]",0.9,0.88,0.84
combo_66,"[1, 15, 9]",0.88,0.86,0.84
combo_67,"[1, 15, 3]",1.0,1.0,1.0
combo_68,"[1, 12, 9]",0.9,0.82,0.84
combo_69,"[1, 12, 20]",0.94,0.9,0.88
combo_70,"[1, 24, 4]",1.0,1.0,1.0
combo_71,"[1, 16, 19]",0.84,0.8,0.82
combo_72,"[1, 24, 9]",0.86,0.82,0.8
combo_73,"[1, 22, 4]",0.96,0.94,0.94
combo_74,"[1, 13, 8]",0.96,0.98,0.98
combo_75,"[1, 14, 28]",0.98,0.96,0.94
combo_76,"[1, 17, 5]",0.9,0.82,0.86
combo_77,"[1, 27, 8]",1.0,0.94,0.96
combo_78,"[1, 10, 7]",0.96,0.88,0.9
combo_79,"[1, 21, 9]",0.82,0.74,0.76
combo_80,"[1, 2, 19]",0.96,0.94,0.96
combo_81,"[1, 14, 23]",0.88,0.86,0.84
combo_82,"[1, 27, 19]",0.98,0.8,0.76
combo_83,"[1, 13, 3]",0.98,0.98,0.98
combo_84,"[1, 11, 20]",0.86,0.82,0.82
combo_85,"[1, 22, 3]",0.92,0.86,0.86
combo_86,"[1, 27, 7]",1.0,1.0,0.98
combo_87,"[1, 10, 4]",0.98,0.98,0.96
combo_88,"[1, 17, 8]",0.92,0.88,0.94
combo_89,"[1, 25, 3]",0.98,0.96,0.98
combo_90,"[1, 10, 5]",0.96,0.82,0.82
combo_91,"[1, 14, 8]",1.0,1.0,1.0
combo_92,"[1, 27, 9]",0.86,0.82,0.8
combo_93,"[1, 2, 6]",0.98,1.0,1.0
combo_94,"[1, 14, 5]",0.98,1.0,0.98
combo_95,"[1, 26, 7]",1.0,1.0,1.0
combo_96,"[1, 25, 7]",1.0,1.0,1.0
combo_97,"[1, 18, 23]",0.78,0.74,0.68
combo_98,"[1, 22, 19]",0.92,0.76,0.7
combo_99,"[1, 10, 28]",0.82,0.78,0.74
