Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[1, 9, 10]",1.0,1.0,1.0
combo_1,"[1, 5, 12]",1.0,1.0,1.0
combo_2,"[1, 8, 4]",0.98,0.96,0.96
combo_3,"[1, 6, 10]",1.0,1.0,1.0
combo_4,"[1, 8, 10]",1.0,1.0,1.0
combo_5,"[1, 7, 4]",1.0,0.92,0.94
combo_6,"[1, 9, 12]",1.0,1.0,1.0
combo_7,"[1, 6, 11]",1.0,1.0,1.0
combo_8,"[1, 2, 3]",1.0,1.0,1.0
combo_9,"[1, 5, 4]",0.98,0.98,0.94
combo_10,"[1, 2, 12]",1.0,1.0,1.0
combo_11,"[1, 7, 12]",1.0,1.0,1.0
combo_12,"[1, 6, 12]",1.0,1.0,1.0
combo_13,"[1, 8, 3]",1.0,0.98,1.0
combo_14,"[1, 7, 11]",1.0,1.0,1.0
combo_15,"[1, 8, 12]",1.0,1.0,1.0
combo_16,"[1, 2, 11]",1.0,1.0,1.0
combo_17,"[1, 8, 11]",1.0,1.0,1.0
combo_18,"[1, 5, 11]",1.0,1.0,1.0
combo_19,"[1, 7, 10]",1.0,1.0,1.0
combo_20,"[1, 7, 3]",1.0,1.0,0.98
combo_21,"[1, 5, 3]",1.0,1.0,0.98
combo_22,"[1, 2, 4]",1.0,1.0,1.0
combo_23,"[1, 6, 4]",1.0,1.0,0.98
combo_24,"[1, 9, 4]",0.98,0.94,0.94
combo_25,"[1, 5, 10]",1.0,1.0,1.0
combo_26,"[1, 6, 3]",1.0,1.0,1.0
combo_27,"[1, 9, 11]",1.0,1.0,1.0
combo_28,"[1, 9, 3]",1.0,1.0,0.98
combo_29,"[1, 2, 10]",1.0,1.0,1.0
