Combination_ID,Nodes,MPC_protocol,MPG_protocol,SP_protocol
combo_0,"[3, 13, 18]",1.0,1.0,1.0
combo_1,"[3, 19, 15]",0.92,0.94,0.88
combo_2,"[3, 19, 8]",1.0,1.0,0.98
combo_3,"[3, 19, 10]",1.0,1.0,1.0
combo_4,"[3, 21, 17]",0.76,0.8,0.74
combo_5,"[3, 24, 1]",0.98,1.0,0.98
combo_6,"[3, 23, 2]",0.96,0.86,0.92
combo_7,"[3, 25, 4]",1.0,1.0,1.0
combo_8,"[3, 13, 7]",1.0,1.0,1.0
combo_9,"[3, 19, 2]",1.0,1.0,1.0
combo_10,"[3, 13, 16]",0.84,0.78,0.82
combo_11,"[3, 26, 5]",0.98,0.84,0.86
combo_12,"[3, 12, 10]",0.98,0.9,0.9
combo_13,"[3, 13, 5]",0.94,0.88,0.86
combo_14,"[3, 21, 2]",0.82,0.82,0.82
combo_15,"[3, 23, 11]",0.8,0.82,0.8
combo_16,"[3, 25, 17]",0.96,0.88,0.9
combo_17,"[3, 24, 5]",0.9,0.78,0.8
combo_18,"[3, 22, 9]",0.92,0.78,0.82
combo_19,"[3, 12, 16]",0.86,0.72,0.72
combo_20,"[3, 14, 9]",1.0,0.92,0.92
combo_21,"[3, 24, 18]",0.98,0.96,0.96
combo_22,"[3, 26, 11]",0.92,0.94,0.92
combo_23,"[3, 21, 7]",0.8,0.8,0.78
combo_24,"[3, 21, 15]",0.72,0.68,0.66
combo_25,"[3, 25, 8]",0.94,0.94,0.88
combo_26,"[3, 24, 7]",0.96,0.98,0.92
combo_27,"[3, 24, 17]",0.92,0.9,0.9
combo_28,"[3, 26, 1]",1.0,1.0,1.0
combo_29,"[3, 12, 18]",0.94,0.92,0.88
combo_30,"[3, 21, 9]",0.84,0.72,0.76
combo_31,"[3, 22, 16]",0.76,0.68,0.7
combo_32,"[3, 23, 8]",0.9,0.86,0.86
combo_33,"[3, 23, 16]",0.8,0.74,0.74
combo_34,"[3, 12, 6]",0.96,0.84,0.82
combo_35,"[3, 14, 11]",0.96,0.86,0.82
combo_36,"[3, 22, 7]",0.86,0.8,0.82
combo_37,"[3, 26, 10]",1.0,0.98,1.0
combo_38,"[3, 14, 17]",1.0,0.88,0.88
combo_39,"[3, 20, 10]",1.0,1.0,1.0
combo_40,"[3, 19, 18]",1.0,1.0,1.0
combo_41,"[3, 26, 16]",0.92,0.8,0.8
combo_42,"[3, 26, 4]",1.0,1.0,1.0
combo_43,"[3, 12, 1]",0.98,0.98,0.94
combo_44,"[3, 12, 17]",0.94,0.84,0.88
combo_45,"[3, 14, 10]",1.0,0.92,0.94
combo_46,"[3, 13, 2]",1.0,1.0,1.0
combo_47,"[3, 26, 8]",0.96,0.96,0.92
combo_48,"[3, 20, 17]",1.0,1.0,1.0
combo_49,"[3, 19, 1]",1.0,1.0,1.0
combo_50,"[3, 22, 4]",0.96,0.96,0.98
combo_51,"[3, 20, 2]",1.0,1.0,1.0
combo_52,"[3, 14, 6]",0.92,0.84,0.84
combo_53,"[3, 25, 9]",1.0,0.88,0.88
combo_54,"[3, 20, 1]",1.0,1.0,1.0
combo_55,"[3, 19, 16]",0.9,0.86,0.86
combo_56,"[3, 24, 16]",0.86,0.8,0.76
combo_57,"[3, 25, 18]",0.98,0.92,0.92
combo_58,"[3, 23, 9]",0.96,0.86,0.82
combo_59,"[3, 23, 4]",1.0,1.0,1.0
combo_60,"[3, 20, 6]",1.0,0.98,0.96
combo_61,"[3, 14, 5]",0.94,0.84,0.86
combo_62,"[3, 19, 11]",0.96,0.98,0.94
combo_63,"[3, 12, 7]",0.96,0.88,0.88
combo_64,"[3, 21, 5]",0.78,0.72,0.7
combo_65,"[3, 20, 16]",0.92,0.9,0.92
combo_66,"[3, 22, 6]",0.88,0.72,0.7
combo_67,"[3, 23, 6]",0.92,0.82,0.78
combo_68,"[3, 25, 7]",1.0,0.9,0.96
combo_69,"[3, 24, 2]",0.96,0.98,0.96
combo_70,"[3, 22, 8]",0.86,0.78,0.82
combo_71,"[3, 26, 9]",1.0,0.94,0.98
combo_72,"[3, 22, 2]",0.94,0.84,0.86
combo_73,"[3, 22, 15]",0.76,0.76,0.68
combo_74,"[3, 19, 5]",0.96,0.9,0.92
combo_75,"[3, 23, 5]",0.88,0.78,0.74
combo_76,"[3, 21, 11]",0.76,0.74,0.74
combo_77,"[3, 26, 15]",0.86,0.86,0.86
combo_78,"[3, 19, 6]",1.0,0.96,0.96
combo_79,"[3, 12, 9]",1.0,0.82,0.84
combo_80,"[3, 24, 4]",1.0,1.0,1.0
combo_81,"[3, 20, 18]",1.0,1.0,1.0
combo_82,"[3, 23, 17]",0.88,0.86,0.84
combo_83,"[3, 21, 6]",0.86,0.72,0.74
combo_84,"[3, 19, 17]",0.98,0.96,1.0
combo_85,"[3, 12, 4]",1.0,0.96,1.0
combo_86,"[3, 14, 7]",1.0,0.96,0.98
combo_87,"[3, 13, 10]",1.0,1.0,0.98
combo_88,"[3, 23, 18]",0.94,0.92,0.9
combo_89,"[3, 25, 5]",0.98,0.8,0.78
combo_90,"[3, 20, 9]",1.0,1.0,1.0
combo_91,"[3, 13, 11]",0.96,0.96,0.94
combo_92,"[3, 24, 11]",0.92,0.88,0.82
combo_93,"[3, 19, 9]",1.0,1.0,1.0
combo_94,"[3, 24, 10]",0.98,0.94,0.94
combo_95,"[3, 12, 2]",0.96,0.88,0.88
combo_96,"[3, 13, 4]",1.0,1.0,1.0
combo_97,"[3, 22, 5]",0.82,0.72,0.72
combo_98,"[3, 26, 17]",0.9,0.96,0.96
combo_99,"[3, 20, 7]",1.0,1.0,1.0
